,from date,to date,from SCHH price,to SCHH price,SCHH cod,SCHH pct cod,from USRT price,to USRT price,USRT cod,USRT pct cod,to USRT / to SCHH,to USRT / to USRT
0,,2021-08-23,,23.91,,,,60.84,,,2.544542032622334,1.0
1,2021-08-23,2021-08-24,23.91,23.785,-0.125,-0.005241651585988592,60.84,60.61,-0.23000000000000398,-0.0037875714278984805,2.5482446920327937,1.0
2,2021-08-24,2021-08-25,23.785,23.77,-0.015000000000000568,-0.0006308485121422389,60.61,60.65,0.03999999999999915,0.0006597394268654775,2.551535549011359,1.0
3,2021-08-25,2021-08-26,23.77,23.79,0.019999999999999574,0.0008410429427637222,60.65,60.75,0.10000000000000142,0.0016474468305987288,2.5535939470365703,1.0
4,2021-08-26,2021-08-27,23.79,24.035,0.245000000000001,0.010245777031057814,60.75,61.37,0.6199999999999974,0.01015403418034782,2.5533596837944663,1.0
5,2021-08-27,2021-08-30,24.035,24.275,0.23999999999999844,0.0099359128314645,61.37,61.86,0.490000000000002,0.007952650855918005,2.5483007209062825,1.0
6,2021-08-30,2021-08-31,24.275,24.4,0.125,0.005136118121767492,61.86,62.26,0.3999999999999986,0.006445397756538562,2.5516393442622953,1.0
7,2021-08-31,2021-09-01,24.4,24.78,0.38000000000000256,0.015453743901840233,62.26,63.15,0.8900000000000006,0.014193683783038006,2.548426150121065,1.0
8,2021-09-01,2021-09-02,24.78,24.92,0.14000000000000057,0.005633817718256064,63.15,63.49,0.3400000000000034,0.005369564385858384,2.547752808988764,1.0
9,2021-09-02,2021-09-03,24.92,24.915,-0.005000000000002558,-0.00020066218588457533,63.49,63.49,0.0,0.0,2.5482640979329725,1.0
10,2021-09-03,2021-09-07,24.915,24.63,-0.28500000000000014,-0.011504819600921298,63.49,62.7,-0.7899999999999991,-0.012520965543483484,2.5456760048721074,1.0
11,2021-09-07,2021-09-08,24.63,24.77,0.14000000000000057,0.005668031368821638,62.7,63.1,0.3999999999999986,0.0063593219082924216,2.547436415018167,1.0
12,2021-09-08,2021-09-09,24.77,24.25,-0.5199999999999996,-0.02121662611777599,63.1,61.74,-1.3599999999999994,-0.02178875047315422,2.545979381443299,1.0
13,2021-09-09,2021-09-10,24.25,23.89,-0.35999999999999943,-0.014956656045773961,61.74,60.86,-0.8800000000000026,-0.014355874605188296,2.5475094181665967,1.0
14,2021-09-10,2021-09-13,23.89,24.075,0.18499999999999872,0.007713996346471093,60.86,61.33,0.46999999999999886,0.007692975169067228,2.5474558670820353,1.0
15,2021-09-13,2021-09-14,24.075,24.025,-0.05000000000000071,-0.0020790028278331015,61.33,61.11,-0.21999999999999886,-0.0035936007310681493,2.5436004162330907,1.0
16,2021-09-14,2021-09-15,24.025,24.075,0.05000000000000071,0.0020790028278331553,61.11,61.31,0.20000000000000284,0.0032674428677724097,2.5466251298027003,1.0
17,2021-09-15,2021-09-16,24.075,24.11,0.03500000000000014,0.0014527345088904211,61.31,61.32,0.00999999999999801,0.00016309222901682253,2.543343011198673,1.0
18,2021-09-16,2021-09-17,24.11,23.88,-0.23000000000000043,-0.009585403668678341,61.32,60.71,-0.6099999999999994,-0.009997624861270711,2.5422948073701845,1.0
19,2021-09-17,2021-09-20,23.88,23.76,-0.11999999999999744,-0.00503779402995707,60.71,60.48,-0.23000000000000398,-0.0037956972710651415,2.545454545454545,1.0
20,2021-09-20,2021-09-21,23.76,23.775,0.014999999999997016,0.0006311139370096203,60.48,60.48,0.0,0.0,2.54384858044164,1.0
21,2021-09-21,2021-09-22,23.775,23.88,0.10500000000000043,0.004406680092947396,60.48,61.06,0.5800000000000054,0.00954425543545434,2.556951423785595,1.0
22,2021-09-22,2021-09-23,23.88,23.795,-0.0849999999999973,-0.0035658139513274558,61.06,61.02,-0.03999999999999915,-0.0006553080182082064,2.564404286614835,1.0
23,2021-09-23,2021-09-24,23.795,23.525,-0.2700000000000031,-0.011411789101630558,61.02,60.12,-0.9000000000000057,-0.014859114403749941,2.55557917109458,1.0
24,2021-09-24,2021-09-27,23.525,23.18,-0.34499999999999886,-0.014773847559837643,60.12,59.31,-0.8099999999999952,-0.013564639034138473,2.5586712683347717,1.0
25,2021-09-27,2021-09-28,23.18,23.055,-0.125,-0.005407172252936737,59.31,59.18,-0.13000000000000256,-0.002194278878571652,2.566905226631967,1.0
26,2021-09-28,2021-09-29,23.055,23.225,0.1700000000000017,0.007346619041233459,59.18,59.66,0.4799999999999969,0.008078132114538833,2.5687836383207747,1.0
27,2021-09-29,2021-09-30,23.225,22.84,-0.38500000000000156,-0.016715899912092817,59.66,58.65,-1.009999999999998,-0.01707420398711798,2.567863397548161,1.0
28,2021-09-30,2021-10-01,22.84,23.13,0.28999999999999915,0.012617091455538333,58.65,59.56,0.9100000000000037,0.01539663271632376,2.5750108084738437,1.0
29,2021-10-01,2021-10-04,23.13,23.165,0.03500000000000014,0.0015120426252638766,59.56,59.62,0.05999999999999517,0.0010068804341171619,2.5737103388733003,1.0
30,2021-10-04,2021-10-05,23.165,22.985,-0.17999999999999972,-0.007800689610420384,59.62,59.13,-0.4899999999999949,-0.008252678417186778,2.5725473134653036,1.0
31,2021-10-05,2021-10-06,22.985,23.25,0.26500000000000057,0.011463302775174027,59.13,59.74,0.6099999999999994,0.010263402955225267,2.5694623655913977,1.0
32,2021-10-06,2021-10-07,23.25,23.3,0.05000000000000071,0.002148228538289605,59.74,59.98,0.23999999999999488,0.004009360532899296,2.574248927038626,1.0
