,from date,to date,from CWB price,to CWB price,CWB cod,CWB pct cod,from ICVT price,to ICVT price,ICVT cod,ICVT pct cod,to ICVT / to CWB,to ICVT / to ICVT
0,,2021-08-20,,84.61,,,,98.0,,,1.1582555253516134,1.0
1,2021-08-20,2021-08-23,84.61,85.49,0.8799999999999955,0.010346947101732694,98.0,99.28,1.2800000000000011,0.012976662225779785,1.1613054158381098,1.0
2,2021-08-23,2021-08-24,85.49,86.36,0.8700000000000045,0.01012519560846426,99.28,100.47,1.1899999999999977,0.011915034577871023,1.1633858267716535,1.0
3,2021-08-24,2021-08-25,86.36,86.79,0.4300000000000068,0.004966802009546831,100.47,101.03,0.5600000000000023,0.005558326965417915,1.1640742020970156,1.0
4,2021-08-25,2021-08-26,86.79,86.42,-0.37000000000000455,-0.00427227715236638,101.03,100.49,-0.5400000000000063,-0.005359282378773603,1.1628095348299003,1.0
5,2021-08-26,2021-08-27,86.42,87.3,0.8799999999999955,0.01013133234176926,100.49,101.67,1.1800000000000068,0.011674054226202418,1.1646048109965637,1.0
6,2021-08-27,2021-08-30,87.3,87.27,-0.030000000000001137,-0.000343701670336564,101.67,101.85,0.1799999999999926,0.0017688683857451637,1.167067720866277,1.0
7,2021-08-30,2021-08-31,87.27,87.38,0.10999999999999943,0.0012596623480698522,101.85,101.91,0.060000000000002274,0.0005889281677874137,1.1662851911192493,1.0
8,2021-08-31,2021-09-01,87.38,87.82,0.4399999999999977,0.0050228416102815485,101.91,102.63,0.7199999999999989,0.00704021681702067,1.1686404008198588,1.0
9,2021-09-01,2021-09-02,87.82,88.11,0.29000000000000625,0.0032967687450671745,102.63,102.95,0.3200000000000074,0.0031131458161755767,1.1684258313471798,1.0
10,2021-09-02,2021-09-03,88.11,88.67,0.5600000000000023,0.006335579513277305,102.95,103.33,0.37999999999999545,0.0036843167524649597,1.1653321303710387,1.0
11,2021-09-03,2021-09-07,88.67,88.24,-0.4300000000000068,-0.00486123844666869,103.33,103.08,-0.25,-0.0024223644420992094,1.1681776971894833,1.0
12,2021-09-07,2021-09-08,88.24,87.74,-0.5,-0.005682479207179132,103.08,102.19,-0.8900000000000006,-0.008671560160046669,1.1646911328926375,1.0
13,2021-09-08,2021-09-09,87.74,87.62,-0.11999999999999034,-0.0013686133523153569,102.19,102.13,-0.060000000000002274,-0.0005873140341101438,1.1656014608536862,1.0
14,2021-09-09,2021-09-10,87.62,87.09,-0.5300000000000011,-0.006067215681104195,102.13,101.6,-0.5300000000000011,-0.005202976445626054,1.1666092547938913,1.0
15,2021-09-10,2021-09-13,87.09,87.11,0.01999999999999602,0.0002296211261524825,101.6,101.42,-0.1799999999999926,-0.0017732247775084213,1.1642750545287568,1.0
16,2021-09-13,2021-09-14,87.11,86.74,-0.37000000000000455,-0.004256549423580567,101.42,101.08,-0.3400000000000034,-0.00335802784687959,1.1653216509107678,1.0
17,2021-09-14,2021-09-15,86.74,87.18,0.44000000000001194,0.005059808403026481,101.08,101.53,0.45000000000000284,0.0044420387931379335,1.164601972929571,1.0
18,2021-09-15,2021-09-16,87.18,87.39,0.20999999999999375,0.0024059128292062562,101.53,101.86,0.3299999999999983,0.0032450001433271367,1.1655795857649616,1.0
19,2021-09-16,2021-09-17,87.39,87.48,0.09000000000000341,0.001029336169114281,101.86,101.98,0.12000000000000455,0.0011773941705512062,1.1657521719250115,1.0
20,2021-09-17,2021-09-20,87.48,86.26,-1.2199999999999989,-0.014044204588869982,101.98,100.68,-1.2999999999999972,-0.012829545359894522,1.167169023881289,1.0
21,2021-09-20,2021-09-21,86.26,86.42,0.1599999999999966,0.0018531392840900125,100.68,100.86,0.1799999999999926,0.0017862463814640643,1.1670909511687109,1.0
22,2021-09-21,2021-09-22,86.42,87.24,0.8199999999999932,0.009443810829641098,100.86,101.92,1.0600000000000023,0.01045477517527396,1.168271435121504,1.0
23,2021-09-22,2021-09-23,87.24,87.93,0.6900000000000119,0.007878102057482657,101.92,102.74,0.8199999999999932,0.008013333215268427,1.1684294325031273,1.0
24,2021-09-23,2021-09-24,87.93,87.82,-0.11000000000001364,-0.0012517782573395573,102.74,102.72,-0.01999999999999602,-0.0001946850974707345,1.1696652243224779,1.0
25,2021-09-24,2021-09-27,87.82,87.53,-0.28999999999999204,-0.0033076733892246964,102.72,102.57,-0.15000000000000568,-0.0014613476223314925,1.1718268022392322,1.0
26,2021-09-27,2021-09-28,87.53,85.75,-1.7800000000000011,-0.020545505698297294,102.57,100.41,-2.1599999999999966,-0.02128368842797461,1.1709620991253644,1.0
27,2021-09-28,2021-09-29,85.75,85.34,-0.4099999999999966,-0.004792808286195319,100.41,99.67,-0.7399999999999949,-0.007397074911980079,1.1679165690180455,1.0
28,2021-09-29,2021-09-30,85.34,85.35,0.009999999999990905,0.00011717148059561957,99.67,99.74,0.06999999999999318,0.0007020711386114673,1.1685998828353836,1.0
29,2021-09-30,2021-10-01,85.35,85.78,0.4300000000000068,0.0050254298482848994,99.74,100.58,0.8400000000000034,0.008386630625842285,1.1725343903007694,1.0
30,2021-10-01,2021-10-04,85.78,84.53,-1.25,-0.014679378147898058,100.58,99.04,-1.539999999999992,-0.015429621807532634,1.1716550337158407,1.0
31,2021-10-04,2021-10-05,84.53,85.18,0.6500000000000057,0.007660163554231263,99.04,99.63,0.5899999999999892,0.005939515120478907,1.169640760741958,1.0
32,2021-10-05,2021-10-06,85.18,85.43,0.25,0.002930662668459912,99.63,99.73,0.10000000000000853,0.001003210357011759,1.167388505208943,1.0
33,2021-10-06,2021-10-07,85.43,86.09,0.6599999999999966,0.007695933506335881,99.73,101.01,1.2800000000000011,0.012752987427316174,1.173307004297828,1.0
34,2021-10-07,2021-10-08,86.09,85.68,-0.4099999999999966,-0.004773834530369907,101.01,100.3,-0.710000000000008,-0.007053826873203039,1.1706349206349205,1.0
35,2021-10-08,2021-10-11,85.68,85.2,-0.480000000000004,-0.005617992304223373,100.3,99.83,-0.46999999999999886,-0.0046969556195559595,1.1717136150234742,1.0
36,2021-10-11,2021-10-12,85.2,85.81,0.6099999999999994,0.007134115983759531,99.83,100.55,0.7199999999999989,0.0071863768703271215,1.1717748514159188,1.0
37,2021-10-12,2021-10-13,85.81,86.42,0.6099999999999994,0.007083580684757462,100.55,101.42,0.8700000000000045,0.008615194148211899,1.173570932654478,1.0
38,2021-10-13,2021-10-14,86.42,87.21,0.789999999999992,0.00909987273510706,101.42,102.06,0.6400000000000006,0.006290565268952481,1.170278637770898,1.0
39,2021-10-14,2021-10-15,87.21,87.33,0.12000000000000455,0.0013750431867473672,102.06,102.22,0.1599999999999966,0.0015664777043080634,1.1705026909424023,1.0
40,2021-10-15,2021-10-18,87.33,87.54,0.21000000000000796,0.0024017853371078135,102.22,102.44,0.21999999999999886,0.0021499079911910454,1.1702079049577334,1.0
41,2021-10-18,2021-10-19,87.54,87.9,0.35999999999999943,0.004103972928382017,102.44,102.88,0.4399999999999977,0.004285999157984836,1.1704209328782706,1.0
42,2021-10-19,2021-10-20,87.9,88.15,0.25,0.0028401041527479996,102.88,102.97,0.09000000000000341,0.0008744231793503338,1.1681225184344866,1.0
43,2021-10-20,2021-10-21,88.15,88.54,0.39000000000000057,0.004414518460115701,102.97,103.38,0.4099999999999966,0.003973836099233742,1.1676078608538512,1.0
44,2021-10-21,2021-10-22,88.54,87.84,-0.7000000000000028,-0.007937449542774543,103.38,102.38,-1.0,-0.009720138738456046,1.1655282331511838,1.0
45,2021-10-22,2021-10-25,87.84,87.99,0.14999999999999147,0.0017061938962486525,102.38,102.81,0.4300000000000068,0.004191243525189969,1.1684282304807365,1.0
46,2021-10-25,2021-10-26,87.99,87.75,-0.23999999999999488,-0.0027313093114941455,102.81,102.21,-0.6000000000000085,-0.00585310421364235,1.1647863247863248,1.0
47,2021-10-26,2021-10-27,87.75,86.96,-0.7900000000000063,-0.009043619533021276,102.21,101.28,-0.9299999999999926,-0.009140561945118737,1.1646734130634775,1.0
48,2021-10-27,2021-10-28,86.96,87.93,0.9700000000000131,0.011092800577956932,101.28,102.41,1.1299999999999955,0.011095405691480233,1.1646764471738882,1.0
49,2021-10-28,2021-10-29,87.93,87.98,0.04999999999999716,0.0005684725296629085,102.41,102.42,0.010000000000005116,9.764194705814668e-05,1.1641282109570357,1.0
50,2021-10-29,2021-11-01,87.98,88.82,0.8399999999999892,0.009502333943382431,102.42,103.46,1.039999999999992,0.01010305854096463,1.1648277414996622,1.0
51,2021-11-01,2021-11-02,88.82,88.52,-0.29999999999999716,-0.0033833346811073077,103.46,102.96,-0.5,-0.004844501287497804,1.1631269769543606,1.0
52,2021-11-02,2021-11-03,88.52,88.51,-0.009999999999990905,-0.00011297520206323089,102.96,102.94,-0.01999999999999602,-0.00019426906326268514,1.1630324257146085,1.0
53,2021-11-03,2021-11-04,88.51,88.77,0.2599999999999909,0.002933215099442398,102.94,103.1,0.1599999999999966,0.0015530967983058363,1.1614284104990424,1.0
54,2021-11-04,2021-11-05,88.77,89.14,0.37000000000000455,0.004159412438181946,103.1,103.74,0.6400000000000006,0.0061883779003398314,1.163787300875028,1.0
55,2021-11-05,2021-11-08,89.14,89.51,0.37000000000000455,0.0041421833644379215,103.74,104.33,0.5900000000000034,0.00567118355662392,1.1655680929505083,1.0
56,2021-11-08,2021-11-09,89.51,89.34,-0.1700000000000017,-0.0019010349588750148,104.33,104.35,0.01999999999999602,0.00019168104333180472,1.168009850011193,1.0
57,2021-11-09,2021-11-10,89.34,88.11,-1.230000000000004,-0.013863282045334276,104.35,102.78,-1.5699999999999932,-0.015159851959126175,1.1664964249233913,1.0
58,2021-11-10,2021-11-11,88.11,88.49,0.37999999999999545,0.004303517400620408,102.78,103.16,0.37999999999999545,0.0036903994490604807,1.1657814442309866,1.0
59,2021-11-11,2021-11-12,88.49,88.94,0.45000000000000284,0.00507243380329166,103.16,103.59,0.4300000000000068,0.004159619056866743,1.1647177872723184,1.0
60,2021-11-12,2021-11-15,88.94,88.74,-0.20000000000000284,-0.0022512391317869966,103.59,103.49,-0.10000000000000853,-0.0009658103899291254,1.1662159116520172,1.0
61,2021-11-15,2021-11-16,88.74,89.07,0.3299999999999983,0.0037118314930146734,103.49,103.7,0.21000000000000796,0.0020271255554000158,1.1642528348489953,1.0
62,2021-11-16,2021-11-17,89.07,88.26,-0.8099999999999881,-0.009135573602376887,103.7,102.56,-1.1400000000000006,-0.011054122063121796,1.16202130070247,1.0
63,2021-11-17,2021-11-18,88.26,87.63,-0.6300000000000097,-0.007163598773641953,102.56,101.66,-0.9000000000000057,-0.008814081153603489,1.1601049868766404,1.0
64,2021-11-18,2021-11-19,87.63,87.26,-0.36999999999999034,-0.004231237372295591,101.66,101.09,-0.5699999999999932,-0.005622702852790101,1.1584918633967454,1.0
65,2021-11-19,2021-11-22,87.26,86.08,-1.1800000000000068,-0.013615071281989305,101.09,99.69,-1.4000000000000057,-0.013945838131353626,1.1581087360594795,1.0
66,2021-11-22,2021-11-23,86.08,85.42,-0.6599999999999966,-0.007696831000153753,99.69,98.93,-0.7599999999999909,-0.007652841699481288,1.158159681573402,1.0
