,symbol,base,quote,status,qty_precision,qty_increment,price_precision,cost_precision,marginable,has_index,ws_display_price_precision,cost_min,tick_size,price_increment,qty_min,margin_initial,position_limit_long,position_limit_short
1098,AB/USD,AB,USD,online,5,1e-05,6,5,False,False,6,0.5,1e-06,1e-06,3000.0,,,
1099,AB/EUR,AB,EUR,online,5,1e-05,6,5,False,False,6,0.45,1e-06,1e-06,3000.0,,,
1100,A/USD,A,USD,online,5,1e-05,4,5,False,False,4,0.5,0.0001,0.0001,65.0,,,
1101,A/EUR,A,EUR,online,5,1e-05,4,5,False,False,4,0.45,0.0001,0.0001,65.0,,,
1102,MIRA/USD,MIRA,USD,online,5,1e-05,4,5,False,False,4,0.5,0.0001,0.0001,60.0,,,
1103,MIRA/EUR,MIRA,EUR,online,5,1e-05,4,5,False,False,4,0.45,0.0001,0.0001,60.0,,,
1104,WMTX/USD,WMTX,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,65.0,,,
1105,WMTX/EUR,WMTX,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,65.0,,,
1106,MOCA/USD,MOCA,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,380.0,,,
1107,MOCA/EUR,MOCA,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,380.0,,,
1108,GAIA/USD,GAIA,USD,online,5,1e-05,6,5,False,False,6,0.5,1e-06,1e-06,410.0,,,
1109,GAIA/EUR,GAIA,EUR,online,5,1e-05,6,5,False,False,6,0.45,1e-06,1e-06,410.0,,,
1110,UNITE/USD,UNITE,USD,online,5,1e-05,7,5,False,False,7,0.5,1e-07,1e-07,190000.0,,,
1111,UNITE/EUR,UNITE,EUR,online,5,1e-05,7,5,False,False,7,0.45,1e-07,1e-07,190000.0,,,
1112,NODE/USD,NODE,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,360.0,,,
1113,NODE/EUR,NODE,EUR,post_only,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,360.0,,,
1114,OPEN/USD,OPEN,USD,online,5,1e-05,4,5,False,False,4,0.5,0.0001,0.0001,30.0,,,
1115,OPEN/EUR,OPEN,EUR,online,5,1e-05,4,5,False,False,4,0.45,0.0001,0.0001,30.0,,,
1116,PROVE/USD,PROVE,USD,online,5,1e-05,4,5,False,False,4,0.5,0.0001,0.0001,20.0,,,
1117,PROVE/EUR,PROVE,EUR,online,5,1e-05,4,5,False,False,4,0.45,0.0001,0.0001,20.0,,,
1118,PLAY/USD,PLAY,USD,online,5,1e-05,6,5,False,False,6,0.5,1e-06,1e-06,95.0,,,
1119,PLAY/EUR,PLAY,EUR,online,5,1e-05,6,5,False,False,6,0.45,1e-06,1e-06,95.0,,,
1120,LOBO/USD,LOBO,USD,online,5,1e-05,7,5,False,False,7,0.5,1e-07,1e-07,75000.0,,,
1121,LOBO/EUR,LOBO,EUR,post_only,5,1e-05,7,5,False,False,7,0.45,1e-07,1e-07,75000.0,,,
1122,USDG/USDT,USDG,USDT,online,8,1e-08,4,8,False,True,4,0.5,0.0001,0.0001,5.0,,,
1123,MIM/USD,MIM,USD,online,5,1e-05,7,5,False,False,7,0.5,1e-07,1e-07,15000.0,,,
1124,MIM/EUR,MIM,EUR,online,5,1e-05,7,5,False,False,7,0.45,1e-07,1e-07,15000.0,,,
1125,SOLV/USD,SOLV,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,1600.0,,,
1126,SOLV/EUR,SOLV,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,1600.0,,,
1127,H/USD,H,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,60.0,,,
1128,H/EUR,H,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,60.0,,,
1129,PUPS/USD,PUPS,USD,online,5,1e-05,6,5,False,False,6,0.5,1e-06,1e-06,3200.0,,,
1130,PUPS/EUR,PUPS,EUR,online,5,1e-05,6,5,False,False,6,0.45,1e-06,1e-06,3200.0,,,
1131,USELESS/USD,USELESS,USD,online,5,1e-05,4,5,True,True,4,0.5,0.0001,0.0001,160.0,0.33,880000.0,0.0
1132,USELESS/EUR,USELESS,EUR,online,5,1e-05,4,5,False,True,4,0.45,0.0001,0.0001,160.0,,,
1133,XYO/USD,XYO,USD,online,5,1e-05,6,5,False,False,6,0.5,1e-06,1e-06,1300.0,,,
1134,XYO/EUR,XYO,EUR,online,5,1e-05,6,5,False,False,6,0.45,1e-06,1e-06,1300.0,,,
1135,VERSE/USD,VERSE,USD,online,5,1e-05,4,5,False,False,4,0.5,0.0001,0.0001,190.0,,,
1136,VERSE/EUR,VERSE,EUR,online,5,1e-05,4,5,False,False,4,0.45,0.0001,0.0001,190.0,,,
1137,SLAY/USD,SLAY,USD,online,5,1e-05,6,5,False,False,6,0.5,1e-06,1e-06,4600.0,,,
1138,SLAY/EUR,SLAY,EUR,online,5,1e-05,6,5,False,False,6,0.45,1e-06,1e-06,4600.0,,,
1139,B2/USD,B2,USD,online,5,1e-05,4,5,False,False,4,0.5,0.0001,0.0001,7.0,,,
1140,B2/EUR,B2,EUR,online,5,1e-05,4,5,False,False,4,0.45,0.0001,0.0001,7.0,,,
1141,BTC/EUROP,BTC,EUROP,online,8,1e-08,1,5,False,False,1,0.5,0.1,0.1,5e-05,,,
1142,ETH/EUROP,ETH,EUROP,online,8,1e-08,2,5,False,False,2,0.5,0.01,0.01,0.001,,,
1143,AI3/USD,AI3,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,760.0,,,
1144,AI3/EUR,AI3,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,760.0,,,
1145,UXLINK/USD,UXLINK,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,2400.0,,,
1146,UXLINK/EUR,UXLINK,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,2400.0,,,
1147,ALKIMI/USD,ALKIMI,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,700.0,,,
1148,ALKIMI/EUR,ALKIMI,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,700.0,,,
1149,PEAQ/USDC,PEAQ,USDC,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,340.0,,,
1150,AKE/USD,AKE,USD,online,5,1e-05,8,5,False,False,8,0.5,1e-08,1e-08,25000.0,,,
1151,AKE/EUR,AKE,EUR,post_only,5,1e-05,8,5,False,False,8,0.45,1e-08,1e-08,25000.0,,,
1152,SAPIEN/USD,SAPIEN,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,75.0,,,
1153,SAPIEN/EUR,SAPIEN,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,75.0,,,
1154,REKT/USD,REKT,USD,online,5,1e-05,10,5,False,False,10,0.5,1e-10,1e-10,36000000.0,,,
1155,REKT/EUR,REKT,EUR,online,5,1e-05,10,5,False,False,10,0.45,1e-10,1e-10,36000000.0,,,
1156,YB/USD,YB,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,50.0,,,
1157,Q/USD,Q,USD,online,5,1e-05,6,5,False,False,6,0.5,1e-06,1e-06,560.0,,,
1158,Q/EUR,Q,EUR,online,5,1e-05,6,5,False,False,6,0.45,1e-06,1e-06,560.0,,,
1159,BILLY/USD,BILLY,USD,online,5,1e-05,6,5,False,False,6,0.5,1e-06,1e-06,2700.0,,,
1160,BILLY/EUR,BILLY,EUR,online,5,1e-05,6,5,False,False,6,0.45,1e-06,1e-06,2700.0,,,
1161,XION/USD,XION,USD,online,5,1e-05,4,5,False,False,4,0.5,0.0001,0.0001,50.0,,,
1162,XION/EUR,XION,EUR,online,5,1e-05,4,5,False,False,4,0.45,0.0001,0.0001,50.0,,,
1163,CAMP/USD,CAMP,USD,online,5,1e-05,6,5,False,False,6,0.5,1e-06,1e-06,1800.0,,,
1164,CAMP/EUR,CAMP,EUR,online,5,1e-05,6,5,False,False,6,0.45,1e-06,1e-06,1800.0,,,
