,product_id,price,price_percentage_change_24h,volume_24h,volume_percentage_change_24h,base_increment,quote_increment,quote_min_size,quote_max_size,base_min_size,base_max_size,base_name,quote_name,watched,is_disabled,new,status,cancel_only,limit_only,post_only,trading_disabled,auction_mode,product_type,quote_currency_id,base_currency_id,fcm_trading_session_details,mid_market_price,alias,alias_to,base_display_symbol,quote_display_symbol,view_only,price_increment,display_name,product_venue,approximate_quote_24h_volume,new_at,market_cap,base_cbrn,quote_cbrn,product_cbrn,icon_color,icon_url,display_name_overwrite,is_alpha_testing,about_description,best_bid_price,best_ask_price
14,BTC-EUR,64330.06,-0.49914334683572,255.61978899,-15.87563899321402,0.00000001,0.01,1,10000000,0.00000001,400,Bitcoin,Euro,False,False,False,online,False,False,False,False,False,SPOT,EUR,BTC,,,,[],BTC,EUR,False,0.01,BTC-EUR,CBE,16444036.36,2023-01-01T00:00:00Z,,,,,,,,False,,,
15,DOGE-USD,0.09482,-1.06427378964942,167860722,-13.39252106463372,0.1,0.00001,1,10000000,0.1,141834300,Dogecoin,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,DOGE,,,,['DOGE-USDC'],DOGE,USD,False,0.00001,DOGE-USD,CBE,15916553.66,2023-01-01T00:00:00Z,,,,,,,,False,,,
16,DOGE-USDC,0.09482,-1.06427378964942,167858322.2,-13.39375923771836,0.1,0.00001,1,10000000,0.1,141834300,Dogecoin,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,DOGE,,,DOGE-USD,[],DOGE,USD,False,0.00001,DOGE-USDC,CBE,15916326.11,2023-01-01T00:00:00Z,,,,,,,,False,,,
17,USDT-USD,1.00029,0.00599862031733,13248826.96,-56.04511994025641,0.01,0.00001,1,10000000,0.01,10480600,Tether,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,USDT,,,,[],USDT,USD,False,0.00001,USDT-USD,CBE,13252669.12,2023-01-01T00:00:00Z,,,,,,,,False,,,
18,ZEC-USD,321.56,-1.14059089371906,34332.11848904,-42.70410592952809,0.00000001,0.01,1,10000000,0.00000001,288300,Zcash,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,ZEC,,,,['ZEC-USDC'],ZEC,USD,False,0.01,ZEC-USD,CBE,11039836.02,2023-01-01T00:00:00Z,,,,,,,,False,,,
19,ZEC-USDC,321.56,-1.14059089371906,34331.60551904,-42.70496201054129,0.00000001,0.01,1,10000000,0.00000001,288300,Zcash,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,ZEC,,,ZEC-USD,[],ZEC,USD,False,0.01,ZEC-USDC,CBE,11039671.07,2023-01-01T00:00:00Z,,,,,,,,False,,,
20,SUI-USD,0.9524,-1.2135670573592,8960519.3,-47.65424212017382,0.1,0.0001,1,10000000,0.1,8632925.2247136092006656,SUI,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,SUI,,,,['SUI-USDC'],SUI,USD,False,0.0001,SUI-USD,CBE,8533998.58,2023-05-17T15:54:00.704Z,,,,,,,,False,,,
21,SUI-USDC,0.9524,-1.2135670573592,8958981.6,-47.66322508970906,0.1,0.0001,1,10000000,0.1,8632925.2247136092006656,SUI,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,SUI,,,SUI-USD,[],SUI,USD,False,0.0001,SUI-USDC,CBE,8532534.08,2023-05-17T15:54:00.704Z,,,,,,,,False,,,
22,LTC-USD,55.36,-1.00143061516452,121988.31908656,-6.97114677065061,0.00000001,0.01,1,10000000,0.00000001,122300,Litecoin,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,LTC,,,,['LTC-USDC'],LTC,USD,False,0.01,LTC-USD,CBE,6753273.34,2023-01-01T00:00:00Z,,,,,,,,False,,,
23,LTC-USDC,55.36,-1.00143061516452,121988.31908656,-6.97114677065061,0.00000001,0.01,1,10000000,0.00000001,122300,Litecoin,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,LTC,,,LTC-USD,[],LTC,USD,False,0.01,LTC-USDC,CBE,6753273.34,2023-01-01T00:00:00Z,,,,,,,,False,,,
24,LINK-USD,9.246,-1.56499520919834,730337.44,-23.31723452297628,0.01,0.001,1,10000000,0.01,1503100,Chainlink,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,LINK,,,,['LINK-USDC'],LINK,USD,False,0.001,LINK-USD,CBE,6752699.97,2023-01-01T00:00:00Z,,,,,,,,False,,,
25,LINK-USDC,9.246,-1.56499520919834,730273.6,-23.32393748996104,0.01,0.001,1,10000000,0.01,1503100,Chainlink,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,LINK,,,LINK-USD,[],LINK,USD,False,0.001,LINK-USDC,CBE,6752109.71,2023-01-01T00:00:00Z,,,,,,,,False,,,
26,ADA-USD,0.2475,-1,27149959.68130187,-13.14143930180484,0.00000001,0.0001,1,10000000,0.00000001,30176000,Cardano,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,ADA,,,,['ADA-USDC'],ADA,USD,False,0.0001,ADA-USD,CBE,6719615.02,2023-01-01T00:00:00Z,,,,,,,,False,,,
27,ADA-USDC,0.2475,-1,27130189.54752434,-13.20468821211205,0.00000001,0.0001,1,10000000,0.00000001,30176000,Cardano,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,ADA,,,ADA-USD,[],ADA,USD,False,0.0001,ADA-USDC,CBE,6714721.91,2023-01-01T00:00:00Z,,,,,,,,False,,,
28,HYPE-USD,43.1,-2.40036231884058,146448.334,1.53935764008672,0.001,0.01,1,10000000,0.001,304305.8421594722566161,Hyperliquid,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,HYPE,,,,['HYPE-USDC'],HYPE,USD,False,0.01,HYPE-USD,CBE,6311923.2,2026-02-05T16:56:00.025Z,,,,,,,,False,,,
29,HYPE-USDC,43.1,-2.40036231884058,146448.334,1.53935764008672,0.001,0.01,1,10000000,0.001,304305.8421594722566161,Hyperliquid,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,HYPE,,,HYPE-USD,[],HYPE,USD,False,0.01,HYPE-USDC,CBE,6311923.2,2026-02-05T16:56:00.025Z,,,,,,,,False,,,
30,TAO-USD,245.96,-0.40089086859688,25216.3148,-42.59427244918554,0.0001,0.01,1,10000000,0.0001,23557.2849836974065586,Bittensor,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,TAO,,,,['TAO-USDC'],TAO,USD,False,0.01,TAO-USD,CBE,6202204.79,2025-02-19T16:57:00.011Z,,,,,,,,False,,,
31,TAO-USDC,245.96,-0.40089086859688,25216.3148,-42.59427244918554,0.0001,0.01,1,10000000,0.0001,23557.2849836974065586,Bittensor,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,TAO,,,TAO-USD,[],TAO,USD,False,0.01,TAO-USDC,CBE,6202204.79,2025-02-19T16:57:00.011Z,,,,,,,,False,,,
32,ZRO-USD,1.641,-13.17460317460317,3656923.29,1212.79772001346642,0.01,0.001,1,10000000,0.01,3333333.3333333333333333,LayerZero,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,ZRO,,,,['ZRO-USDC'],ZRO,USD,False,0.001,ZRO-USD,CBE,6001011.12,2024-06-20T15:56:00.047Z,,,,,,,,False,,,
33,ZRO-USDC,1.641,-13.17460317460317,3656923.29,1212.79772001346642,0.01,0.001,1,10000000,0.01,3333333.3333333333333333,LayerZero,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,ZRO,,,ZRO-USD,[],ZRO,USD,False,0.001,ZRO-USDC,CBE,6001011.12,2024-06-20T15:56:00.047Z,,,,,,,,False,,,
