,id,base,base_name,quote,quote_name,fee,min_base_amount,min_quote_amount,max_quote_amount,amount_precision,precision,trade_status,sell_start,buy_start,type,trade_url,st_tag,slippage,market_order_max_stock,market_order_max_money,up_rate,down_rate,delisting_time,max_base_amount
1927,SOL5L_USDT,SOL5L,SOL5xLong,USDT,Tether,0.2,0.01,3,5000000,2,5,tradable,1577808000,1770883200,normal,https://www.gate.com/trade/SOL5L_USDT,False,0.06,74850299.4,500000,0.6,0.6,,
1928,RTF_USDT,RTF,Ready to Fight,USDT,Tether,0.2,1,3,5000000,0,6,tradable,1607313600,1713954600,normal,https://www.gate.com/trade/RTF_USDT,False,0.1,11157601.12,200000,0.4,0.4,,
1929,ZIL_USDT,ZIL,Zilliqa,USDT,Tether,0.2,0.01,3,5000000,2,6,tradable,0,0,normal,https://www.gate.com/trade/ZIL_USDT,False,0.08,61938680.71,300000,0.35,0.35,,
1930,SAAS_USDT,SAAS,SaaSGo,USDT,Tether,0.2,1,3,5000000,0,7,tradable,1577808000,1734678000,normal,https://www.gate.com/trade/SAAS_USDT,False,0.1,131173345.58,200000,0.4,0.4,,
1931,WOD_USDT,WOD,World of Dypians,USDT,Tether,0.2,1,3,5000000,0,6,tradable,1577808000,1732705200,normal,https://www.gate.com/trade/WOD_USDT,False,0.1,11585248.12,300000,0.4,0.4,,
1932,BLZ_USDT,BLZ,Bluzelle,USDT,Tether,0.2,1,3,5000000,0,6,tradable,0,0,normal,https://www.gate.com/trade/BLZ_USDT,False,0.1,13214403.7,200000,0.4,0.4,,
1933,DGB_USDT,DGB,DigiByte,USDT,Tether,0.2,0.1,3,5000000,1,6,tradable,0,1710838800,normal,https://www.gate.com/trade/DGB_USDT,False,0.1,34665048.96,200000,0.35,0.35,,
1934,KAIA_USDT,KAIA,Kaia,USDT,Tether,0.2,0.01,3,5000000,2,5,tradable,1577808000,1730174400,normal,https://www.gate.com/trade/KAIA_USDT,False,0.06,7258474.27,500000,0.3,0.3,,
1935,MOODENG3S_USDT,MOODENG3S,MOODENG3xShort,USDT,Tether,0.2,0.01,3,5000000,2,6,tradable,1577808000,1753691400,normal,https://www.gate.com/trade/MOODENG3S_USDT,False,0.1,4039180.05,200000,0.6,0.6,,
1936,STIX_USDT,STIX,STIX,USDT,Tether,0.2,1,3,5000000,0,9,tradable,1577808000,1732579200,normal,https://www.gate.com/trade/STIX_USDT,False,0.1,6265664160.4,100000,0.4,0.4,,
