,base-currency,quote-currency,price-precision,amount-precision,symbol-partition,symbol,state,value-precision,min-order-amt,max-order-amt,min-order-value,limit-order-min-order-amt,limit-order-max-order-amt,limit-order-max-buy-amt,limit-order-max-sell-amt,buy-limit-must-less-than,sell-limit-must-greater-than,sell-market-min-order-amt,sell-market-max-order-amt,buy-market-max-order-value,market-sell-order-rate-must-less-than,market-buy-order-rate-must-less-than,api-trading,tags,leverage-ratio,super-margin-leverage-ratio,max-order-value,funding-leverage-ratio
0,snx,usdt,4,2,main,snxusdt,online,8,0.01,250000.0,10.0,0.01,250000.0,250000.0,250000.0,1.1,0.9,0.01,324267.0,100000.0,0.1,0.1,enabled,,,,,
1,ertha,usdt,7,2,main,erthausdt,offline,8,0.1,55555555.0,10.0,0.1,55555555.0,55555555.0,55555555.0,1.1,0.9,0.1,355431927.0,100000.0,0.1,0.1,enabled,st,,,,
2,aic,usdt,5,4,main,aicusdt,online,8,0.1,4935005.0,10.0,0.1,4935005.0,4935005.0,4935005.0,1.25,0.75,0.1,1849409.0,50000.0,0.05,0.05,enabled,"st,innovate",,,,
3,utk,eth,8,2,main,utketh,offline,8,0.1,5500000.0,0.001,0.1,5500000.0,5500000.0,5500000.0,1.1,0.9,0.1,550000.0,300.0,0.1,0.1,enabled,,,,,
4,eden,usdt,4,4,st,edenusdt,offline,8,0.001,151068.0,10.0,0.001,151068.0,151068.0,151068.0,1.1,0.9,0.001,15106.0,100000.0,0.1,0.1,enabled,,,,,
5,stg,usdt,4,4,main,stgusdt,online,8,0.001,458715.0,10.0,0.001,458715.0,458715.0,458715.0,1.25,0.75,0.001,428576.0,100000.0,0.1,0.1,enabled,st,,,,
6,tlos,usdt,5,4,main,tlosusdt,online,8,0.01,2828854.0,10.0,0.01,2828854.0,2828854.0,2828854.0,1.1,0.9,0.01,9619406.0,100000.0,0.1,0.1,enabled,,,,,
7,cre,ht,6,2,main,creht,offline,8,1.0,80000000.0,0.1,1.0,80000000.0,80000000.0,80000000.0,1.1,0.9,1.0,8000000.0,35000.0,0.1,0.1,enabled,,,,,
8,eurt,usdt,4,4,main,eurtusdt,offline,8,0.01,952380.0,10.0,0.01,952380.0,952380.0,952380.0,1.25,0.75,0.01,611523.0,100000.0,0.01,0.01,enabled,st,,,,
9,tos,eth,8,2,st,toseth,offline,8,1.0,10000000.0,0.001,1.0,10000000.0,10000000.0,10000000.0,1.1,0.9,1.0,1000000.0,50.0,0.05,0.05,enabled,hadax,,,,
10,mubarak,usdt,5,4,main,mubarakusdt,online,8,0.1,7692307.0,10.0,0.1,7692307.0,7692307.0,7692307.0,1.1,0.9,0.1,3237886.0,50000.0,0.05,0.05,enabled,,,,,
11,ar,eth,6,2,main,areth,offline,8,0.001,330000.0,0.001,0.001,330000.0,330000.0,330000.0,1.1,0.9,0.001,33000.0,270.0,0.1,0.1,enabled,,,,,
12,xpet,usdt,4,4,main,xpetusdt,offline,8,0.01,359712.0,10.0,0.01,359712.0,359712.0,359712.0,1.1,0.9,0.01,6435366.0,100000.0,0.1,0.1,enabled,st,,,,
13,noia,usdt,4,4,main,noiausdt,offline,8,0.01,5461496.0,10.0,0.01,5461496.0,5461496.0,5461496.0,1.1,0.9,0.01,546149.0,100000.0,0.1,0.1,enabled,,,,,
14,delorean,usdt,6,4,main,deloreanusdt,online,8,0.1,80000000.0,10.0,0.1,80000000.0,80000000.0,80000000.0,1.1,0.9,0.1,69389971.0,50000.0,0.05,0.05,enabled,,,,,
15,rad,usdt,4,4,main,radusdt,online,8,0.0001,88994.0,10.0,0.0001,88994.0,88994.0,88994.0,1.1,0.9,0.0001,412630.0,100000.0,0.1,0.1,enabled,,,,,
16,theta,usdt,4,4,main,thetausdt,online,8,0.1,3000000.0,10.0,0.1,3000000.0,3000000.0,3000000.0,1.1,0.9,0.1,442758.0,100000.0,0.1,0.1,enabled,,3.0,3.0,,
17,jenner,usdt,6,4,main,jennerusdt,offline,8,1.0,48496605.0,10.0,1.0,48496605.0,48496605.0,48496605.0,1.1,0.9,1.0,4849660.0,100000.0,0.1,0.1,enabled,highrisk,,,,
18,sand,ht,6,4,main,sandht,offline,8,0.1,23809523.0,0.1,0.1,23809523.0,23809523.0,23809523.0,1.1,0.9,0.1,2380952.0,21646.0,0.1,0.1,enabled,,,,,
19,clawd,usdt,8,2,main,clawdusdt,online,8,1.0,6184291898.0,10.0,1.0,6184291898.0,6184291898.0,6184291898.0,1.1,0.9,1.0,1891914123.0,50000.0,0.05,0.05,enabled,innovate,,,,
20,grs,eth,6,4,st,grseth,offline,8,0.1,1350000.0,0.001,0.1,1350000.0,1350000.0,1350000.0,1.1,0.9,0.1,135000.0,50.0,0.1,0.1,enabled,,,,,
21,ordi,usdt,4,4,main,ordiusdt,online,8,0.001,64935.0,10.0,0.001,64935.0,64935.0,64935.0,1.1,0.9,0.001,16597.0,100000.0,0.1,0.1,enabled,,3.0,,,
22,kcash,btc,10,2,main,kcashbtc,offline,8,1.0,50000000.0,0.0001,1.0,50000000.0,50000000.0,50000000.0,1.1,0.9,1.0,5000000.0,8.0,0.1,0.1,enabled,hadax,,,,
23,uuu,eth,10,2,main,uuueth,offline,8,10.0,1000000000.0,0.001,10.0,1000000000.0,1000000000.0,1000000000.0,1.1,0.9,10.0,100000000.0,270.0,0.1,0.1,enabled,hadax,,,,
24,babydoge,usdt,12,2,main,babydogeusdt,online,8,1.0,322997416020671.0,10.0,1.0,322997416020671.0,322997416020671.0,322997416020671.0,1.1,0.9,1.0,226600985645854.0,100000.0,0.1,0.1,enabled,,,3.0,,
25,kan,usdt,6,4,main,kanusdt,offline,8,1.0,125000000.0,10.0,1.0,125000000.0,125000000.0,125000000.0,1.1,0.9,1.0,131842934.0,100000.0,0.1,0.1,enabled,st,,,,
26,ltc,husd,2,4,main,ltchusd,offline,8,0.001,30000.0,1.0,0.001,30000.0,30000.0,30000.0,1.1,0.9,0.001,3000.0,100000.0,0.1,0.1,enabled,crypto,,,,
27,pnt,eth,12,2,st,pnteth,offline,8,1.0,50000000.0,0.001,1.0,50000000.0,50000000.0,50000000.0,1.1,0.9,1.0,2500000.0,150.0,0.1,0.1,enabled,hadax,,,,
28,pci,usdt,5,2,main,pciusdt,online,8,1.0,30000000.0,10.0,1.0,30000000.0,30000000.0,30000000.0,1.1,0.9,1.0,92788329.0,5000000.0,0.1,0.1,enabled,,3.0,,,
29,btm,btc,10,2,main,btmbtc,offline,8,0.1,14500000.0,0.0001,0.1,14500000.0,14500000.0,14500000.0,1.1,0.9,0.1,1450000.0,9.0,0.1,0.1,enabled,,,,,
30,ncc,eth,10,2,st,ncceth,offline,8,1.0,1878824.5036,0.001,1.0,1878824.5036,1878824.5036,1878824.5036,1.1,0.9,1.0,1878824.5036,0.4159,0.1,0.1,enabled,"st,hadax",,,1000.0,
31,aethusdt,usdt,4,4,main,aethusdtusdt,online,8,0.1,1000000.0,10.0,0.1,1000000.0,1000000.0,1000000.0,1.1,0.9,0.1,49991.0,50000.0,0.05,0.05,enabled,zerofee,,,,
32,eko,btc,12,2,st,ekobtc,offline,8,1.0,100000000.0,0.0001,1.0,100000000.0,100000000.0,100000000.0,1.1,0.9,1.0,10000000.0,10.0,0.1,0.1,enabled,,,,,
33,nodeops,usdt,5,4,main,nodeopsusdt,online,8,0.1,6802721.0,10.0,0.1,6802721.0,6802721.0,6802721.0,1.1,0.9,0.1,4390486.0,50000.0,0.05,0.05,enabled,innovate,,,,
34,snakes,usdt,6,4,main,snakesusdt,offline,8,1.0,14285714.0,10.0,1.0,14285714.0,14285714.0,14285714.0,1.1,0.9,1.0,58598726.0,50000.0,0.05,0.05,enabled,st,,,,
35,badger,usdt,4,4,main,badgerusdt,online,8,0.01,61793.0,10.0,0.01,61793.0,61793.0,61793.0,1.1,0.9,0.01,255748.0,100000.0,0.1,0.1,enabled,,,,,
36,kcal,usdt,4,4,main,kcalusdt,offline,8,0.1,1000000.0,10.0,0.1,1000000.0,1000000.0,1000000.0,1.1,0.9,0.1,100000.0,100000.0,0.1,0.1,enabled,,,,,
37,evx,btc,10,2,st,evxbtc,offline,8,0.01,32121.3243,0.0001,0.01,32121.3243,32121.3243,32121.3243,1.1,0.9,0.01,32121.3243,0.0129,0.1,0.1,enabled,st,,,1000.0,
38,magic,usdt,4,4,main,magicusdt,online,8,0.1,1094930.0,10.0,0.1,1094930.0,1094930.0,1094930.0,1.1,0.9,0.1,1430971.0,100000.0,0.1,0.1,enabled,,,,,
39,navx,usdt,6,4,main,navxusdt,online,8,1.0,35000000.0,10.0,1.0,35000000.0,35000000.0,35000000.0,1.25,0.75,1.0,12487512.0,100000.0,0.1,0.1,enabled,st,,,,
40,bxen,usdt,12,2,main,bxenusdt,offline,8,1.0,625000000000.0,10.0,1.0,625000000000.0,625000000000.0,625000000000.0,1.1,0.9,1.0,62500000000.0,100000.0,0.1,0.1,enabled,,,,,
41,house,usdt,6,4,main,houseusdt,online,8,1.0,16666666.0,10.0,1.0,16666666.0,16666666.0,16666666.0,1.25,0.75,1.0,27852454.0,50000.0,0.05,0.05,enabled,st,,,,
42,eos,btc,8,2,main,eosbtc,offline,8,0.1,1000000.0,0.0001,0.1,1000000.0,1000000.0,1000000.0,1.1,0.9,0.01,100000.0,100.0,0.1,0.1,enabled,,,3.0,,
43,lba,btc,9,2,st,lbabtc,offline,8,1.0,866751.4156,0.0001,1.0,866751.4156,866751.4156,866751.4156,1.1,0.9,1.0,866751.4156,0.0129,0.1,0.1,enabled,"st,highrisk",,,1000.0,
44,hot,usdt,6,4,main,hotusdt,online,8,1.0,242600679.0,10.0,1.0,242600679.0,242600679.0,242600679.0,1.1,0.9,1.0,227610094.0,100000.0,0.1,0.1,enabled,,,,,
45,aztec,usdt,6,4,main,aztecusdt,online,8,1.0,22222222.0,10.0,1.0,22222222.0,22222222.0,22222222.0,1.1,0.9,1.0,2112025.0,50000.0,0.05,0.05,enabled,,,,,
46,u,usdt,4,4,main,uusdt,online,8,0.1,5000000.0,10.0,0.1,5000000.0,5000000.0,5000000.0,1.1,0.9,0.1,50017.0,50000.0,0.01,0.01,enabled,zerofee,,,,
47,sca,usdt,4,2,main,scausdt,online,8,1.0,10000000.0,10.0,1.0,10000000.0,10000000.0,10000000.0,1.1,0.9,1.0,5363805.0,100000.0,0.1,0.1,enabled,,,,,
48,boring,eth,8,2,main,boringeth,offline,8,0.1,36737692.0,0.001,0.1,36737692.0,36737692.0,36737692.0,1.1,0.9,0.1,3673769.0,50.0,0.1,0.1,enabled,,,,,
49,avax,eth,6,4,main,avaxeth,offline,8,0.001,190000.0,0.001,0.001,190000.0,190000.0,190000.0,1.1,0.9,0.001,19000.0,290.0,0.1,0.1,enabled,,,,,
50,dechat,usdt,4,4,main,dechatusdt,offline,8,0.01,500000.0,10.0,0.01,500000.0,500000.0,500000.0,1.1,0.9,0.01,5946225.0,100000.0,0.1,0.1,enabled,st,,,,
51,mta,btc,8,4,st,mtabtc,offline,8,0.01,140000.0,0.0001,0.01,140000.0,140000.0,140000.0,1.1,0.9,0.01,14000.0,8.0,0.1,0.1,enabled,,,,,
52,snx,husd,4,2,main,snxhusd,offline,8,0.01,250000.0,1.0,0.01,250000.0,250000.0,250000.0,1.1,0.9,0.01,25000.0,100000.0,0.1,0.1,enabled,,,,,
53,xcur,usdt,5,4,main,xcurusdt,offline,8,0.001,724637.0,10.0,0.001,724637.0,724637.0,724637.0,1.1,0.9,0.001,72463.0,100000.0,0.1,0.1,enabled,,,,,
54,ant,btc,8,2,main,antbtc,offline,8,0.01,250000.0,0.0001,0.01,250000.0,250000.0,250000.0,1.1,0.9,0.01,25000.0,13.0,0.1,0.1,enabled,,,,,
55,trac,usdt,4,4,main,tracusdt,online,8,0.01,1000800.0,10.0,0.01,1000800.0,1000800.0,1000800.0,1.1,0.9,0.01,323975.0,100000.0,0.1,0.1,enabled,,,,,
56,dora,usdt,6,4,main,dorausdt,online,8,0.1,10000000.0,10.0,0.1,10000000.0,10000000.0,10000000.0,4.0,0.75,0.1,222172850.0,1000000.0,0.1,0.1,enabled,st,,,,
57,bone,usdt,4,4,main,boneusdt,online,8,0.01,465116.0,10.0,0.01,465116.0,465116.0,465116.0,1.25,0.75,0.01,1717058.0,100000.0,0.1,0.1,enabled,st,,,,
58,solo,usdt,5,4,main,solousdt,offline,8,0.01,4803073.0,10.0,0.01,4803073.0,4803073.0,151833.2211,1.1,0.95,0.01,151833.2211,100000.0,0.05,0.1,enabled,abnormalmarket,,,,
59,wld,usdt,3,4,main,wldusdt,online,8,1.0,100000000.0,1.0,1.0,100000000.0,100000000.0,100000000.0,1.1,0.9,1.0,352274.0,100000.0,0.1,0.1,enabled,,3.0,,,
60,swrv,eth,6,4,st,swrveth,offline,8,0.001,174825.0,0.001,0.001,174825.0,174825.0,174825.0,1.1,0.9,0.001,17482.0,290.0,0.1,0.1,enabled,,,,,
61,soon,usdt,4,4,main,soonusdt,online,8,0.1,2040816.0,10.0,0.1,2040816.0,2040816.0,2040816.0,1.1,0.9,0.1,242140.0,50000.0,0.05,0.05,enabled,innovate,,,,
62,bhd,usdt,4,4,st,bhdusdt,offline,8,0.001,100000.0,10.0,0.001,100000.0,100000.0,100000.0,1.1,0.9,0.001,10000.0,200000.0,0.1,0.1,enabled,,,,,
63,lol,ht,8,4,st,lolht,offline,8,1.0,2000000000.0,0.1,1.0,2000000000.0,2000000000.0,2000000000.0,1.1,0.9,1.0,200000000.0,17000.0,0.1,0.1,enabled,,,,,
64,she,btc,12,2,st,shebtc,offline,8,1.0,1250000000.0,0.0001,1.0,1250000000.0,1250000000.0,1250000000.0,1.1,0.9,1.0,125000000.0,8.0,0.1,0.1,enabled,hadax,,,,
65,lamb,ht,6,4,main,lambht,offline,8,0.1,7000000.0,0.1,0.1,7000000.0,7000000.0,7000000.0,1.1,0.9,0.1,700000.0,40000.0,0.1,0.1,enabled,,,,,
66,velodrome,usdt,4,4,main,velodromeusdt,online,8,0.1,4450378.0,10.0,0.1,4450378.0,4450378.0,4450378.0,1.1,0.9,0.1,5873340.0,100000.0,0.1,0.1,enabled,,,,,
67,xmr,btc,6,4,main,xmrbtc,offline,8,0.0001,5000.0,0.0001,0.0001,5000.0,5000.0,5000.0,1.1,0.9,0.0001,500.0,10.0,0.1,0.1,enabled,,,3.0,,
68,flow,usdt,6,4,main,flowusdt,online,8,0.01,20000000.0,10.0,0.01,20000000.0,20000000.0,20000000.0,1.1,0.9,0.0001,2708511.0,100000.0,0.1,0.1,enabled,activities,2.0,,,
69,sand,usdc,6,4,main,sandusdc,offline,8,0.1,718136.0,10.0,0.1,718136.0,718136.0,718136.0,1.1,0.9,0.1,71813.0,100000.0,0.1,0.1,enabled,,,,,
70,ogn,usdt,4,2,main,ognusdt,online,8,0.1,5000000.0,10.0,0.1,5000000.0,5000000.0,5000000.0,1.1,0.9,0.1,5931110.0,140000.0,0.1,0.1,enabled,,,,,
71,aitech,usdt,6,4,main,aitechusdt,online,8,1.0,17528483.0,10.0,1.0,17528483.0,17528483.0,17528483.0,1.1,0.9,1.0,14189297.0,100000.0,0.1,0.1,enabled,,3.0,,,
72,hydro,btc,10,2,st,hotbtc,offline,8,1.0,10000000.0,0.0001,1.0,10000000.0,10000000.0,10000000.0,1.1,0.9,1.0,1000000.0,10.0,0.1,0.1,enabled,hadax,,,,
73,ela,usdt,4,2,main,elausdt,online,8,0.01,10000.0,10.0,0.01,10000.0,10000.0,10000.0,1.25,0.75,0.01,215660.0,100000.0,0.1,0.1,enabled,st,,,,
74,xlm,eth,8,4,main,xlmeth,offline,8,0.1,10000000.0,0.001,0.1,10000000.0,10000000.0,10000000.0,1.1,0.9,0.1,1000000.0,50.0,0.1,0.1,enabled,,,,,
75,lester,usdt,5,4,main,lesterusdt,offline,8,1.0,12500000.0,10.0,1.0,12500000.0,12500000.0,12500000.0,1.1,0.9,1.0,75311067.0,100000.0,0.1,0.1,enabled,st,,,,
76,pearl,eth,6,6,st,pearleth,offline,8,0.0001,300.0,0.001,0.0001,300.0,300.0,300.0,1.1,0.9,0.0001,30.0,230.0,0.1,0.1,enabled,,,,,
77,mine,usdt,6,4,main,mineusdt,offline,8,1.0,23934897.0,10.0,1.0,23934897.0,12445887.4458,23934897.0,1.1,0.9,1.0,2393489.0,2000.0,0.1,0.1,enabled,abnormalmarket,,,,
78,yamv2,eth,6,4,st,yamv2eth,offline,8,0.0001,30000.0,0.001,0.0001,30000.0,30000.0,30000.0,1.1,0.9,0.0001,3000.0,230.0,0.1,0.1,enabled,,,,,
79,sdn,usdt,4,2,main,sdnusdt,offline,8,0.01,310000.0,10.0,0.01,310000.0,310000.0,310000.0,1.1,0.9,0.01,31000.0,100000.0,0.1,0.1,enabled,,,,,
80,auction,usdt,4,4,main,auctionusdt,online,8,0.0001,45713.0,10.0,0.0001,45713.0,45713.0,45713.0,1.1,0.9,0.0001,20010.0,100000.0,0.1,0.1,enabled,,,,,
81,prcl,usdt,4,4,main,prclusdt,online,8,0.1,1162790.0,10.0,0.1,1162790.0,1162790.0,1162790.0,1.25,0.75,0.1,6727113.0,100000.0,0.1,0.1,enabled,st,,,,
82,axs,usdt,4,4,main,axsusdt,online,8,0.001,164130.0,10.0,0.001,164130.0,164130.0,164130.0,1.1,0.9,0.001,84464.0,100000.0,0.1,0.1,enabled,,3.0,,,
83,btc,usdd,2,6,main,btcusdd,online,8,0.0001,51.0,10.0,0.0001,51.0,51.0,51.0,1.1,0.9,0.0001,2.5,50000.0,0.01,0.01,enabled,zerofee,,,,
84,kripto,usdt,7,4,main,kriptousdt,offline,8,1.0,221287895.0,10.0,1.0,221287895.0,221287895.0,221287895.0,1.1,0.9,1.0,22128789.0,100000.0,0.1,0.1,enabled,,,,,
85,aave,usdt,4,4,main,aaveusdt,online,8,0.0001,19956.0,1.0,0.0001,19956.0,19956.0,19956.0,1.1,0.9,0.0001,871.0,100000.0,0.1,0.1,enabled,,2.0,3.0,,
86,iris,husd,6,2,st,irishusd,offline,8,1.0,6500000.0,1.0,1.0,6500000.0,6500000.0,6500000.0,1.1,0.9,1.0,650000.0,100000.0,0.1,0.1,enabled,,,,,
87,aped,usdt,4,4,main,apedusdt,offline,8,0.01,294117.0,10.0,0.01,294117.0,294117.0,294117.0,1.1,0.9,0.01,29411.0,100000.0,0.1,0.1,enabled,st,,,,
88,nkn,usdt,6,2,main,nknusdt,online,8,1.0,10000000.0,10.0,1.0,10000000.0,10000000.0,10000000.0,1.25,0.75,1.0,11031968.0,100000.0,0.1,0.1,enabled,st,,,,
89,zkf,usdt,6,4,main,zkfusdt,offline,8,1.0,70126227.0,10.0,1.0,70126227.0,70126227.0,70126227.0,1.1,0.9,1.0,1865369018.0,100000.0,0.1,0.1,enabled,st,,,,
90,moonpig,usdt,5,4,main,moonpigusdt,offline,8,1.0,19230769.0,10.0,1.0,19230769.0,19230769.0,19230769.0,1.1,0.9,1.0,59958289.0,50000.0,0.05,0.05,enabled,st,,,,
91,uni,husd,4,4,main,unihusd,offline,8,0.01,1333333.0,1.0,0.01,1333333.0,1333333.0,1333333.0,1.1,0.9,0.01,133333.0,100000.0,0.1,0.1,enabled,crypto,,,,
92,wif,usdt,4,4,main,wifusdt,online,8,0.1,4980079.0,10.0,0.1,4980079.0,4980079.0,4980079.0,1.1,0.9,0.1,466361.0,100000.0,0.1,0.1,enabled,,3.0,,,
93,lit,usdt,4,4,main,litusdt,online,8,0.01,500000.0,10.0,0.01,500000.0,500000.0,500000.0,1.1,0.9,0.01,48057.0,50000.0,0.05,0.05,enabled,,3.0,,,
94,api3,usdt,4,4,main,api3usdt,online,8,0.01,372619.0,10.0,0.01,372619.0,372619.0,372619.0,1.1,0.9,0.01,303178.0,100000.0,0.1,0.1,enabled,,,,,
95,jup,usdt,4,4,main,jupusdt,online,8,1.0,100000000.0,10.0,1.0,100000000.0,100000000.0,100000000.0,1.1,0.9,1.0,540705.0,100000.0,0.1,0.1,enabled,,3.0,,,
96,mtl,usdt,4,4,main,mtlusdt,online,8,0.1,1297521.0,10.0,0.1,1297521.0,1297521.0,1297521.0,1.25,0.75,0.1,308187.0,100000.0,0.1,0.1,enabled,st,,,,
97,mnde,usdt,5,4,main,mndeusdt,online,8,0.1,5571030.0,10.0,0.1,5571030.0,5571030.0,5571030.0,1.1,0.9,0.1,4969319.0,100000.0,0.05,0.05,enabled,,,,,
98,xmn,usdt,6,4,main,xmnusdt,online,8,0.1,72674418.0,1.0,0.1,72674418.0,72674418.0,72674418.0,1.1,0.9,0.1,9266571.0,50000.0,0.05,0.05,enabled,innovate,3.0,,,
99,ufd,usdt,6,4,main,ufdusdt,online,8,1.0,25138260.0,10.0,1.0,25138260.0,25138260.0,25138260.0,1.25,0.75,1.0,5528766.0,50000.0,0.05,0.05,enabled,"st,innovate",,,,
100,upi,usdt,6,4,st,upiusdt,offline,8,0.01,7401924.0,10.0,0.01,7401924.0,7401924.0,7401924.0,1.1,0.9,0.01,740192.0,100000.0,0.1,0.1,enabled,,,,,
101,blast,usdt,6,4,main,blastusdt,online,8,0.01,51000000.0,10.0,0.01,51000000.0,51000000.0,51000000.0,1.1,0.9,0.01,181731984.0,100000.0,0.1,0.1,enabled,,,,,
102,ltc,usdt,2,4,main,ltcusdt,online,8,0.001,100000.0,1.0,0.001,100000.0,100000.0,100000.0,1.1,0.9,0.001,1773.0,100000.0,0.1,0.1,enabled,,5.0,3.0,,
103,dio,usdt,6,2,main,diousdt,offline,8,0.1,25000000.0,10.0,0.1,25000000.0,25000000.0,25000000.0,1.1,0.9,0.1,81713859.0,100000.0,0.1,0.1,enabled,st,,,,
104,swftc,eth,10,2,main,swftceth,offline,8,1.0,510000000.0,0.001,1.0,510000000.0,510000000.0,510000000.0,1.1,0.9,1.0,9.0,260.0,0.1,0.1,enabled,,,,,
105,aave,husd,4,4,main,aavehusd,offline,8,0.0001,3580.0,1.0,0.0001,3580.0,3580.0,3580.0,1.1,0.9,0.0001,358.0,100000.0,0.1,0.1,enabled,crypto,,,,
106,esx,usdt,6,4,main,esxusdt,online,8,1.0,338983050.0,10.0,1.0,338983050.0,338983050.0,338983050.0,1.25,0.75,1.0,67519962.0,50000.0,0.05,0.05,enabled,"st,innovate",,,,
107,mbox,usdt,4,4,main,mboxusdt,online,8,0.001,416666.0,10.0,0.001,416666.0,416666.0,416666.0,1.1,0.9,0.001,7057379.0,100000.0,0.1,0.1,enabled,,,,,
108,ern,usdt,4,4,main,ernusdt,offline,8,0.001,197238.0,10.0,0.001,197238.0,197238.0,197238.0,1.1,0.9,0.001,19723.0,100000.0,0.1,0.1,enabled,,,,,
109,a8,usdt,5,4,main,a8usdt,online,8,1.0,10000000.0,10.0,1.0,10000000.0,10000000.0,10000000.0,1.1,0.9,1.0,9332521.0,100000.0,0.1,0.1,enabled,,,,,
110,sns,usdt,7,2,main,snsusdt,online,8,0.1,20000000.0,10.0,0.1,20000000.0,20000000.0,20000000.0,1.25,0.75,0.1,1156069364.0,100000.0,0.1,0.1,enabled,st,,,,
111,wlkn,usdt,7,4,main,wlknusdt,offline,8,0.1,60606060.0,10.0,0.1,60606060.0,60606060.0,60606060.0,1.1,0.9,0.1,206228088.0,100000.0,0.1,0.1,enabled,st,,,,
112,zrx,eth,8,2,main,zrxeth,offline,8,0.1,2000000.0,0.001,0.1,2000000.0,2000000.0,2000000.0,1.1,0.9,0.1,200000.0,1000.0,0.1,0.1,enabled,,,,,
113,silly,usdt,5,4,main,sillyusdt,offline,8,1.0,14008348.0,10.0,1.0,14008348.0,14008348.0,14008348.0,1.1,0.9,1.0,66802207.0,100000.0,0.1,0.1,enabled,st,,,,
114,may,usdt,6,4,main,mayusdt,online,8,1.0,13297872.0,10.0,1.0,13297872.0,13297872.0,13297872.0,1.1,0.9,1.0,7862925.0,50000.0,0.05,0.05,enabled,,,,,
115,uni2l,usdt,6,4,main,uni2lusdt,offline,8,0.001,49998.0,10.0,0.001,49998.0,49998.0,49998.0,1.5,0.5,0.001,49998.0,2500.0,0.1,0.1,enabled,"etp,nav,holdinglimit",,,2500.0,
116,mcg,usdt,5,4,main,mcgusdt,offline,8,0.1,3333333.0,10.0,0.1,3333333.0,3333333.0,3333333.0,1.1,0.9,0.1,333333.0,100000.0,0.1,0.1,enabled,,,,,
117,iris,usdt,6,2,st,irisusdt,offline,8,1.0,6500000.0,10.0,1.0,6500000.0,6500000.0,6500000.0,1.1,0.9,1.0,650000.0,100000.0,0.1,0.1,enabled,,,,,
118,link,usdd,4,2,main,linkusdd,offline,8,0.01,172711.0,10.0,0.01,172711.0,172711.0,172711.0,1.1,0.9,0.01,17271.0,100000.0,0.1,0.1,enabled,zerofee,,,,
119,orca,usdt,4,4,main,orcausdt,online,8,0.01,128534.0,10.0,0.01,128534.0,128534.0,128534.0,1.1,0.9,0.01,105250.0,100000.0,0.05,0.05,enabled,,,,,
120,tree,usdt,4,4,main,treeusdt,online,8,0.1,2500000.0,10.0,0.1,2500000.0,2500000.0,2500000.0,1.1,0.9,0.1,713886.0,50000.0,0.05,0.05,enabled,,,,,
121,elf,usdt,4,4,main,elfusdt,online,8,0.1,500000.0,10.0,0.1,500000.0,500000.0,500000.0,1.1,0.9,0.1,1221325.0,100000.0,0.1,0.1,enabled,,,,,
122,renbtc,btc,4,4,st,renbtcbtc,offline,8,0.0001,96.0,0.0001,0.0001,96.0,96.0,96.0,1.1,0.9,0.0001,9.0,9.0,0.1,0.1,enabled,,,,,
123,juice,usdt,6,4,main,juiceusdt,offline,8,0.1,7500000.0,10.0,0.1,7500000.0,7500000.0,7500000.0,1.1,0.9,0.1,384037401.0,100000.0,0.1,0.1,enabled,st,,,,
124,wbtc,usdt,2,4,main,wbtcusdt,offline,8,0.0001,16.0,10.0,0.0001,16.0,16.0,16.0,1.1,0.9,0.0001,3.0,100000.0,0.1,0.1,enabled,,,,,
125,rccc,usdt,6,4,st,rcccusdt,offline,8,1.0,121802679.0,10.0,1.0,121802679.0,121802679.0,121802679.0,1.1,0.9,1.0,12180267.0,100000.0,0.1,0.1,enabled,,,,,
126,mco,usdt,4,2,st,mcousdt,offline,8,0.01,350000.0,10.0,0.01,350000.0,350000.0,350000.0,1.1,0.9,0.01,35000.0,140000.0,0.1,0.1,enabled,,,,,
127,efi,usdt,4,4,main,efiusdt,offline,8,0.01,1250156.0,10.0,0.01,1250156.0,1250156.0,1250156.0,1.1,0.9,0.01,125015.0,100000.0,0.1,0.1,enabled,,,,,
128,cnns,btc,10,2,st,cnnsbtc,offline,8,1.0,200000000.0,0.0001,1.0,200000000.0,200000000.0,200000000.0,1.1,0.9,1.0,20000000.0,7.0,0.1,0.1,enabled,,,,,
129,bnsx,usdt,4,4,main,bnsxusdt,offline,8,0.01,800000.0,10.0,0.01,800000.0,800000.0,800000.0,1.1,0.9,0.01,80000.0,100000.0,0.1,0.1,enabled,st,,,,
130,zk,usdt,4,4,main,zkusdt,online,8,0.1,3333333.0,10.0,0.1,3333333.0,3333333.0,3333333.0,1.1,0.9,0.1,4703476.0,100000.0,0.1,0.1,enabled,,,,,
131,nas,btc,8,4,st,nasbtc,offline,8,0.01,100000.0,0.0001,0.01,100000.0,100000.0,100000.0,1.1,0.9,0.01,10000.0,50.0,0.1,0.1,enabled,,,,,
132,badger,eth,6,4,main,badgereth,offline,8,0.01,61793.0,0.001,0.01,61793.0,61793.0,61793.0,1.1,0.9,0.01,6179.0,73.0,0.1,0.1,enabled,,,,,
133,ar,usdt,4,2,main,arusdt,online,8,0.001,330000.0,10.0,0.001,330000.0,330000.0,330000.0,1.1,0.9,0.001,48334.0,100000.0,0.1,0.1,enabled,,3.0,,,
