,base-currency,quote-currency,price-precision,amount-precision,symbol-partition,symbol,state,value-precision,min-order-amt,max-order-amt,min-order-value,limit-order-min-order-amt,limit-order-max-order-amt,limit-order-max-buy-amt,limit-order-max-sell-amt,buy-limit-must-less-than,sell-limit-must-greater-than,sell-market-min-order-amt,sell-market-max-order-amt,buy-market-max-order-value,market-sell-order-rate-must-less-than,market-buy-order-rate-must-less-than,api-trading,tags,leverage-ratio,super-margin-leverage-ratio,max-order-value,funding-leverage-ratio
1602,mtn,btc,10,2,st,mtnbtc,offline,8,0.1,1000000.0,0.0001,0.1,1000000.0,1000000.0,1000000.0,1.1,0.9,0.1,100000.0,100.0,0.1,0.1,enabled,,,,,
1603,propy,eth,8,2,main,propyeth,offline,8,0.01,10000000.0,0.001,0.01,10000000.0,10000000.0,10000000.0,1.1,0.9,0.01,1000000.0,340.0,0.1,0.1,enabled,,,,,
1604,hippo,usdt,6,4,main,hippousdt,online,8,1.0,85000000.0,1.0,1.0,85000000.0,85000000.0,85000000.0,1.1,0.9,1.0,553683196.0,100000.0,0.1,0.1,enabled,,3.0,,,
1605,ronin,usdt,4,4,main,roninusdt,online,8,0.01,300000.0,10.0,0.01,300000.0,300000.0,300000.0,1.1,0.9,0.01,1016709.0,100000.0,0.1,0.1,enabled,,,,,
1606,beer,usdt,8,2,main,beerusdt,offline,8,1.0,4798694755.0,1.0,1.0,4798694755.0,4798694755.0,4798694755.0,1.1,0.9,1.0,29940119760.0,100000.0,0.1,0.1,enabled,st,,,,
1607,fofar,usdt,6,4,main,fofarusdt,offline,8,1.0,94339622.0,10.0,1.0,94339622.0,94339622.0,2325581.3953,1.1,0.95,1.0,2325581.3953,100000.0,0.05,0.1,enabled,"st,abnormalmarket",,,,
1608,wallet,usdt,6,4,main,walletusdt,offline,8,0.1,33333333.0,10.0,0.1,33333333.0,33333333.0,33333333.0,1.25,0.75,0.1,13759766.0,100000.0,0.1,0.1,enabled,st,,,,
1609,icx,btc,8,4,main,icxbtc,offline,8,0.01,100000.0,0.0001,0.01,100000.0,100000.0,100000.0,1.1,0.9,0.01,100000.0,10.0,0.1,0.1,enabled,,,,,
1610,bags,usdt,4,4,st,bagsusdt,offline,8,0.0001,300000.0,10.0,0.0001,300000.0,300000.0,300000.0,1.1,0.9,0.0001,30000.0,100000.0,0.1,0.1,enabled,,,,,
1611,nsure,usdt,5,4,main,nsureusdt,offline,8,0.01,1123721.0,10.0,0.01,1123721.0,1123721.0,1123721.0,1.1,0.9,0.01,112372.0,100000.0,0.1,0.1,enabled,,,,,
1612,vet,usdc,6,4,main,vetusdc,offline,8,1.0,42660296.0,10.0,1.0,42660296.0,42660296.0,42660296.0,1.1,0.9,1.0,4266029.0,100000.0,0.1,0.1,enabled,,,,,
1613,bld,usdt,4,4,main,bldusdt,offline,8,0.1,1538461.0,10.0,0.1,1538461.0,1538461.0,1538461.0,1.1,0.9,0.1,16961651.0,100000.0,0.1,0.1,enabled,st,,,,
1614,abt,eth,8,2,st,abteth,offline,8,0.1,6000000.0,0.001,0.1,6000000.0,6000000.0,6000000.0,1.1,0.9,0.1,600000.0,260.0,0.1,0.1,enabled,,,,,
1615,lat,usdt,6,2,main,latusdt,online,8,0.01,8333333.0,5.0,0.01,8333333.0,8333333.0,8333333.0,1.1,0.9,0.01,73442539.0,100000.0,0.1,0.1,enabled,,,,,
1616,antex,usdt,8,2,st,antexusdt,offline,8,1.0,14568764568.0,10.0,1.0,14568764568.0,14568764568.0,14568764568.0,1.1,0.9,1.0,1456876456.0,100000.0,0.1,0.1,enabled,,,,,
1617,wnxm,usdt,4,4,main,wnxmusdt,offline,8,0.001,15000.0,10.0,0.001,15000.0,15000.0,15000.0,1.1,0.9,0.001,1286.0,100000.0,0.1,0.1,enabled,st,,,,
1618,wtc,usdt,4,4,main,wtcusdt,offline,8,0.1,300000.0,10.0,0.1,300000.0,300000.0,300000.0,1.1,0.9,0.01,30000.0,100000.0,0.1,0.1,enabled,,,,,
