,product_id,price,price_percentage_change_24h,volume_24h,volume_percentage_change_24h,base_increment,quote_increment,quote_min_size,quote_max_size,base_min_size,base_max_size,base_name,quote_name,watched,is_disabled,new,status,cancel_only,limit_only,post_only,trading_disabled,auction_mode,product_type,quote_currency_id,base_currency_id,fcm_trading_session_details,mid_market_price,alias,alias_to,base_display_symbol,quote_display_symbol,view_only,price_increment,display_name,product_venue,approximate_quote_24h_volume,new_at,market_cap,base_cbrn,quote_cbrn,product_cbrn,icon_color,icon_url,display_name_overwrite,is_alpha_testing,about_description,best_bid_price,best_ask_price,high_24h,low_24h,future_product_details_venue,future_product_details_contract_code,future_product_details_contract_expiry,future_product_details_contract_size,future_product_details_contract_root_unit,future_product_details_group_description,future_product_details_contract_expiry_timezone,future_product_details_group_short_description,future_product_details_risk_managed_by,future_product_details_contract_expiry_type,future_product_details_contract_display_name,future_product_details_time_to_expiry_ms,future_product_details_non_crypto,future_product_details_contract_expiry_name,future_product_details_twenty_four_by_seven,future_product_details_funding_interval,future_product_details_open_interest,future_product_details_funding_rate,future_product_details_funding_time,future_product_details_display_name,future_product_details_settlement_price,future_product_details_futures_asset_type,future_product_details_index_price,future_product_details_contract_code_display_name,future_product_details_product_group_cbrn,future_product_details_futures_asset_types,future_product_details_trading_hours_type,future_product_details_perpetual_details_open_interest,future_product_details_perpetual_details_funding_rate,future_product_details_perpetual_details_funding_time,future_product_details_perpetual_details_max_leverage,future_product_details_perpetual_details_base_asset_uuid,future_product_details_perpetual_details_underlying_type,future_product_details_intraday_margin_rate_long_margin_rate,future_product_details_intraday_margin_rate_short_margin_rate,future_product_details_overnight_margin_rate_long_margin_rate,future_product_details_overnight_margin_rate_short_margin_rate
47,XRP-31JUL26-CDE,1.3136,-2.60972716488731,201,0,1,0.01,0,100000000,1,1000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",1.3184,,[],,USD,True,0.0001,XRP 31 JUL 26,FCM,132016.8,,,,,,,,,False,,,,,,cde,XRP,2026-07-31T15:00:00Z,500,XRP,nano XRP Futures,Europe/London,nano XRP Futures,MANAGED_BY_FCM,EXPIRING,XRP 31 JUL 26,5174549745,False,2026-07,True,,112,,,XRP Futures (Jul 2026),1.3346,FUTURES_ASSET_TYPE_CRYPTO,,,,['FUTURES_ASSET_TYPE_CRYPTO'],TRADING_HOURS_TYPE_UNSPECIFIED,112,,,,,,0.1998612,0.2001662,0.3605,0.54275
48,ADA-26JUN26-CDE,0.232,-0.9816474605207,1137,200.79365079365079,1,0.01,0,100000000,1,1000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",0.232,,[],,USD,False,0.0001,ADA 26 JUN 26,FCM,263784,,,,,,,,,False,,,,,,cde,ADA,2026-06-26T15:00:00Z,1000,ADA,nano Cardano Futures,Europe/London,nano Cardano Futures,MANAGED_BY_FCM,EXPIRING,ADA 26 JUN 26,2150549746,False,2026-06,True,,370,,,Cardano Futures (Jun 2026),0.2336,FUTURES_ASSET_TYPE_CRYPTO,,,,['FUTURES_ASSET_TYPE_CRYPTO'],TRADING_HOURS_TYPE_UNSPECIFIED,370,,,,,,0.2000072,0.200027,0.26825,0.394375
49,LNK-31JUL26-CDE,8.975,-0.32207907596624,23,0,1,0.01,0,100000000,1,1000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",9.14,,[],,USD,True,0.001,LINK 31 JUL 26,FCM,10321.25,,,,,,,,,False,,,,,,cde,LNK,2026-07-31T15:00:00Z,50,LINK,Chainlink Futures,Europe/London,Chainlink Futures,MANAGED_BY_FCM,EXPIRING,LINK 31 JUL 26,5174549746,False,2026-07,True,,10,,,Chainlink Futures (Jul 2026),9.081,FUTURES_ASSET_TYPE_CRYPTO,,,,['FUTURES_ASSET_TYPE_CRYPTO'],TRADING_HOURS_TYPE_UNSPECIFIED,10,,,,,,0.1999115,0.19998,0.308125,0.416625
50,ENA-20DEC30-CDE,0.08853,1.31609063859007,1121,122.42063492063492,1,0.01,0,100000000,1,1000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",0.08857,,[],,USD,False,0.00001,ENA PERP,FCM,496210.65,,,,,,,,,False,,,,,,cde,ENA,2030-12-20T16:00:00Z,5000,ENA,Ethena Perp Style Futures,Europe/London,Ethena Perp Style Futures,MANAGED_BY_FCM,EXPIRING,ENA PERP,143677349746,False,2030-12,True,3600s,529,0.000021,2026-06-01T17:00:00Z,Ethena Perpetual,0.0867,FUTURES_ASSET_TYPE_CRYPTO,0.088302,,,['FUTURES_ASSET_TYPE_CRYPTO'],TRADING_HOURS_TYPE_UNSPECIFIED,529,,,,,,0.2500467,0.250138,0.445875,0.656875
51,SHP-20DEC30-CDE,0.00553,1.84162062615101,17264,6565.63706563706564,1,0.01,0,100000000,1,1000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",0.005535,,[],,USD,False,0.00001,1000SHIB PERP,FCM,954699.2,,,,,,,,,False,,,,,,cde,SHP,2030-12-20T16:00:00Z,10000,SHIB,1k Shib Perp Futures,Europe/London,1k Shib Perp,MANAGED_BY_FCM,EXPIRING,1000SHIB PERP,143677349745,False,2030-12,True,3600s,2164,0.000038,2026-06-01T17:00:00Z,1000SHIB Perpetual,0.0054,FUTURES_ASSET_TYPE_CRYPTO,0.005527,,,['FUTURES_ASSET_TYPE_CRYPTO'],TRADING_HOURS_TYPE_UNSPECIFIED,2164,,,,,,0.2500521,0.2502968,0.528875,0.953875
52,HED-26JUN26-CDE,0.09416,-3.17737789203085,627,156.9672131147541,1,0.01,0,100000000,1,1000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",0.094065,,[],,USD,False,0.00001,HBAR 26 JUN 26,FCM,295191.6,,,,,,,,,False,,,,,,cde,HED,2026-06-26T15:00:00Z,5000,HBAR,Hedera Futures,Europe/London,Hedera Futures,MANAGED_BY_FCM,EXPIRING,HBAR 26 JUN 26,2150549746,False,2026-06,True,,238,,,Hedera Futures (Jun 2026),0.09359,FUTURES_ASSET_TYPE_CRYPTO,,,,['FUTURES_ASSET_TYPE_CRYPTO'],TRADING_HOURS_TYPE_UNSPECIFIED,238,,,,,,0.2501093,0.250059,0.377125,0.58425
53,SUI-31JUL26-CDE,0.902,0.40071237756011,64,0,1,0.01,0,100000000,1,1000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",0.8961,,[],,USD,True,0.0001,SUI 31 JUL 26,FCM,28864,,,,,,,,,False,,,,,,cde,SUI,2026-07-31T15:00:00Z,500,SUI,SUI Futures,Europe/London,SUI Futures,MANAGED_BY_FCM,EXPIRING,SUI 31 JUL 26,5174549745,False,2026-07,True,,0,,,SUI Futures (Jul 2026),0.9208,FUTURES_ASSET_TYPE_CRYPTO,,,,['FUTURES_ASSET_TYPE_CRYPTO'],TRADING_HOURS_TYPE_UNSPECIFIED,0,,,,,,0.249999,0.2500336,0.37425,0.55025
54,XLM-31JUL26-CDE,0.25534,-0.24612259249131,54,0,1,0.01,0,100000000,1,1000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",0.258405,,[],,USD,True,0.00001,XLM 31 JUL 26,FCM,68941.8,,,,,,,,,False,,,,,,cde,XLM,2026-07-31T15:00:00Z,5000,XLM,Stellar Futures,Europe/London,Stellar Futures,MANAGED_BY_FCM,EXPIRING,XLM 31 JUL 26,5174549745,False,2026-07,True,,54,,,Stellar Lumens Futures (Jul 2026),0.24158,FUTURES_ASSET_TYPE_CRYPTO,,,,['FUTURES_ASSET_TYPE_CRYPTO'],TRADING_HOURS_TYPE_UNSPECIFIED,54,,,,,,0.2503163,0.2504144,0.271375,0.369125
55,DOG-31JUL26-CDE,0.10184,-0.45938813410224,71,0,1,0.01,0,100000000,1,1000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",0.10183,,[],,USD,True,0.00001,DOGE 31 JUL 26,FCM,36153.2,,,,,,,,,False,,,,,,cde,DOG,2026-07-31T15:00:00Z,5000,DOGE,Dogecoin Futures,Europe/London,Dogecoin Futures,MANAGED_BY_FCM,EXPIRING,DOGE 31 JUL 26,5174549746,False,2026-07,True,,0,,,Dogecoin Futures (Jul 2026),0.10168,FUTURES_ASSET_TYPE_CRYPTO,,,,['FUTURES_ASSET_TYPE_CRYPTO'],TRADING_HOURS_TYPE_UNSPECIFIED,0,,,,,,0.2501046,0.2503164,0.505875,0.899125
56,HED-31JUL26-CDE,0.09451,0.38236856080722,29,0,1,0.01,0,100000000,1,1000,,US Dollar,False,False,False,,False,False,False,False,False,FUTURE,USD,,"{'is_session_open': True, 'open_time': '2026-05-29T22:00:00Z', 'close_time': '2026-06-01T21:00:00Z', 'session_state': 'FCM_TRADING_SESSION_STATE_OPEN', 'after_hours_order_entry_disabled': False, 'closed_reason': 'FCM_TRADING_SESSION_CLOSED_REASON_UNDEFINED', 'maintenance': None}",0.09443,,[],,USD,True,0.00001,HBAR 31 JUL 26,FCM,13703.95,,,,,,,,,False,,,,,,cde,HED,2026-07-31T15:00:00Z,5000,HBAR,Hedera Futures,Europe/London,Hedera Futures,MANAGED_BY_FCM,EXPIRING,HBAR 31 JUL 26,5174549746,False,2026-07,True,,0,,,Hedera Futures (Jul 2026),0.09395,FUTURES_ASSET_TYPE_CRYPTO,,,,['FUTURES_ASSET_TYPE_CRYPTO'],TRADING_HOURS_TYPE_UNSPECIFIED,0,,,,,,0.2501093,0.250059,0.377125,0.58425
