DATE,SPHY,JNK,SCYB,HYLB,USHY,HYG
45832,23.67,96.68,26.38,36.73,37.31,80.17
45833,23.66,96.71,26.38,36.72,37.31,80.15
45834,23.73,97.02,26.47,36.82,37.4,80.38
45835,23.72,96.94,26.45,36.8,37.4,80.34
45838,23.8,97.27,26.54,36.92,37.51,80.65
45839,23.62,96.66,26.38,36.72,37.28,80.17
45840,23.67,96.85,26.41,36.77,37.33,80.32
45841,23.69,96.91,26.43,36.78,37.37,80.37
45845,23.62,96.56,26.38,36.66,37.25,80.1
45846,23.57,96.41,26.29,36.61,37.2,79.99
45847,23.64,96.66,26.37,36.71,37.3,80.21
45848,23.64,96.61,26.35,36.68,37.27,80.13
45849,23.59,96.44,26.31,36.62,37.22,80.03
45852,23.61,96.53,26.34,36.65,37.24,80.09
45853,23.54,96.22,26.27,36.55,37.14,79.85
45854,23.6,96.44,26.33,36.63,37.21,80.06
45855,23.62,96.56,26.36,36.67,37.27,80.14
45856,23.67,96.7,26.39,36.71,37.32,80.25
45859,23.69,96.83,26.44,36.77,37.37,80.36
45860,23.73,97.01,26.46,36.84,37.43,80.5
45861,23.74,97.08,26.49,36.85,37.46,80.54
45862,23.71,96.94,26.44,36.8,37.4,80.44
45863,23.74,97.04,26.49,36.82,37.43,80.49
45866,23.73,97,26.47,36.81,37.42,80.45
45867,23.74,97.02,26.47,36.84,37.44,80.5
45868,23.7,96.85,26.45,36.75,37.37,80.33
45869,23.7,96.89,26.43,36.77,37.39,80.38
45870,23.55,96.35,26.26,36.57,37.18,79.98
45873,23.63,96.71,26.36,36.69,37.3,80.25
45874,23.64,96.64,26.4,36.69,37.3,80.21
45875,23.65,96.77,26.38,36.72,37.33,80.29
45876,23.64,96.7,26.37,36.69,37.31,80.21
45877,23.64,96.72,26.39,36.68,37.3,80.22
45880,23.63,96.7,26.39,36.68,37.31,80.22
45881,23.68,96.89,26.42,36.75,37.38,80.4
45882,23.74,97.17,26.49,36.87,37.49,80.61
45883,23.7,96.89,26.44,36.78,37.4,80.4
45884,23.69,96.92,26.45,36.78,37.41,80.46
45887,23.69,96.87,26.45,36.78,37.39,80.4
45888,23.69,96.86,26.42,36.77,37.4,80.38
45889,23.68,96.79,26.41,36.74,37.37,80.35
45890,23.64,96.62,26.39,36.69,37.32,80.2
45891,23.81,97.43,26.59,37,37.6,80.85
45894,23.79,97.31,26.56,36.92,37.55,80.69
45895,23.84,97.52,26.59,36.99,37.63,80.87
45896,23.87,97.67,26.61,37.03,37.68,80.97
45897,23.87,97.68,26.65,37.03,37.67,81.01
45898,23.84,97.51,26.57,37,37.63,80.86
45902,23.66,96.84,26.41,36.74,37.36,80.39
45903,23.73,97.14,26.48,36.82,37.45,80.61
45904,23.79,97.41,26.57,36.93,37.55,80.83
45905,23.81,97.51,26.58,36.96,37.59,80.87
45908,23.82,97.52,26.57,36.97,37.6,80.87
45909,23.8,97.4,26.55,36.93,37.56,80.78
45910,23.81,97.49,26.57,36.94,37.59,80.84
45911,23.87,97.77,26.64,37.03,37.7,81.04
45912,23.87,97.69,26.62,37,37.69,80.96
45915,23.93,97.99,26.7,37.1,37.78,81.19
45916,23.92,97.92,26.67,37.08,37.75,81.13
45917,23.89,97.8,26.65,37.05,37.71,81.05
45918,23.94,98.02,26.72,37.13,37.78,81.23
45919,23.96,98.09,26.72,37.14,37.79,81.26
45922,23.97,98.19,26.73,37.16,37.85,81.32
45923,23.96,98.13,26.75,37.14,37.8,81.26
45924,23.94,97.98,26.71,37.09,37.78,81.15
45925,23.88,97.67,26.63,36.99,37.66,80.92
45926,23.92,97.85,26.66,37.05,37.73,81.08
45929,23.95,98.06,26.73,37.12,37.8,81.22
45930,23.94,97.99,26.73,37.11,37.78,81.19
45931,23.84,97.64,26.61,36.99,37.65,80.96
45932,23.83,97.59,26.59,36.97,37.61,80.93
45933,23.81,97.47,26.56,36.93,37.59,80.84
45936,23.82,97.49,26.56,36.94,37.59,80.86
45937,23.8,97.38,26.57,36.92,37.55,80.77
45938,23.76,97.24,26.52,36.86,37.5,80.65
45939,23.68,96.94,26.45,36.75,37.39,80.42
45940,23.54,96.34,26.27,36.54,37.19,79.95
45943,23.69,96.92,26.45,36.76,37.4,80.45
45944,23.7,96.98,26.47,36.79,37.44,80.54
45945,23.79,97.34,26.58,36.91,37.55,80.8
45946,23.73,97.04,26.49,36.8,37.45,80.51
45947,23.78,97.24,26.55,36.87,37.54,80.72
45950,23.81,97.45,26.59,36.94,37.6,80.88
45951,23.8,97.37,26.55,36.93,37.58,80.76
45952,23.76,97.27,26.53,36.88,37.53,80.68
45953,23.8,97.45,26.58,36.94,37.6,80.86
45954,23.87,97.74,26.63,37.06,37.7,81.08
45957,23.93,98.02,26.71,37.14,37.8,81.28
45958,23.92,97.91,26.7,37.1,37.76,81.2
45959,23.84,97.62,26.61,36.99,37.65,80.95
45960,23.8,97.39,26.57,36.92,37.58,80.8
45961,23.8,97.39,26.51,36.93,37.58,80.8
45964,23.59,96.58,26.32,36.62,37.25,80.14
45965,23.57,96.56,26.31,36.61,37.23,80.15
45966,23.6,96.65,26.33,36.64,37.27,80.23
45967,23.6,96.7,26.35,36.67,37.3,80.26
45968,23.63,96.76,26.35,36.7,37.33,80.33
45971,23.71,97.09,26.44,36.83,37.44,80.6
45972,23.74,97.26,26.47,36.88,37.49,80.69
45973,23.69,97.03,26.43,36.8,37.43,80.53
45974,23.59,96.6,26.32,36.66,37.26,80.2
45975,23.59,96.63,26.33,36.67,37.27,80.22
45978,23.56,96.46,26.31,36.61,37.21,80.09
45979,23.56,96.41,26.3,36.6,37.21,80.11
45980,23.56,96.49,26.3,36.64,37.23,80.15
45981,23.55,96.47,26.29,36.62,37.22,80.1
45982,23.63,96.76,26.39,36.73,37.34,80.37
45985,23.7,97.04,26.46,36.81,37.44,80.59
45986,23.78,97.42,26.55,36.96,37.56,80.87
45987,23.82,97.57,26.58,37,37.61,80.95
45989,23.82,97.65,26.58,37.02,37.64,80.99
45992,23.65,96.96,26.43,36.76,37.36,80.47
45993,23.69,97.11,26.45,36.83,37.41,80.62
45994,23.72,97.26,26.48,36.87,37.48,80.69
45995,23.72,97.29,26.51,36.88,37.48,80.75
45996,23.73,97.29,26.5,36.89,37.48,80.75
45999,23.67,97.08,26.45,36.81,37.4,80.55
46000,23.65,96.94,26.41,36.77,37.35,80.46
46001,23.72,97.28,26.48,36.89,37.47,80.73
46002,23.73,97.27,26.5,36.89,37.47,80.72
46003,23.68,97.07,26.45,36.82,37.38,80.57
46006,23.69,97.17,26.47,36.86,37.4,80.61
46007,23.71,97.18,26.47,36.87,37.44,80.66
46008,23.68,97.07,26.44,36.83,37.39,80.56
46009,23.61,96.85,26.51,36.93,37.49,80.78
46010,23.59,96.82,26.35,36.91,37.26,80.36
46013,23.6,96.91,26.38,36.74,37.3,80.43
46014,23.63,96.99,26.39,36.78,37.33,80.49
46015,23.67,97.21,26.44,36.84,37.41,80.64
46017,23.67,97.16,26.42,36.82,37.38,80.6
46020,23.68,97.19,26.43,36.84,37.41,80.63
46021,23.69,97.3,26.47,36.87,37.43,80.71
46022,23.67,97.21,26.42,36.83,37.4,80.63
46024,23.69,97.24,26.45,36.85,37.42,80.67
46027,23.73,97.5,26.52,36.95,37.51,80.88
46028,23.76,97.54,26.54,36.97,37.54,80.9
46029,23.75,97.51,26.54,36.97,37.52,80.88
46030,23.76,97.59,26.54,36.97,37.54,80.94
46031,23.79,97.69,26.57,37.01,37.59,81
46034,23.79,97.68,26.57,37,37.59,81.04
46035,23.79,97.71,26.59,37.02,37.6,81.04
46036,23.8,97.74,26.58,37.01,37.6,81.04
46037,23.8,97.74,26.58,37.02,37.6,81.04
46038,23.81,97.82,26.6,37.04,37.61,81.09
46042,23.77,97.59,26.54,36.97,37.54,80.88
46043,23.83,97.86,26.61,37.07,37.64,81.12
46044,23.84,97.92,26.61,37.08,37.64,81.18
46045,23.82,97.87,26.6,37.07,37.63,81.14
46048,23.84,97.92,26.62,37.09,37.67,81.18
46049,23.85,97.91,26.63,37.08,37.68,81.17
46050,23.81,97.75,26.58,37.03,37.62,81.04
46051,23.79,97.76,26.58,37.02,37.61,81.03
46052,23.82,97.82,26.62,37.05,37.64,81.12
46055,23.7,97.38,26.48,36.87,37.46,80.77
46056,23.69,97.29,26.45,36.87,37.42,80.72
46057,23.66,97.11,26.42,36.82,37.38,80.62
46058,23.64,97.06,26.4,36.8,37.35,80.53
46059,23.71,97.4,26.46,36.91,37.47,80.81
46062,23.75,97.54,26.51,36.95,37.51,80.92
46063,23.73,97.49,26.49,36.94,37.49,80.84
46064,23.74,97.48,26.5,36.94,37.48,80.83
46065,23.7,97.37,26.47,36.92,37.45,80.79
46066,23.74,97.48,26.49,36.94,37.49,80.85
46070,23.72,97.39,26.47,36.93,37.44,80.81
46071,23.75,97.53,26.52,36.97,37.52,80.91
46072,23.76,97.55,26.52,36.99,37.52,80.94
46073,23.77,97.62,26.54,37.01,37.55,81
46076,23.74,97.5,26.53,36.97,37.5,80.87
46077,23.73,97.39,26.49,36.94,37.45,80.81
46078,23.75,97.56,26.52,36.99,37.52,80.92
46079,23.74,97.48,26.52,36.97,37.49,80.85
46080,23.7,97.25,26.47,36.92,37.39,80.72
46083,23.54,96.68,26.31,36.7,37.21,80.28
46084,23.48,96.46,26.25,36.63,37.12,80.12
46085,23.56,96.8,26.33,36.74,37.25,80.4
46086,23.45,96.38,26.22,36.6,37.08,80.08
46087,23.36,95.91,26.08,36.45,36.92,79.69
46090,23.47,96.43,26.23,36.63,37.1,80.17
46091,23.45,96.31,26.19,36.57,37.07,80.04
46092,23.39,96.11,26.14,36.5,36.98,79.86
46093,23.25,95.47,25.98,36.25,36.75,79.35
46094,23.21,95.25,25.91,36.18,36.66,79.2
46097,23.3,95.65,26.02,36.33,36.78,79.45
46098,23.38,96.03,26.14,36.47,36.95,79.81
46099,23.27,95.58,26,36.3,36.79,79.4
46100,23.34,95.79,26.05,36.4,36.88,79.66
46101,23.12,94.95,25.81,36.06,36.54,78.92
46104,23.26,95.5,25.98,36.3,36.75,79.44
46105,23.2,95.23,25.91,36.19,36.67,79.17
