date,open,high,low,close,volume,average,barCount
2026-07-21,97.85,97.9,97.71,97.74,69882.0,97.761,12607
2026-07-22,97.71,97.74,97.58,97.58,51771.0,97.646,11941
2026-07-23,97.32,97.4,97.27,97.34,57226.0,97.342,12493
2026-07-24,97.45,97.64,97.4,97.46,45287.0,97.515,10187
2026-07-27,97.64,97.73,97.58,97.69,55851.0,97.673,10322
2026-07-28,97.79,98.01,97.76,97.92,114252.0,97.904,15865
2026-07-29,97.83,97.9,97.55,97.55,54283.0,97.726,14112
2026-07-30,97.62,97.71,97.53,97.62,73012.0,97.628,17775
2026-07-31,97.48,97.49,97.23,97.37,95241.0,97.304,18778
2026-08-03,97.21,97.23,97.12,97.19,7625.0,97.2,1251
