date,open,high,low,close,volume,average,barCount
2026-07-21,45.65,45.65,45.58,45.61,30229.0,45.609,5376
2026-07-22,45.57,45.59,45.51,45.52,28626.0,45.552,4631
2026-07-23,45.4,45.43,45.37,45.42,27982.0,45.409,4388
2026-07-24,45.44,45.53,45.43,45.45,29973.0,45.481,4133
2026-07-27,45.54,45.58,45.52,45.56,35302.0,45.55,5156
2026-07-28,45.59,45.7,45.58,45.65,26004.0,45.654,4135
2026-07-29,45.61,45.66,45.5,45.51,31293.0,45.569,4917
2026-07-30,45.54,45.57,45.5,45.55,21725.0,45.54,2850
2026-07-31,45.46,45.48,45.37,45.45,34449.0,45.395,3351
2026-08-03,45.34,45.36,45.32,45.34,1812.0,45.336,183
