,from date,to date,from PFFD price,to PFFD price,PFFD cod,PFFD pct cod,from PFF price,to PFF price,PFF cod,PFF pct cod,to PFF / to PFFD,to PFF / to PFF,PFF / PFFD moving avg,yday PFF / PFFD moving avg,to PFFD unit price,PFF / PFF moving avg,yday PFF / PFF moving avg,to PFF unit price,PFFD unit price pct diff,PFF unit price pct diff,unit price pct diff
0,,2021-08-23,,25.98,,,,39.25,,,1.5107775211701309,1.0,,,,,,,,,
1,2021-08-23,2021-08-24,25.98,25.99,0.009999999999998,0.0003848374109453,39.25,39.31,0.0600000000000022,0.0015274952053516,1.5125048095421318,1.0,,,,,,,,,
2,2021-08-24,2021-08-25,25.99,26.0,0.0100000000000015,0.0003846893680832,39.31,39.3,-0.0100000000000051,-0.0002544205585535,1.5115384615384615,1.0,,,,,,,,,
3,2021-08-25,2021-08-26,26.0,25.9,-0.1000000000000014,-0.00385356931599,39.3,39.12,-0.1799999999999997,-0.0045906737085989,1.5104247104247104,1.0,,,,,,,,,
4,2021-08-26,2021-08-27,25.9,26.05,0.1500000000000021,0.0057747994938839,39.12,39.4,0.2800000000000011,0.0071319711372716,1.5124760076775432,1.0,,,,,,,,,
5,2021-08-27,2021-08-30,26.05,26.05,0.0,0.0,39.4,39.43,0.0300000000000011,0.0007611315856477,1.5136276391554702,1.0,,,,,,,,,
6,2021-08-30,2021-08-31,26.05,26.05,0.0,0.0,39.43,39.4,-0.0300000000000011,-0.0007611315856477,1.5124760076775432,1.0,,,,,,,,,
7,2021-08-31,2021-09-01,26.05,26.13,0.0799999999999983,0.0030663113331451,39.4,39.37,-0.0300000000000011,-0.0007617113482419,1.5066972828166858,1.0,,,,,,,,,
8,2021-09-01,2021-09-02,26.13,26.22,0.0899999999999998,0.0034383988030327,39.37,39.48,0.1099999999999994,0.0027901096096346,1.505720823798627,1.0,,,,,,,,,
9,2021-09-02,2021-09-03,26.22,26.09,-0.129999999999999,-0.0049703791869166,39.48,39.42,-0.0599999999999951,-0.0015209128407066,1.5109237255653507,1.0,,,,,,,,,
