,from date,to date,from VWOB price,to VWOB price,VWOB cod,VWOB pct cod,from EMB price,to EMB price,EMB cod,EMB pct cod,to EMB / to VWOB,to EMB / to EMB,EMB / VWOB moving avg,yday EMB / VWOB moving avg,to VWOB unit price,EMB / EMB moving avg,yday EMB / EMB moving avg,to EMB unit price,VWOB unit price pct diff,EMB unit price pct diff,unit price pct diff
0,,2021-08-23,,79.84,,,,112.52,,,1.409318637274549,1.0,,,,,,,,,
1,2021-08-23,2021-08-24,79.84,79.92,0.0799999999999983,0.0010015023370896,112.52,112.59,0.0700000000000073,0.0006219181933831,1.4087837837837838,1.0,,,,,,,,,
2,2021-08-24,2021-08-25,79.92,79.88,-0.0400000000000062,-0.0005006257926836,112.59,112.51,-0.0799999999999983,-0.0007107952320586,1.4084877315973965,1.0,,,,,,,,,
3,2021-08-25,2021-08-26,79.88,79.75,-0.1299999999999954,-0.0016287668826604,112.51,112.33,-0.1800000000000068,-0.0016011389295027,1.408526645768025,1.0,,,,,,,,,
4,2021-08-26,2021-08-27,79.75,80.23,0.480000000000004,0.0060007681006107,112.33,113.05,0.7199999999999989,0.0063892310705008,1.409073912501558,1.0,,,,,,,,,
5,2021-08-27,2021-08-30,80.23,80.49,0.2599999999999909,0.0032354433400776,113.05,113.35,0.2999999999999971,0.0026501782295591,1.4082494719840974,1.0,,,,,,,,,
6,2021-08-30,2021-08-31,80.49,80.44,-0.0499999999999971,-0.0006213882011911,113.35,113.39,0.0400000000000062,0.0003528270302104,1.4096220785678768,1.0,,,,,,,,,
7,2021-08-31,2021-09-01,80.44,80.29,-0.1499999999999914,-0.0018664847078585,113.39,113.24,-0.1500000000000056,-0.0013237437400496,1.4103873458712166,1.0,,,,,,,,,
8,2021-09-01,2021-09-02,80.29,80.49,0.1999999999999886,0.0024878729090497,113.24,113.55,0.3100000000000023,0.0027338083078686,1.410734252702199,1.0,,,,,,,,,
9,2021-09-02,2021-09-03,80.49,80.33,-0.1599999999999966,-0.0019898029199212,113.55,113.18,-0.3699999999999903,-0.0032637968371895,1.408938130212872,1.0,,,,,,,,,
10,2021-09-03,2021-09-07,80.33,80.14,-0.1899999999999977,-0.0023680449777226,113.18,112.87,-0.3100000000000023,-0.0027427577468428,1.4084102820064888,1.0,,,,,,,,,
11,2021-09-07,2021-09-08,80.14,80.26,0.1200000000000045,0.0014962596307721,112.87,113.07,0.1999999999999886,0.0017703819796186,1.408796411662098,1.0,,,,,,,,,
12,2021-09-08,2021-09-09,80.26,80.36,0.0999999999999943,0.0012451751079628,113.07,113.26,0.1900000000000119,0.0016789647385051,1.4094076655052266,1.0,,,,,,,,,
13,2021-09-09,2021-09-10,80.36,80.01,-0.3499999999999943,-0.0043649130847009,113.26,112.9,-0.3599999999999994,-0.0031835895300425,1.4110736157980253,1.0,,,,,,,,,
14,2021-09-10,2021-09-13,80.01,80.26,0.25,0.003119737976738,112.9,113.05,0.1499999999999914,0.0013277275683624,1.4085472215300272,1.0,,,,,,,,,
15,2021-09-13,2021-09-14,80.26,80.4,0.1400000000000005,0.0017428113461499,113.05,113.27,0.2199999999999988,0.0019441504886433,1.408830845771144,1.0,,,,,,,,,
16,2021-09-14,2021-09-15,80.4,80.45,0.0499999999999971,0.0006216972534715,113.27,113.25,-0.019999999999996,-0.0001765848494787,1.4077066500932256,1.0,,,,,,,,,
17,2021-09-15,2021-09-16,80.45,80.11,-0.3400000000000034,-0.0042351832113668,113.25,112.87,-0.3799999999999954,-0.0033610503956083,1.408937710647859,1.0,,,,,,,,,
18,2021-09-16,2021-09-17,80.11,79.91,-0.2000000000000028,-0.002499688840654,112.87,112.5,-0.3700000000000045,-0.0032834923230601,1.4078338130396697,1.0,,,,,,,,,
19,2021-09-17,2021-09-20,79.91,79.51,-0.3999999999999915,-0.0050182014729791,112.5,111.98,-0.519999999999996,-0.0046329377237275,1.4083763048673124,1.0,1.4090021255592327,,,1.0,,,,,
20,2021-09-20,2021-09-21,79.51,79.63,0.1199999999999903,0.0015081063559611,111.98,112.19,0.2099999999999937,0.0018735786361261,1.4088911214366446,1.0,1.4089807497673372,1.4090021255592327,112.1988392582817,1.0,1.0,112.19,7.878518660278814e-05,0.0,7.878518660278814e-05
21,2021-09-21,2021-09-22,79.63,79.71,0.0799999999999983,0.0010041421704784,112.19,112.26,0.0700000000000073,0.0006237469571801,1.4083552879187056,1.0,1.4089593249740835,1.4089807497673372,112.30985556395444,1.0,1.0,112.26,0.00044400941211187114,0.0,0.00044400941211187114
22,2021-09-22,2021-09-23,79.71,79.19,-0.519999999999996,-0.0065450202175106,112.26,111.4,-0.8599999999999994,-0.0076902820208695,1.4067432756661196,1.0,1.4088721021775197,1.4089593249740835,111.57548894469767,1.0,1.0,111.4,0.0015740652191146539,0.0,0.0015740652191146539
23,2021-09-23,2021-09-24,79.19,78.73,-0.4599999999999937,-0.0058257510259451,111.4,110.94,-0.4600000000000079,-0.0041378128660952,1.409119776451162,1.0,1.4089017587116763,1.4088721021775197,110.92050060443613,1.0,1.0,110.94,-0.0001757806870618998,0.0,-0.0001757806870618998
24,2021-09-24,2021-09-27,78.73,78.59,-0.1400000000000005,-0.0017798123182923,110.94,110.61,-0.3299999999999983,-0.0029790137129256,1.4074309708614328,1.0,1.40881961162967,1.4089017587116763,110.72558921715064,1.0,1.0,110.61,0.0010444703273222722,0.0,0.0010444703273222722
25,2021-09-27,2021-09-28,78.59,78.16,-0.4300000000000068,-0.0054864571435563,110.61,109.98,-0.6299999999999955,-0.0057119698344942,1.4071136131013309,1.0,1.4087628186855317,1.40881961162967,110.11334084497501,1.0,1.0,109.98,0.0012116755625306472,0.0,0.0012116755625306472
26,2021-09-28,2021-09-29,78.16,78.24,0.0799999999999983,0.0010230179920344,109.98,110.08,0.0999999999999943,0.0009088431053649,1.406952965235174,1.0,1.4086293630188966,1.4087628186855317,110.22160293395599,1.0,1.0,110.08,0.0012855372050978317,0.0,0.0012855372050978317
27,2021-09-29,2021-09-30,78.24,78.3,0.0600000000000022,0.0007665772701954,110.08,110.06,-0.019999999999996,-0.0001817025534207,1.4056194125159642,1.0,1.408390966351134,1.4086293630188966,110.2956791243796,1.0,1.0,110.06,0.0021390800108424942,0.0,0.0021390800108424942
