my_fi_name,price_screen_bid,price_screen_ask,time
BTC,27.83,27.84,2026-07-09_13-41-46
BTCW,66.43,66.5,2026-07-09_13-41-46
EZBC,36.36,36.37,2026-07-09_13-41-46
FBTC,54.75,54.76,2026-07-09_13-41-46
GBTC,48.79,48.8,2026-07-09_13-41-46
HODL,17.8,17.81,2026-07-09_13-41-46
IBIT,35.64,35.65,2026-07-09_13-41-46
ARKB,20.92,20.93,2026-07-09_13-56-46
BITB,34.24,34.25,2026-07-09_13-56-46
BRRR,17.78,17.79,2026-07-09_13-56-46
BTC,27.89,27.9,2026-07-09_13-56-46
BTCW,66.58,66.65,2026-07-09_13-56-46
EZBC,36.44,36.46,2026-07-09_13-56-46
FBTC,54.88,54.89,2026-07-09_13-56-46
GBTC,48.9,48.91,2026-07-09_13-56-46
HODL,17.84,17.85,2026-07-09_13-56-46
IBIT,35.72,35.73,2026-07-09_13-56-46
ARKB,21.02,21.03,2026-07-09_14-11-46
BITB,34.4,34.41,2026-07-09_14-11-46
BRRR,17.87,17.88,2026-07-09_14-11-46
BTC,28.02,28.03,2026-07-09_14-11-46
BTCW,66.92,66.97,2026-07-09_14-11-46
EZBC,36.62,36.63,2026-07-09_14-11-46
FBTC,55.15,55.16,2026-07-09_14-11-46
GBTC,49.14,49.15,2026-07-09_14-11-46
HODL,17.92,17.93,2026-07-09_14-11-46
IBIT,35.9,35.91,2026-07-09_14-11-46
ARKB,20.95,20.96,2026-07-09_14-26-46
BITB,34.3,34.31,2026-07-09_14-26-46
BRRR,17.81,17.82,2026-07-09_14-26-46
BTC,27.94,27.95,2026-07-09_14-26-46
BTCW,66.71,66.77,2026-07-09_14-26-46
EZBC,36.51,36.52,2026-07-09_14-26-46
FBTC,54.98,54.99,2026-07-09_14-26-46
GBTC,48.99,49.0,2026-07-09_14-26-46
HODL,17.87,17.88,2026-07-09_14-26-46
IBIT,35.79,35.8,2026-07-09_14-26-46
ARKB,20.97,20.98,2026-07-09_14-41-46
BITB,34.32,34.33,2026-07-09_14-41-46
BRRR,17.82,17.83,2026-07-09_14-41-46
BTC,27.96,27.97,2026-07-09_14-41-46
BTCW,66.75,66.81,2026-07-09_14-41-46
EZBC,36.53,36.54,2026-07-09_14-41-46
FBTC,55.02,55.03,2026-07-09_14-41-46
GBTC,49.02,49.03,2026-07-09_14-41-46
HODL,17.88,17.89,2026-07-09_14-41-46
IBIT,35.81,35.82,2026-07-09_14-41-46
ARKB,20.94,20.95,2026-07-09_14-56-46
BITB,34.29,34.3,2026-07-09_14-56-46
BRRR,17.8,17.81,2026-07-09_14-56-46
BTC,27.93,27.94,2026-07-09_14-56-46
BTCW,66.67,66.73,2026-07-09_14-56-46
EZBC,36.49,36.51,2026-07-09_14-56-46
FBTC,54.96,54.97,2026-07-09_14-56-46
GBTC,48.97,48.98,2026-07-09_14-56-46
HODL,17.86,17.87,2026-07-09_14-56-46
IBIT,35.77,35.78,2026-07-09_14-56-46
ARKB,20.95,20.96,2026-07-09_15-11-46
BITB,34.3,34.31,2026-07-09_15-11-46
BRRR,17.81,17.82,2026-07-09_15-11-46
BTC,27.94,27.95,2026-07-09_15-11-46
BTCW,66.69,66.75,2026-07-09_15-11-46
EZBC,36.51,36.52,2026-07-09_15-11-46
FBTC,54.98,54.99,2026-07-09_15-11-46
GBTC,48.99,49.0,2026-07-09_15-11-46
HODL,17.87,17.88,2026-07-09_15-11-46
IBIT,35.78,35.79,2026-07-09_15-11-46
ARKB,20.94,20.95,2026-07-09_15-26-46
BITB,34.28,34.29,2026-07-09_15-26-46
BRRR,17.8,17.81,2026-07-09_15-26-46
BTC,27.92,27.93,2026-07-09_15-26-46
BTCW,66.66,66.72,2026-07-09_15-26-46
EZBC,36.48,36.5,2026-07-09_15-26-46
FBTC,54.94,54.95,2026-07-09_15-26-46
GBTC,48.95,48.96,2026-07-09_15-26-46
HODL,17.86,17.87,2026-07-09_15-26-46
IBIT,35.76,35.77,2026-07-09_15-26-46
ARKB,20.96,20.97,2026-07-09_15-41-46
BITB,34.31,34.32,2026-07-09_15-41-46
BRRR,17.82,17.83,2026-07-09_15-41-46
BTC,27.95,27.96,2026-07-09_15-41-46
BTCW,66.73,66.79,2026-07-09_15-41-46
EZBC,36.52,36.53,2026-07-09_15-41-46
FBTC,54.99,55.0,2026-07-09_15-41-46
GBTC,49.0,49.01,2026-07-09_15-41-46
HODL,17.88,17.89,2026-07-09_15-41-46
IBIT,35.8,35.81,2026-07-09_15-41-46
ARKB,20.97,20.98,2026-07-09_15-56-46
BITB,34.32,34.33,2026-07-09_15-56-46
BRRR,17.82,17.83,2026-07-09_15-56-46
BTC,27.96,27.97,2026-07-09_15-56-46
BTCW,66.74,66.79,2026-07-09_15-56-46
EZBC,36.53,36.54,2026-07-09_15-56-46
FBTC,54.99,55.0,2026-07-09_15-56-46
GBTC,49.0,49.01,2026-07-09_15-56-46
HODL,17.88,17.89,2026-07-09_15-56-46
IBIT,35.81,35.82,2026-07-09_15-56-46
