my_fi_name,price_screen_bid,price_screen_ask,time
ARKB,20.98,21.03,2026-07-09_18-28-09
BITB,34.33,34.39,2026-07-09_18-28-09
BRRR,,,2026-07-09_18-28-09
BTC,,,2026-07-09_18-28-09
BTCW,,,2026-07-09_18-28-09
EZBC,,,2026-07-09_18-28-09
FBTC,55.05,55.15,2026-07-09_18-28-09
GBTC,49.04,49.13,2026-07-09_18-28-09
HODL,17.89,17.94,2026-07-09_18-28-09
IBIT,35.86,35.89,2026-07-09_18-28-09
ARKB,20.96,21.03,2026-07-09_18-43-09
BITB,34.31,34.4,2026-07-09_18-43-09
BRRR,17.82,17.89,2026-07-09_18-43-09
BTC,27.95,28.05,2026-07-09_18-43-09
BTCW,66.53,67.11,2026-07-09_18-43-09
EZBC,36.42,36.71,2026-07-09_18-43-09
FBTC,55.01,55.15,2026-07-09_18-43-09
GBTC,49.01,49.18,2026-07-09_18-43-09
HODL,17.88,17.94,2026-07-09_18-43-09
IBIT,35.82,35.89,2026-07-09_18-43-09
ARKB,20.94,20.99,2026-07-09_18-58-09
BITB,34.27,34.33,2026-07-09_18-58-09
BRRR,17.8,17.85,2026-07-09_18-58-09
BTC,27.95,27.98,2026-07-09_18-58-09
BTCW,66.53,67.1,2026-07-09_18-58-09
EZBC,36.42,36.71,2026-07-09_18-58-09
FBTC,55.0,55.05,2026-07-09_18-58-09
GBTC,48.95,49.06,2026-07-09_18-58-09
HODL,17.85,17.9,2026-07-09_18-58-09
IBIT,35.79,35.81,2026-07-09_18-58-09
ARKB,20.87,20.9,2026-07-09_20-53-28
BITB,34.17,34.2,2026-07-09_20-53-28
BRRR,,,2026-07-09_20-53-28
BTC,,,2026-07-09_20-53-28
BTCW,66.31,66.84,2026-07-09_20-53-28
EZBC,,,2026-07-09_20-53-28
FBTC,54.76,54.82,2026-07-09_20-53-28
GBTC,48.8,48.85,2026-07-09_20-53-28
HODL,17.8,17.82,2026-07-09_20-53-28
IBIT,35.65,35.68,2026-07-09_20-53-28
ARKB,20.92,20.95,2026-07-09_21-16-39
BITB,34.25,34.29,2026-07-09_21-16-39
BRRR,17.71,17.89,2026-07-09_21-16-39
BTC,27.76,28.07,2026-07-09_21-16-39
BTCW,,,2026-07-09_21-16-39
EZBC,,,2026-07-09_21-16-39
FBTC,54.89,54.95,2026-07-09_21-16-39
GBTC,48.91,48.97,2026-07-09_21-16-39
HODL,17.84,17.87,2026-07-09_21-16-39
IBIT,35.74,35.77,2026-07-09_21-16-39
ARKB,20.98,21.02,2026-07-09_21-37-54
BITB,34.34,34.39,2026-07-09_21-37-54
BRRR,17.76,17.92,2026-07-09_21-37-54
BTC,27.85,28.14,2026-07-09_21-37-54
BTCW,66.53,67.04,2026-07-09_21-37-54
EZBC,36.17,36.7,2026-07-09_21-37-54
FBTC,55.05,55.12,2026-07-09_21-37-54
GBTC,49.05,49.11,2026-07-09_21-37-54
HODL,17.89,17.92,2026-07-09_21-37-54
IBIT,35.84,35.88,2026-07-09_21-37-54
