my_fi_name,price_screen_bid,price_screen_ask,time
ARKB,20.8,20.82,2026-08-03_09-26-52
BITB,34.05,34.07,2026-08-03_09-26-52
BRRR,17.68,17.7,2026-08-03_09-26-52
BTC,27.74,27.76,2026-08-03_09-26-52
BTCW,,,2026-08-03_09-26-52
EZBC,36.24,36.28,2026-08-03_09-26-52
FBTC,54.58,54.61,2026-08-03_09-26-52
GBTC,48.59,48.62,2026-08-03_09-26-52
HODL,17.74,17.75,2026-08-03_09-26-52
IBIT,35.53,35.54,2026-08-03_09-26-52
ARKB,20.83,20.84,2026-08-03_09-41-52
BITB,34.1,34.11,2026-08-03_09-41-52
BRRR,17.71,17.72,2026-08-03_09-41-52
BTC,27.77,27.78,2026-08-03_09-41-52
BTCW,66.37,66.42,2026-08-03_09-41-52
EZBC,36.3,36.31,2026-08-03_09-41-52
FBTC,54.67,54.68,2026-08-03_09-41-52
GBTC,48.66,48.67,2026-08-03_09-41-52
HODL,17.77,17.78,2026-08-03_09-41-52
IBIT,35.58,35.59,2026-08-03_09-41-52
ARKB,20.93,20.94,2026-08-03_09-56-52
BITB,34.26,34.27,2026-08-03_09-56-52
BRRR,17.79,17.8,2026-08-03_09-56-52
BTC,27.91,27.92,2026-08-03_09-56-52
BTCW,66.68,66.73,2026-08-03_09-56-52
EZBC,36.47,36.48,2026-08-03_09-56-52
FBTC,54.92,54.93,2026-08-03_09-56-52
GBTC,48.89,48.9,2026-08-03_09-56-52
HODL,17.85,17.86,2026-08-03_09-56-52
IBIT,35.75,35.76,2026-08-03_09-56-52
ARKB,21.0,21.01,2026-08-03_10-11-52
BITB,34.38,34.39,2026-08-03_10-11-52
BRRR,17.85,17.86,2026-08-03_10-11-52
BTC,28.0,28.01,2026-08-03_10-11-52
BTCW,66.92,66.95,2026-08-03_10-11-52
EZBC,36.6,36.61,2026-08-03_10-11-52
FBTC,55.11,55.13,2026-08-03_10-11-52
GBTC,49.06,49.07,2026-08-03_10-11-52
HODL,17.91,17.92,2026-08-03_10-11-52
IBIT,35.87,35.88,2026-08-03_10-11-52
ARKB,21.02,21.03,2026-08-03_10-26-52
BITB,34.41,34.42,2026-08-03_10-26-52
BRRR,17.87,17.88,2026-08-03_10-26-52
BTC,28.03,28.04,2026-08-03_10-26-52
BTCW,66.98,67.01,2026-08-03_10-26-52
EZBC,36.63,36.64,2026-08-03_10-26-52
FBTC,55.17,55.18,2026-08-03_10-26-52
GBTC,49.11,49.12,2026-08-03_10-26-52
HODL,17.93,17.94,2026-08-03_10-26-52
IBIT,35.91,35.92,2026-08-03_10-26-52
ARKB,21.15,21.16,2026-08-03_10-41-52
BITB,34.61,34.62,2026-08-03_10-41-52
BRRR,17.97,17.98,2026-08-03_10-41-52
BTC,28.19,28.2,2026-08-03_10-41-52
BTCW,67.36,67.41,2026-08-03_10-41-52
EZBC,36.85,36.87,2026-08-03_10-41-52
FBTC,55.5,55.51,2026-08-03_10-41-52
GBTC,49.4,49.41,2026-08-03_10-41-52
HODL,18.03,18.04,2026-08-03_10-41-52
IBIT,36.12,36.13,2026-08-03_10-41-52
ARKB,21.19,21.2,2026-08-03_10-56-52
BITB,34.68,34.69,2026-08-03_10-56-52
BRRR,18.01,18.02,2026-08-03_10-56-52
BTC,28.25,28.26,2026-08-03_10-56-52
BTCW,67.46,67.55,2026-08-03_10-56-52
EZBC,36.93,36.94,2026-08-03_10-56-52
FBTC,55.61,55.62,2026-08-03_10-56-52
GBTC,49.49,49.5,2026-08-03_10-56-52
HODL,18.07,18.08,2026-08-03_10-56-52
IBIT,36.2,36.21,2026-08-03_10-56-52
