my_fi_name,price_screen_bid,price_screen_ask,time
ARKB,21.69,21.7,2026-07-15_09-35-08
BITB,35.51,35.52,2026-07-15_09-35-08
BRRR,18.44,18.45,2026-07-15_09-35-08
BTC,28.93,28.94,2026-07-15_09-35-08
BTCW,69.1,69.17,2026-07-15_09-35-08
EZBC,37.79,37.81,2026-07-15_09-35-08
FBTC,56.94,56.95,2026-07-15_09-35-08
GBTC,50.71,50.72,2026-07-15_09-35-08
HODL,18.5,18.51,2026-07-15_09-35-08
IBIT,37.05,37.06,2026-07-15_09-35-08
ARKB,21.52,21.53,2026-07-15_09-50-08
BITB,35.22,35.23,2026-07-15_09-50-08
BRRR,18.29,18.3,2026-07-15_09-50-08
BTC,28.69,28.7,2026-07-15_09-50-08
BTCW,68.54,68.63,2026-07-15_09-50-08
EZBC,37.49,37.51,2026-07-15_09-50-08
FBTC,56.47,56.48,2026-07-15_09-50-08
GBTC,50.3,50.31,2026-07-15_09-50-08
HODL,18.35,18.36,2026-07-15_09-50-08
IBIT,36.75,36.76,2026-07-15_09-50-08
ARKB,21.7,21.71,2026-07-15_11-33-55
BITB,35.52,35.53,2026-07-15_11-33-55
BRRR,18.45,18.46,2026-07-15_11-33-55
BTC,28.94,28.95,2026-07-15_11-33-55
BTCW,69.14,69.21,2026-07-15_11-33-55
EZBC,37.8,37.83,2026-07-15_11-33-55
FBTC,56.96,56.97,2026-07-15_11-33-55
GBTC,50.73,50.75,2026-07-15_11-33-55
HODL,18.51,18.52,2026-07-15_11-33-55
IBIT,37.07,37.08,2026-07-15_11-33-55
ARKB,21.69,21.7,2026-07-15_11-48-55
BITB,35.5,35.51,2026-07-15_11-48-55
BRRR,18.44,18.45,2026-07-15_11-48-55
BTC,28.92,28.93,2026-07-15_11-48-55
BTCW,69.12,69.16,2026-07-15_11-48-55
EZBC,37.79,37.81,2026-07-15_11-48-55
FBTC,56.92,56.94,2026-07-15_11-48-55
GBTC,50.7,50.71,2026-07-15_11-48-55
HODL,18.5,18.51,2026-07-15_11-48-55
IBIT,37.05,37.06,2026-07-15_11-48-55
ARKB,21.62,21.63,2026-07-15_12-03-55
BITB,35.38,35.39,2026-07-15_12-03-55
BRRR,18.38,18.39,2026-07-15_12-03-55
BTC,28.82,28.83,2026-07-15_12-03-55
BTCW,68.86,68.95,2026-07-15_12-03-55
EZBC,37.66,37.68,2026-07-15_12-03-55
FBTC,56.73,56.74,2026-07-15_12-03-55
GBTC,50.53,50.54,2026-07-15_12-03-55
HODL,18.43,18.44,2026-07-15_12-03-55
IBIT,36.92,36.93,2026-07-15_12-03-55
ARKB,21.59,21.6,2026-07-15_12-18-55
BITB,35.34,35.35,2026-07-15_12-18-55
BRRR,18.36,18.37,2026-07-15_12-18-55
BTC,28.79,28.8,2026-07-15_12-18-55
BTCW,68.8,68.85,2026-07-15_12-18-55
EZBC,37.62,37.64,2026-07-15_12-18-55
FBTC,56.67,56.68,2026-07-15_12-18-55
GBTC,50.47,50.48,2026-07-15_12-18-55
HODL,18.41,18.42,2026-07-15_12-18-55
IBIT,36.88,36.89,2026-07-15_12-18-55
ARKB,21.55,21.56,2026-07-15_12-33-55
BITB,35.28,35.29,2026-07-15_12-33-55
BRRR,18.32,18.33,2026-07-15_12-33-55
BTC,28.74,28.75,2026-07-15_12-33-55
BTCW,68.66,68.74,2026-07-15_12-33-55
EZBC,37.55,37.57,2026-07-15_12-33-55
FBTC,56.56,56.57,2026-07-15_12-33-55
GBTC,50.38,50.39,2026-07-15_12-33-55
HODL,18.38,18.39,2026-07-15_12-33-55
IBIT,36.81,36.82,2026-07-15_12-33-55
ARKB,21.54,21.55,2026-07-15_12-48-55
BITB,35.25,35.26,2026-07-15_12-48-55
BRRR,18.31,18.32,2026-07-15_12-48-55
BTC,28.72,28.73,2026-07-15_12-48-55
BTCW,68.61,68.7,2026-07-15_12-48-55
EZBC,37.52,37.55,2026-07-15_12-48-55
FBTC,56.53,56.54,2026-07-15_12-48-55
GBTC,50.35,50.36,2026-07-15_12-48-55
HODL,18.37,18.38,2026-07-15_12-48-55
IBIT,36.79,36.8,2026-07-15_12-48-55
ARKB,21.58,21.59,2026-07-15_13-03-55
BITB,35.32,35.33,2026-07-15_13-03-55
BRRR,18.35,18.36,2026-07-15_13-03-55
BTC,28.78,28.79,2026-07-15_13-03-55
BTCW,68.71,68.84,2026-07-15_13-03-55
EZBC,37.59,37.62,2026-07-15_13-03-55
FBTC,56.63,56.64,2026-07-15_13-03-55
GBTC,50.45,50.46,2026-07-15_13-03-55
HODL,18.41,18.42,2026-07-15_13-03-55
IBIT,36.86,36.87,2026-07-15_13-03-55
ARKB,21.54,21.55,2026-07-15_13-19-28
BITB,35.26,35.27,2026-07-15_13-19-28
BRRR,18.31,18.32,2026-07-15_13-19-28
BTC,28.72,28.73,2026-07-15_13-19-28
BTCW,68.62,68.69,2026-07-15_13-19-28
EZBC,37.52,37.55,2026-07-15_13-19-28
FBTC,56.52,56.53,2026-07-15_13-19-28
GBTC,50.36,50.37,2026-07-15_13-19-28
HODL,18.37,18.38,2026-07-15_13-19-28
IBIT,36.79,36.8,2026-07-15_13-19-28
ARKB,21.56,21.56,2026-07-15_13-34-28
BITB,35.28,35.29,2026-07-15_13-34-28
BRRR,18.33,18.33,2026-07-15_13-34-28
BTC,28.74,28.75,2026-07-15_13-34-28
BTCW,68.66,68.74,2026-07-15_13-34-28
EZBC,37.55,37.57,2026-07-15_13-34-28
FBTC,56.57,56.58,2026-07-15_13-34-28
GBTC,50.39,50.4,2026-07-15_13-34-28
HODL,18.38,18.39,2026-07-15_13-34-28
IBIT,36.82,36.83,2026-07-15_13-34-28
ARKB,21.54,21.55,2026-07-15_13-49-28
BITB,35.26,35.27,2026-07-15_13-49-28
BRRR,18.31,18.32,2026-07-15_13-49-28
BTC,28.72,28.73,2026-07-15_13-49-28
BTCW,68.58,68.68,2026-07-15_13-49-28
EZBC,37.52,37.55,2026-07-15_13-49-28
FBTC,56.54,56.55,2026-07-15_13-49-28
GBTC,50.36,50.37,2026-07-15_13-49-28
HODL,18.37,18.38,2026-07-15_13-49-28
IBIT,36.8,36.81,2026-07-15_13-49-28
ARKB,21.54,21.55,2026-07-15_14-04-28
BITB,35.25,35.26,2026-07-15_14-04-28
BRRR,18.31,18.32,2026-07-15_14-04-28
BTC,28.71,28.72,2026-07-15_14-04-28
BTCW,68.58,68.69,2026-07-15_14-04-28
EZBC,37.51,37.54,2026-07-15_14-04-28
FBTC,56.52,56.53,2026-07-15_14-04-28
GBTC,50.34,50.35,2026-07-15_14-04-28
HODL,18.36,18.37,2026-07-15_14-04-28
IBIT,36.78,36.79,2026-07-15_14-04-28
ARKB,21.58,21.59,2026-07-15_14-19-28
BITB,35.32,35.33,2026-07-15_14-19-28
BRRR,18.34,18.35,2026-07-15_14-19-28
BTC,28.77,28.78,2026-07-15_14-19-28
BTCW,68.67,68.76,2026-07-15_14-19-28
EZBC,37.59,37.61,2026-07-15_14-19-28
FBTC,56.64,56.65,2026-07-15_14-19-28
GBTC,50.44,50.45,2026-07-15_14-19-28
HODL,18.4,18.41,2026-07-15_14-19-28
IBIT,36.86,36.87,2026-07-15_14-19-28
ARKB,21.57,21.58,2026-07-15_14-34-28
BITB,35.31,35.32,2026-07-15_14-34-28
BRRR,18.34,18.35,2026-07-15_14-34-28
BTC,28.76,28.77,2026-07-15_14-34-28
BTCW,68.7,68.78,2026-07-15_14-34-28
EZBC,37.58,37.6,2026-07-15_14-34-28
FBTC,56.61,56.62,2026-07-15_14-34-28
GBTC,50.42,50.43,2026-07-15_14-34-28
HODL,18.39,18.4,2026-07-15_14-34-28
IBIT,36.84,36.85,2026-07-15_14-34-28
ARKB,21.54,21.55,2026-07-15_14-49-28
BITB,35.26,35.27,2026-07-15_14-49-28
