my_fi_name,price_screen_bid,price_screen_ask,time
ARKB,20.91,20.92,2026-07-07_10-29-38
BITB,34.23,34.24,2026-07-07_10-29-38
BRRR,17.78,17.79,2026-07-07_10-29-38
BTC,27.89,27.9,2026-07-07_10-29-38
BTCW,66.59,66.62,2026-07-07_10-29-38
EZBC,36.43,36.45,2026-07-07_10-29-38
FBTC,54.89,54.9,2026-07-07_10-29-38
GBTC,48.9,48.91,2026-07-07_10-29-38
HODL,17.83,17.84,2026-07-07_10-29-38
IBIT,35.72,35.73,2026-07-07_10-29-38
ARKB,20.85,20.85,2026-07-07_10-44-38
BITB,34.12,34.13,2026-07-07_10-44-38
BRRR,17.72,17.73,2026-07-07_10-44-38
BTC,27.8,27.81,2026-07-07_10-44-38
BTCW,66.38,66.43,2026-07-07_10-44-38
EZBC,36.31,36.33,2026-07-07_10-44-38
FBTC,54.7,54.71,2026-07-07_10-44-38
GBTC,48.73,48.74,2026-07-07_10-44-38
HODL,17.78,17.79,2026-07-07_10-44-38
IBIT,35.6,35.61,2026-07-07_10-44-38
ARKB,21.06,21.07,2026-07-07_10-59-38
BITB,34.48,34.49,2026-07-07_10-59-38
BRRR,17.9,17.91,2026-07-07_10-59-38
BTC,28.08,28.09,2026-07-07_10-59-38
BTCW,67.06,67.11,2026-07-07_10-59-38
EZBC,36.69,36.71,2026-07-07_10-59-38
FBTC,55.27,55.28,2026-07-07_10-59-38
GBTC,49.24,49.25,2026-07-07_10-59-38
HODL,17.96,17.97,2026-07-07_10-59-38
IBIT,35.97,35.98,2026-07-07_10-59-38
ARKB,21.05,21.06,2026-07-07_11-14-38
BITB,34.45,34.46,2026-07-07_11-14-38
BRRR,17.89,17.9,2026-07-07_11-14-38
BTC,28.07,28.08,2026-07-07_11-14-38
BTCW,67.01,67.06,2026-07-07_11-14-38
EZBC,36.67,36.69,2026-07-07_11-14-38
FBTC,55.23,55.24,2026-07-07_11-14-38
GBTC,49.22,49.23,2026-07-07_11-14-38
HODL,17.95,17.96,2026-07-07_11-14-38
IBIT,35.96,35.97,2026-07-07_11-14-38
ARKB,21.11,21.12,2026-07-07_11-29-38
BITB,34.55,34.56,2026-07-07_11-29-38
BRRR,17.95,17.96,2026-07-07_11-29-38
BTC,28.15,28.16,2026-07-07_11-29-38
BTCW,67.22,67.29,2026-07-07_11-29-38
EZBC,36.78,36.79,2026-07-07_11-29-38
FBTC,55.4,55.41,2026-07-07_11-29-38
GBTC,49.36,49.37,2026-07-07_11-29-38
HODL,18.0,18.01,2026-07-07_11-29-38
IBIT,36.07,36.08,2026-07-07_11-29-38
ARKB,21.15,21.16,2026-07-07_11-44-38
BITB,34.62,34.63,2026-07-07_11-44-38
BRRR,17.98,17.99,2026-07-07_11-44-38
BTC,28.2,28.21,2026-07-07_11-44-38
BTCW,67.32,67.4,2026-07-07_11-44-38
EZBC,36.85,36.87,2026-07-07_11-44-38
FBTC,55.51,55.52,2026-07-07_11-44-38
GBTC,49.45,49.46,2026-07-07_11-44-38
HODL,18.04,18.05,2026-07-07_11-44-38
IBIT,36.13,36.14,2026-07-07_11-44-38
ARKB,21.17,21.18,2026-07-07_11-59-38
BITB,34.66,34.67,2026-07-07_11-59-38
BRRR,18.0,18.01,2026-07-07_11-59-38
BTC,28.24,28.25,2026-07-07_11-59-38
BTCW,67.43,67.46,2026-07-07_11-59-38
EZBC,36.9,36.91,2026-07-07_11-59-38
FBTC,55.58,55.59,2026-07-07_11-59-38
GBTC,49.52,49.53,2026-07-07_11-59-38
HODL,18.06,18.07,2026-07-07_11-59-38
IBIT,36.18,36.19,2026-07-07_11-59-38
ARKB,21.15,21.16,2026-07-07_12-14-38
BITB,34.62,34.63,2026-07-07_12-14-38
BRRR,17.98,17.99,2026-07-07_12-14-38
BTC,28.2,28.21,2026-07-07_12-14-38
BTCW,67.32,67.39,2026-07-07_12-14-38
EZBC,36.86,36.87,2026-07-07_12-14-38
FBTC,55.51,55.52,2026-07-07_12-14-38
GBTC,49.46,49.47,2026-07-07_12-14-38
HODL,18.04,18.05,2026-07-07_12-14-38
IBIT,36.13,36.14,2026-07-07_12-14-38
ARKB,21.21,21.22,2026-07-07_12-29-38
BITB,34.71,34.72,2026-07-07_12-29-38
BRRR,18.03,18.04,2026-07-07_12-29-38
BTC,28.28,28.29,2026-07-07_12-29-38
BTCW,67.52,67.58,2026-07-07_12-29-38
EZBC,36.95,36.97,2026-07-07_12-29-38
FBTC,55.66,55.67,2026-07-07_12-29-38
GBTC,49.59,49.6,2026-07-07_12-29-38
HODL,18.09,18.1,2026-07-07_12-29-38
IBIT,36.23,36.24,2026-07-07_12-29-38
ARKB,21.22,21.23,2026-07-07_12-44-38
BITB,34.73,34.74,2026-07-07_12-44-38
BRRR,18.04,18.05,2026-07-07_12-44-38
BTC,28.3,28.31,2026-07-07_12-44-38
BTCW,67.55,67.62,2026-07-07_12-44-38
EZBC,36.97,36.99,2026-07-07_12-44-38
FBTC,55.69,55.7,2026-07-07_12-44-38
GBTC,49.62,49.63,2026-07-07_12-44-38
HODL,18.09,18.1,2026-07-07_12-44-38
IBIT,36.25,36.26,2026-07-07_12-44-38
ARKB,21.2,21.21,2026-07-07_12-59-38
BITB,34.71,34.72,2026-07-07_12-59-38
BRRR,18.02,18.03,2026-07-07_12-59-38
BTC,28.27,28.28,2026-07-07_12-59-38
BTCW,67.5,67.56,2026-07-07_12-59-38
EZBC,36.94,36.95,2026-07-07_12-59-38
FBTC,55.65,55.66,2026-07-07_12-59-38
GBTC,49.58,49.59,2026-07-07_12-59-38
HODL,18.08,18.09,2026-07-07_12-59-38
IBIT,36.22,36.23,2026-07-07_12-59-38
ARKB,21.21,21.22,2026-07-07_13-14-38
BITB,34.71,34.72,2026-07-07_13-14-38
BRRR,18.03,18.04,2026-07-07_13-14-38
BTC,28.28,28.29,2026-07-07_13-14-38
BTCW,67.5,67.58,2026-07-07_13-14-38
EZBC,36.95,36.96,2026-07-07_13-14-38
FBTC,55.66,55.67,2026-07-07_13-14-38
GBTC,49.59,49.6,2026-07-07_13-14-38
HODL,18.08,18.09,2026-07-07_13-14-38
IBIT,36.23,36.24,2026-07-07_13-14-38
ARKB,21.25,21.26,2026-07-07_13-29-38
BITB,34.79,34.8,2026-07-07_13-29-38
BRRR,18.07,18.08,2026-07-07_13-29-38
BTC,28.34,28.35,2026-07-07_13-29-38
BTCW,67.69,67.73,2026-07-07_13-29-38
EZBC,37.03,37.05,2026-07-07_13-29-38
FBTC,55.78,55.79,2026-07-07_13-29-38
GBTC,49.7,49.71,2026-07-07_13-29-38
HODL,18.13,18.14,2026-07-07_13-29-38
IBIT,36.31,36.32,2026-07-07_13-29-38
ARKB,21.27,21.28,2026-07-07_13-44-38
BITB,34.82,34.83,2026-07-07_13-44-38
BRRR,18.08,18.09,2026-07-07_13-44-38
BTC,28.37,28.38,2026-07-07_13-44-38
BTCW,67.74,67.78,2026-07-07_13-44-38
EZBC,37.07,37.08,2026-07-07_13-44-38
FBTC,55.83,55.84,2026-07-07_13-44-38
GBTC,49.75,49.76,2026-07-07_13-44-38
HODL,18.14,18.15,2026-07-07_13-44-38
IBIT,36.34,36.35,2026-07-07_13-44-38
ARKB,21.27,21.28,2026-07-07_13-59-38
BITB,34.81,34.82,2026-07-07_13-59-38
BRRR,18.08,18.09,2026-07-07_13-59-38
BTC,28.36,28.37,2026-07-07_13-59-38
BTCW,67.71,67.76,2026-07-07_13-59-38
EZBC,37.05,37.07,2026-07-07_13-59-38
FBTC,55.81,55.82,2026-07-07_13-59-38
GBTC,49.73,49.74,2026-07-07_13-59-38
HODL,18.13,18.14,2026-07-07_13-59-38
IBIT,36.33,36.34,2026-07-07_13-59-38
ARKB,21.21,21.22,2026-07-07_14-14-38
BITB,34.73,34.74,2026-07-07_14-14-38
BRRR,18.03,18.04,2026-07-07_14-14-38
BTC,28.29,28.3,2026-07-07_14-14-38
BTCW,67.54,67.6,2026-07-07_14-14-38
EZBC,36.96,36.97,2026-07-07_14-14-38
FBTC,55.68,55.69,2026-07-07_14-14-38
GBTC,49.61,49.62,2026-07-07_14-14-38
HODL,18.09,18.1,2026-07-07_14-14-38
IBIT,36.24,36.25,2026-07-07_14-14-38
ARKB,21.2,21.21,2026-07-07_14-29-38
BITB,34.7,34.71,2026-07-07_14-29-38
BRRR,18.02,18.03,2026-07-07_14-29-38
BTC,28.27,28.28,2026-07-07_14-29-38
BTCW,67.5,67.53,2026-07-07_14-29-38
EZBC,36.93,36.94,2026-07-07_14-29-38
FBTC,55.63,55.64,2026-07-07_14-29-38
GBTC,49.57,49.57,2026-07-07_14-29-38
HODL,18.07,18.08,2026-07-07_14-29-38
IBIT,36.21,36.22,2026-07-07_14-29-38
ARKB,21.22,21.23,2026-07-07_14-44-38
BITB,34.74,34.75,2026-07-07_14-44-38
BRRR,18.04,18.05,2026-07-07_14-44-38
BTC,28.3,28.31,2026-07-07_14-44-38
BTCW,67.57,67.63,2026-07-07_14-44-38
EZBC,36.98,36.99,2026-07-07_14-44-38
FBTC,55.7,55.71,2026-07-07_14-44-38
GBTC,49.62,49.63,2026-07-07_14-44-38
HODL,18.1,18.11,2026-07-07_14-44-38
IBIT,36.25,36.26,2026-07-07_14-44-38
ARKB,21.1,21.11,2026-07-07_14-59-38
BITB,34.55,34.56,2026-07-07_14-59-38
BRRR,17.94,17.95,2026-07-07_14-59-38
BTC,28.14,28.15,2026-07-07_14-59-38
BTCW,67.19,67.27,2026-07-07_14-59-38
EZBC,36.77,36.78,2026-07-07_14-59-38
FBTC,55.38,55.39,2026-07-07_14-59-38
GBTC,49.34,49.35,2026-07-07_14-59-38
HODL,18.0,18.01,2026-07-07_14-59-38
IBIT,36.05,36.06,2026-07-07_14-59-38
ARKB,21.05,21.06,2026-07-07_15-14-38
BITB,34.46,34.47,2026-07-07_15-14-38
BRRR,17.9,17.91,2026-07-07_15-14-38
BTC,28.07,28.08,2026-07-07_15-14-38
BTCW,67.02,67.11,2026-07-07_15-14-38
EZBC,36.68,36.69,2026-07-07_15-14-38
FBTC,55.25,55.26,2026-07-07_15-14-38
GBTC,49.23,49.24,2026-07-07_15-14-38
HODL,17.95,17.96,2026-07-07_15-14-38
IBIT,35.96,35.97,2026-07-07_15-14-38
ARKB,21.08,21.09,2026-07-07_15-29-38
BITB,34.51,34.52,2026-07-07_15-29-38
BRRR,17.92,17.93,2026-07-07_15-29-38
BTC,28.11,28.12,2026-07-07_15-29-38
BTCW,67.16,67.19,2026-07-07_15-29-38
EZBC,36.72,36.74,2026-07-07_15-29-38
FBTC,55.32,55.33,2026-07-07_15-29-38
GBTC,49.29,49.3,2026-07-07_15-29-38
HODL,17.98,17.99,2026-07-07_15-29-38
IBIT,36.01,36.02,2026-07-07_15-29-38
ARKB,21.13,21.14,2026-07-07_15-44-38
BITB,34.61,34.62,2026-07-07_15-44-38
BRRR,17.97,17.98,2026-07-07_15-44-38
BTC,28.19,28.2,2026-07-07_15-44-38
BTCW,67.33,67.36,2026-07-07_15-44-38
EZBC,36.83,36.84,2026-07-07_15-44-38
FBTC,55.48,55.49,2026-07-07_15-44-38
GBTC,49.42,49.43,2026-07-07_15-44-38
HODL,18.03,18.04,2026-07-07_15-44-38
IBIT,36.11,36.12,2026-07-07_15-44-38
ARKB,21.14,21.15,2026-07-07_15-59-38
BITB,34.61,34.62,2026-07-07_15-59-38
BRRR,17.97,17.98,2026-07-07_15-59-38
BTC,28.2,28.21,2026-07-07_15-59-38
BTCW,67.32,67.4,2026-07-07_15-59-38
EZBC,36.84,36.85,2026-07-07_15-59-38
FBTC,55.48,55.49,2026-07-07_15-59-38
GBTC,49.43,49.44,2026-07-07_15-59-38
HODL,18.03,18.04,2026-07-07_15-59-38
IBIT,36.12,36.13,2026-07-07_15-59-38
ARKB,21.12,21.14,2026-07-07_16-14-38
BITB,34.57,34.6,2026-07-07_16-14-38
BRRR,17.96,17.98,2026-07-07_16-14-38
BTC,28.17,28.19,2026-07-07_16-14-38
BTCW,67.06,67.62,2026-07-07_16-14-38
EZBC,36.72,36.93,2026-07-07_16-14-38
FBTC,55.43,55.47,2026-07-07_16-14-38
GBTC,49.39,49.42,2026-07-07_16-14-38
HODL,18.01,18.03,2026-07-07_16-14-38
IBIT,36.09,36.1,2026-07-07_16-14-38
ARKB,21.11,21.13,2026-07-07_16-29-38
BITB,34.56,34.59,2026-07-07_16-29-38
BRRR,17.94,17.97,2026-07-07_16-29-38
BTC,28.15,28.18,2026-07-07_16-29-38
BTCW,67.06,67.62,2026-07-07_16-29-38
EZBC,36.72,36.93,2026-07-07_16-29-38
FBTC,55.4,55.45,2026-07-07_16-29-38
GBTC,49.37,49.4,2026-07-07_16-29-38
HODL,18.0,18.02,2026-07-07_16-29-38
IBIT,36.07,36.08,2026-07-07_16-29-38
ARKB,21.09,21.11,2026-07-07_16-44-38
BITB,34.53,34.56,2026-07-07_16-44-38
BRRR,17.92,17.95,2026-07-07_16-44-38
BTC,28.12,28.16,2026-07-07_16-44-38
BTCW,67.06,67.54,2026-07-07_16-44-38
EZBC,36.7,36.93,2026-07-07_16-44-38
FBTC,55.37,55.4,2026-07-07_16-44-38
GBTC,49.33,49.36,2026-07-07_16-44-38
HODL,17.99,18.01,2026-07-07_16-44-38
IBIT,36.04,36.05,2026-07-07_16-44-38
ARKB,21.09,21.12,2026-07-07_16-59-38
BITB,34.51,34.56,2026-07-07_16-59-38
BRRR,17.92,17.96,2026-07-07_16-59-38
BTC,28.12,28.16,2026-07-07_16-59-38
BTCW,67.06,67.54,2026-07-07_16-59-38
EZBC,36.72,36.93,2026-07-07_16-59-38
FBTC,55.35,55.41,2026-07-07_16-59-38
GBTC,49.32,49.37,2026-07-07_16-59-38
HODL,17.99,18.01,2026-07-07_16-59-38
IBIT,36.04,36.05,2026-07-07_16-59-38
ARKB,21.13,21.15,2026-07-07_17-14-38
BITB,34.59,34.62,2026-07-07_17-14-38
BRRR,17.96,17.99,2026-07-07_17-14-38
BTC,28.18,28.21,2026-07-07_17-14-38
BTCW,67.06,67.54,2026-07-07_17-14-38
EZBC,36.72,36.95,2026-07-07_17-14-38
FBTC,55.45,55.5,2026-07-07_17-14-38
GBTC,49.4,49.46,2026-07-07_17-14-38
HODL,18.02,18.04,2026-07-07_17-14-38
IBIT,36.1,36.12,2026-07-07_17-14-38
ARKB,20.99,21.07,2026-07-07_17-29-38
BITB,34.4,34.53,2026-07-07_17-29-38
BRRR,17.85,17.94,2026-07-07_17-29-38
BTC,28.0,28.22,2026-07-07_17-29-38
BTCW,66.76,67.3,2026-07-07_17-29-38
EZBC,36.59,36.81,2026-07-07_17-29-38
FBTC,55.0,55.37,2026-07-07_17-29-38
GBTC,49.11,49.32,2026-07-07_17-29-38
HODL,17.84,18.05,2026-07-07_17-29-38
IBIT,35.95,35.97,2026-07-07_17-29-38
ARKB,20.97,21.09,2026-07-07_17-44-38
BITB,34.36,34.4,2026-07-07_17-44-38
BRRR,17.81,17.94,2026-07-07_17-44-38
BTC,28.0,28.08,2026-07-07_17-44-38
BTCW,66.57,67.26,2026-07-07_17-44-38
EZBC,36.49,36.79,2026-07-07_17-44-38
FBTC,55.01,55.37,2026-07-07_17-44-38
GBTC,49.09,49.33,2026-07-07_17-44-38
HODL,17.82,18.01,2026-07-07_17-44-38
IBIT,35.87,35.92,2026-07-07_17-44-38
ARKB,20.95,21.05,2026-07-07_17-59-38
BITB,34.31,34.49,2026-07-07_17-59-38
BRRR,17.81,17.94,2026-07-07_17-59-38
BTC,28.01,28.15,2026-07-07_17-59-38
BTCW,66.69,67.26,2026-07-07_17-59-38
EZBC,36.49,36.79,2026-07-07_17-59-38
FBTC,55.09,55.38,2026-07-07_17-59-38
GBTC,49.07,49.33,2026-07-07_17-59-38
HODL,17.87,17.96,2026-07-07_17-59-38
IBIT,35.88,35.99,2026-07-07_17-59-38
ARKB,20.95,21.05,2026-07-07_18-14-38
BITB,34.3,34.49,2026-07-07_18-14-38
BRRR,17.78,17.93,2026-07-07_18-14-38
BTC,27.91,28.2,2026-07-07_18-14-38
BTCW,66.62,67.13,2026-07-07_18-14-38
EZBC,36.45,36.71,2026-07-07_18-14-38
FBTC,55.0,55.29,2026-07-07_18-14-38
GBTC,49.07,49.38,2026-07-07_18-14-38
HODL,17.84,18.0,2026-07-07_18-14-38
IBIT,35.9,35.94,2026-07-07_18-14-38
ARKB,21.0,21.05,2026-07-07_18-29-38
BITB,34.38,34.45,2026-07-07_18-29-38
BRRR,17.85,17.91,2026-07-07_18-29-38
BTC,27.98,28.08,2026-07-07_18-29-38
BTCW,66.68,67.24,2026-07-07_18-29-38
EZBC,36.48,36.75,2026-07-07_18-29-38
FBTC,55.14,55.25,2026-07-07_18-29-38
GBTC,49.11,49.2,2026-07-07_18-29-38
HODL,17.88,17.96,2026-07-07_18-29-38
IBIT,35.91,35.95,2026-07-07_18-29-38
ARKB,21.05,21.11,2026-07-07_21-51-39
BITB,34.45,34.51,2026-07-07_21-51-39
BRRR,17.89,17.94,2026-07-07_21-51-39
BTC,28.02,28.14,2026-07-07_21-51-39
BTCW,66.83,67.43,2026-07-07_21-51-39
EZBC,36.56,36.84,2026-07-07_21-51-39
