my_fi_name,price_screen_bid,price_screen_ask,time
ARKB,21.11,21.13,2026-07-31_08-13-21
BITB,34.54,34.57,2026-07-31_08-13-21
BRRR,17.93,17.96,2026-07-31_08-13-21
BTC,28.13,28.17,2026-07-31_08-13-21
BTCW,,,2026-07-31_08-13-21
EZBC,36.73,36.83,2026-07-31_08-13-21
FBTC,55.39,55.43,2026-07-31_08-13-21
GBTC,49.31,49.35,2026-07-31_08-13-21
HODL,17.99,18.02,2026-07-31_08-13-21
IBIT,36.06,36.07,2026-07-31_08-13-21
ARKB,21.12,21.13,2026-07-31_08-28-21
BITB,34.56,34.59,2026-07-31_08-28-21
BRRR,17.95,17.97,2026-07-31_08-28-21
BTC,28.16,28.18,2026-07-31_08-28-21
BTCW,66.92,67.71,2026-07-31_08-28-21
EZBC,36.71,36.87,2026-07-31_08-28-21
FBTC,55.41,55.45,2026-07-31_08-28-21
GBTC,49.34,49.37,2026-07-31_08-28-21
HODL,18.0,18.03,2026-07-31_08-28-21
IBIT,36.08,36.09,2026-07-31_08-28-21
ARKB,21.07,21.1,2026-07-31_08-43-21
BITB,34.5,34.52,2026-07-31_08-43-21
BRRR,17.91,17.94,2026-07-31_08-43-21
BTC,28.1,28.13,2026-07-31_08-43-21
BTCW,66.8,67.6,2026-07-31_08-43-21
EZBC,36.7,36.83,2026-07-31_08-43-21
FBTC,55.32,55.36,2026-07-31_08-43-21
GBTC,49.25,49.28,2026-07-31_08-43-21
HODL,17.97,18.0,2026-07-31_08-43-21
IBIT,36.01,36.01,2026-07-31_08-43-21
ARKB,21.11,21.13,2026-07-31_08-58-21
BITB,34.55,34.58,2026-07-31_08-58-21
BRRR,17.94,17.96,2026-07-31_08-58-21
BTC,28.15,28.17,2026-07-31_08-58-21
BTCW,66.93,67.63,2026-07-31_08-58-21
EZBC,36.77,36.84,2026-07-31_08-58-21
FBTC,55.4,55.44,2026-07-31_08-58-21
GBTC,49.33,49.35,2026-07-31_08-58-21
HODL,18.0,18.02,2026-07-31_08-58-21
IBIT,36.07,36.07,2026-07-31_08-58-21
ARKB,21.1,21.12,2026-07-31_09-13-21
BITB,34.54,34.58,2026-07-31_09-13-21
BRRR,17.93,17.96,2026-07-31_09-13-21
BTC,28.14,28.17,2026-07-31_09-13-21
BTCW,66.95,67.63,2026-07-31_09-13-21
EZBC,36.76,36.84,2026-07-31_09-13-21
FBTC,55.37,55.41,2026-07-31_09-13-21
GBTC,49.31,49.34,2026-07-31_09-13-21
HODL,18.0,18.02,2026-07-31_09-13-21
IBIT,36.05,36.06,2026-07-31_09-13-21
ARKB,21.13,21.15,2026-07-31_09-29-01
BITB,34.59,34.61,2026-07-31_09-29-01
BRRR,17.96,17.98,2026-07-31_09-29-01
BTC,28.17,28.2,2026-07-31_09-29-01
BTCW,67.22,67.45,2026-07-31_09-29-01
EZBC,36.81,36.85,2026-07-31_09-29-01
FBTC,55.46,55.49,2026-07-31_09-29-01
GBTC,49.38,49.4,2026-07-31_09-29-01
HODL,18.02,18.04,2026-07-31_09-29-01
IBIT,36.1,36.11,2026-07-31_09-29-01
ARKB,21.04,21.05,2026-07-31_09-41-48
BITB,34.44,34.45,2026-07-31_09-41-48
BRRR,17.87,17.9,2026-07-31_09-41-48
BTC,28.05,28.06,2026-07-31_09-41-48
BTCW,66.98,67.09,2026-07-31_09-41-48
EZBC,36.6,36.74,2026-07-31_09-41-48
FBTC,55.22,55.23,2026-07-31_09-41-48
GBTC,49.16,49.18,2026-07-31_09-41-48
HODL,17.95,17.96,2026-07-31_09-41-48
IBIT,35.93,35.94,2026-07-31_09-41-48
ARKB,20.96,20.96,2026-07-31_09-56-48
BITB,34.3,34.31,2026-07-31_09-56-48
BRRR,17.82,17.83,2026-07-31_09-56-48
BTC,27.94,27.95,2026-07-31_09-56-48
BTCW,66.74,66.79,2026-07-31_09-56-48
EZBC,36.52,36.54,2026-07-31_09-56-48
FBTC,54.99,55.0,2026-07-31_09-56-48
GBTC,48.96,48.97,2026-07-31_09-56-48
HODL,17.87,17.88,2026-07-31_09-56-48
IBIT,35.79,35.8,2026-07-31_09-56-48
ARKB,20.78,20.78,2026-07-31_10-11-49
BITB,34.01,34.02,2026-07-31_10-11-49
BRRR,17.66,17.67,2026-07-31_10-11-49
BTC,27.7,27.71,2026-07-31_10-11-49
BTCW,66.18,66.23,2026-07-31_10-11-49
EZBC,36.2,36.22,2026-07-31_10-11-49
FBTC,54.52,54.53,2026-07-31_10-11-49
GBTC,48.54,48.55,2026-07-31_10-11-49
HODL,17.72,17.73,2026-07-31_10-11-49
IBIT,35.48,35.49,2026-07-31_10-11-49
ARKB,20.71,20.72,2026-07-31_10-26-48
BITB,33.9,33.91,2026-07-31_10-26-48
BRRR,17.61,17.62,2026-07-31_10-26-48
BTC,27.62,27.63,2026-07-31_10-26-48
BTCW,65.96,66.03,2026-07-31_10-26-48
EZBC,36.08,36.11,2026-07-31_10-26-48
