my_fi_name,price_screen_bid,price_screen_ask,time
ARKB,21.81,21.82,2026-07-22_08-47-52
BITB,35.69,35.72,2026-07-22_08-47-52
BRRR,18.53,18.56,2026-07-22_08-47-52
BTC,29.07,29.1,2026-07-22_08-47-52
BTCW,,,2026-07-22_08-47-52
EZBC,37.96,38.05,2026-07-22_08-47-52
FBTC,57.23,57.26,2026-07-22_08-47-52
GBTC,50.96,50.99,2026-07-22_08-47-52
HODL,18.59,18.61,2026-07-22_08-47-52
IBIT,37.25,37.26,2026-07-22_08-47-52
ARKB,21.75,21.76,2026-07-22_09-02-52
BITB,35.59,35.62,2026-07-22_09-02-52
BRRR,18.45,18.53,2026-07-22_09-02-52
BTC,29.0,29.02,2026-07-22_09-02-52
BTCW,69.11,69.55,2026-07-22_09-02-52
EZBC,37.83,37.94,2026-07-22_09-02-52
FBTC,57.07,57.1,2026-07-22_09-02-52
GBTC,50.82,50.85,2026-07-22_09-02-52
HODL,18.54,18.56,2026-07-22_09-02-52
IBIT,37.15,37.16,2026-07-22_09-02-52
ARKB,21.74,21.76,2026-07-22_09-17-52
BITB,35.58,35.61,2026-07-22_09-17-52
BRRR,18.47,18.5,2026-07-22_09-17-52
BTC,28.98,29.01,2026-07-22_09-17-52
BTCW,69.11,69.55,2026-07-22_09-17-52
EZBC,37.86,37.95,2026-07-22_09-17-52
FBTC,57.06,57.08,2026-07-22_09-17-52
GBTC,50.81,50.84,2026-07-22_09-17-52
HODL,18.54,18.56,2026-07-22_09-17-52
IBIT,37.13,37.14,2026-07-22_09-17-52
ARKB,21.76,21.77,2026-07-22_09-32-52
BITB,35.62,35.63,2026-07-22_09-32-52
BRRR,18.5,18.51,2026-07-22_09-32-52
BTC,29.02,29.03,2026-07-22_09-32-52
BTCW,69.24,69.35,2026-07-22_09-32-52
EZBC,37.91,37.93,2026-07-22_09-32-52
FBTC,57.12,57.13,2026-07-22_09-32-52
GBTC,50.86,50.87,2026-07-22_09-32-52
HODL,18.56,18.57,2026-07-22_09-32-52
IBIT,37.17,37.18,2026-07-22_09-32-52
ARKB,21.8,21.81,2026-07-22_09-35-45
BITB,35.69,35.7,2026-07-22_09-35-45
BRRR,18.53,18.54,2026-07-22_09-35-45
BTC,29.07,29.08,2026-07-22_09-35-45
BTCW,69.37,69.48,2026-07-22_09-35-45
EZBC,37.98,38.0,2026-07-22_09-35-45
FBTC,57.23,57.25,2026-07-22_09-35-45
GBTC,50.96,50.97,2026-07-22_09-35-45
HODL,18.59,18.6,2026-07-22_09-35-45
IBIT,37.24,37.25,2026-07-22_09-35-45
ARKB,21.82,21.82,2026-07-22_09-50-45
BITB,35.71,35.72,2026-07-22_09-50-45
BRRR,18.54,18.55,2026-07-22_09-50-45
BTC,29.09,29.1,2026-07-22_09-50-45
BTCW,69.47,69.59,2026-07-22_09-50-45
EZBC,38.0,38.02,2026-07-22_09-50-45
FBTC,57.26,57.27,2026-07-22_09-50-45
GBTC,50.99,51.0,2026-07-22_09-50-45
HODL,18.6,18.61,2026-07-22_09-50-45
IBIT,37.26,37.27,2026-07-22_09-50-45
ARKB,21.92,21.93,2026-07-22_10-05-45
BITB,35.87,35.88,2026-07-22_10-05-45
BRRR,18.63,18.64,2026-07-22_10-05-45
BTC,29.22,29.23,2026-07-22_10-05-45
BTCW,69.76,69.84,2026-07-22_10-05-45
EZBC,38.18,38.2,2026-07-22_10-05-45
FBTC,57.52,57.53,2026-07-22_10-05-45
GBTC,51.22,51.23,2026-07-22_10-05-45
HODL,18.69,18.7,2026-07-22_10-05-45
IBIT,37.44,37.45,2026-07-22_10-05-45
ARKB,21.79,21.8,2026-07-22_10-20-45
BITB,35.67,35.68,2026-07-22_10-20-45
BRRR,18.53,18.54,2026-07-22_10-20-45
BTC,29.06,29.07,2026-07-22_10-20-45
BTCW,69.38,69.44,2026-07-22_10-20-45
EZBC,37.96,37.98,2026-07-22_10-20-45
FBTC,57.2,57.21,2026-07-22_10-20-45
GBTC,50.93,50.94,2026-07-22_10-20-45
HODL,18.59,18.6,2026-07-22_10-20-45
IBIT,37.22,37.23,2026-07-22_10-20-45
ARKB,21.77,21.78,2026-07-22_10-35-45
BITB,35.64,35.65,2026-07-22_10-35-45
BRRR,18.51,18.52,2026-07-22_10-35-45
BTC,29.03,29.04,2026-07-22_10-35-45
BTCW,69.31,69.43,2026-07-22_10-35-45
EZBC,37.94,37.95,2026-07-22_10-35-45
FBTC,57.14,57.15,2026-07-22_10-35-45
GBTC,50.89,50.9,2026-07-22_10-35-45
HODL,18.57,18.58,2026-07-22_10-35-45
IBIT,37.19,37.2,2026-07-22_10-35-45
ARKB,21.79,21.8,2026-07-22_10-50-45
BITB,35.66,35.67,2026-07-22_10-50-45
BRRR,18.52,18.53,2026-07-22_10-50-45
