my_fi_name,price_screen_bid,price_screen_ask,time
ARKB,21.5,21.52,2026-07-30_09-02-20
BITB,35.19,35.21,2026-07-30_09-02-20
BRRR,18.27,18.29,2026-07-30_09-02-20
BTC,28.66,28.68,2026-07-30_09-02-20
BTCW,68.41,68.83,2026-07-30_09-02-20
EZBC,37.42,37.55,2026-07-30_09-02-20
FBTC,56.42,56.44,2026-07-30_09-02-20
GBTC,50.23,50.25,2026-07-30_09-02-20
HODL,18.33,18.35,2026-07-30_09-02-20
IBIT,36.74,36.75,2026-07-30_09-02-20
ARKB,21.46,21.48,2026-07-30_09-17-20
BITB,35.13,35.15,2026-07-30_09-17-20
BRRR,18.24,18.27,2026-07-30_09-17-20
BTC,28.62,28.66,2026-07-30_09-17-20
BTCW,68.32,68.76,2026-07-30_09-17-20
EZBC,37.36,37.49,2026-07-30_09-17-20
FBTC,56.32,56.36,2026-07-30_09-17-20
GBTC,50.14,50.18,2026-07-30_09-17-20
HODL,18.3,18.33,2026-07-30_09-17-20
IBIT,36.68,36.69,2026-07-30_09-17-20
ARKB,21.45,21.46,2026-07-30_09-32-20
BITB,35.11,35.12,2026-07-30_09-32-20
BRRR,18.24,18.25,2026-07-30_09-32-20
BTC,28.6,28.61,2026-07-30_09-32-20
BTCW,68.3,68.41,2026-07-30_09-32-20
EZBC,37.38,37.4,2026-07-30_09-32-20
FBTC,56.29,56.3,2026-07-30_09-32-20
GBTC,50.11,50.12,2026-07-30_09-32-20
HODL,18.3,18.31,2026-07-30_09-32-20
IBIT,36.64,36.65,2026-07-30_09-32-20
ARKB,21.54,21.55,2026-07-30_09-47-20
BITB,35.25,35.26,2026-07-30_09-47-20
BRRR,18.31,18.32,2026-07-30_09-47-20
BTC,28.72,28.73,2026-07-30_09-47-20
BTCW,68.57,68.69,2026-07-30_09-47-20
EZBC,37.53,37.54,2026-07-30_09-47-20
FBTC,56.52,56.53,2026-07-30_09-47-20
GBTC,50.32,50.33,2026-07-30_09-47-20
HODL,18.37,18.38,2026-07-30_09-47-20
IBIT,36.8,36.81,2026-07-30_09-47-20
ARKB,21.53,21.54,2026-07-30_10-02-20
BITB,35.25,35.26,2026-07-30_10-02-20
BRRR,18.3,18.31,2026-07-30_10-02-20
BTC,28.72,28.72,2026-07-30_10-02-20
BTCW,68.56,68.66,2026-07-30_10-02-20
EZBC,37.52,37.54,2026-07-30_10-02-20
FBTC,56.52,56.53,2026-07-30_10-02-20
GBTC,50.32,50.33,2026-07-30_10-02-20
HODL,18.37,18.38,2026-07-30_10-02-20
IBIT,36.79,36.8,2026-07-30_10-02-20
ARKB,21.45,21.46,2026-07-30_10-17-20
BITB,35.12,35.13,2026-07-30_10-17-20
BRRR,18.23,18.24,2026-07-30_10-17-20
BTC,28.61,28.62,2026-07-30_10-17-20
BTCW,68.29,68.39,2026-07-30_10-17-20
EZBC,37.38,37.4,2026-07-30_10-17-20
FBTC,56.3,56.31,2026-07-30_10-17-20
GBTC,50.13,50.14,2026-07-30_10-17-20
HODL,18.3,18.31,2026-07-30_10-17-20
IBIT,36.65,36.66,2026-07-30_10-17-20
ARKB,21.48,21.49,2026-07-30_10-32-20
BITB,35.17,35.18,2026-07-30_10-32-20
BRRR,18.26,18.27,2026-07-30_10-32-20
BTC,28.65,28.66,2026-07-30_10-32-20
BTCW,68.37,68.48,2026-07-30_10-32-20
EZBC,37.43,37.45,2026-07-30_10-32-20
FBTC,56.38,56.39,2026-07-30_10-32-20
GBTC,50.2,50.21,2026-07-30_10-32-20
HODL,18.32,18.33,2026-07-30_10-32-20
IBIT,36.7,36.71,2026-07-30_10-32-20
ARKB,21.46,21.47,2026-07-30_10-47-20
BITB,35.13,35.14,2026-07-30_10-47-20
BRRR,18.24,18.25,2026-07-30_10-47-20
BTC,28.62,28.63,2026-07-30_10-47-20
BTCW,68.32,68.43,2026-07-30_10-47-20
EZBC,37.39,37.41,2026-07-30_10-47-20
FBTC,56.32,56.33,2026-07-30_10-47-20
GBTC,50.15,50.16,2026-07-30_10-47-20
HODL,18.31,18.32,2026-07-30_10-47-20
IBIT,36.66,36.67,2026-07-30_10-47-20
ARKB,21.4,21.41,2026-07-30_11-02-20
BITB,35.04,35.05,2026-07-30_11-02-20
BRRR,18.2,18.21,2026-07-30_11-02-20
BTC,28.55,28.56,2026-07-30_11-02-20
BTCW,68.14,68.25,2026-07-30_11-02-20
EZBC,37.3,37.32,2026-07-30_11-02-20
FBTC,56.19,56.2,2026-07-30_11-02-20
GBTC,50.03,50.04,2026-07-30_11-02-20
HODL,18.26,18.27,2026-07-30_11-02-20
IBIT,36.57,36.58,2026-07-30_11-02-20
ARKB,21.45,21.46,2026-07-30_11-17-20
BITB,35.11,35.12,2026-07-30_11-17-20
BRRR,18.23,18.24,2026-07-30_11-17-20
BTC,28.6,28.61,2026-07-30_11-17-20
BTCW,68.25,68.36,2026-07-30_11-17-20
EZBC,37.37,37.39,2026-07-30_11-17-20
FBTC,56.29,56.3,2026-07-30_11-17-20
GBTC,50.11,50.12,2026-07-30_11-17-20
HODL,18.29,18.3,2026-07-30_11-17-20
IBIT,36.64,36.65,2026-07-30_11-17-20
ARKB,21.41,21.42,2026-07-30_11-32-20
BITB,35.05,35.06,2026-07-30_11-32-20
BRRR,18.2,18.21,2026-07-30_11-32-20
BTC,28.56,28.57,2026-07-30_11-32-20
BTCW,68.18,68.29,2026-07-30_11-32-20
EZBC,37.32,37.33,2026-07-30_11-32-20
FBTC,56.2,56.21,2026-07-30_11-32-20
GBTC,50.04,50.05,2026-07-30_11-32-20
HODL,18.26,18.27,2026-07-30_11-32-20
IBIT,36.58,36.59,2026-07-30_11-32-20
ARKB,21.46,21.47,2026-07-30_11-47-20
BITB,35.12,35.13,2026-07-30_11-47-20
BRRR,18.24,18.25,2026-07-30_11-47-20
BTC,28.61,28.62,2026-07-30_11-47-20
BTCW,68.31,68.42,2026-07-30_11-47-20
EZBC,37.39,37.41,2026-07-30_11-47-20
FBTC,56.31,56.32,2026-07-30_11-47-20
GBTC,50.13,50.14,2026-07-30_11-47-20
HODL,18.3,18.31,2026-07-30_11-47-20
IBIT,36.65,36.66,2026-07-30_11-47-20
ARKB,21.44,21.45,2026-07-30_11-59-01
BITB,35.1,35.11,2026-07-30_11-59-01
BRRR,18.22,18.23,2026-07-30_11-59-01
BTC,28.59,28.6,2026-07-30_11-59-01
BTCW,68.24,68.34,2026-07-30_11-59-01
EZBC,37.36,37.38,2026-07-30_11-59-01
FBTC,56.26,56.27,2026-07-30_11-59-01
GBTC,50.09,50.1,2026-07-30_11-59-01
HODL,18.28,18.29,2026-07-30_11-59-01
IBIT,36.63,36.64,2026-07-30_11-59-01
ARKB,21.51,21.52,2026-07-30_12-14-01
BITB,35.21,35.22,2026-07-30_12-14-01
BRRR,18.29,18.3,2026-07-30_12-14-01
BTC,28.69,28.7,2026-07-30_12-14-01
BTCW,68.47,68.59,2026-07-30_12-14-01
EZBC,37.49,37.51,2026-07-30_12-14-01
FBTC,56.46,56.47,2026-07-30_12-14-01
GBTC,50.27,50.28,2026-07-30_12-14-01
HODL,18.35,18.36,2026-07-30_12-14-01
IBIT,36.76,36.77,2026-07-30_12-14-01
ARKB,21.5,21.51,2026-07-30_12-29-01
BITB,35.19,35.2,2026-07-30_12-29-01
BRRR,18.27,18.28,2026-07-30_12-29-01
BTC,28.66,28.67,2026-07-30_12-29-01
BTCW,68.41,68.54,2026-07-30_12-29-01
EZBC,37.45,37.48,2026-07-30_12-29-01
FBTC,56.42,56.43,2026-07-30_12-29-01
GBTC,50.23,50.24,2026-07-30_12-29-01
HODL,18.34,18.35,2026-07-30_12-29-01
IBIT,36.73,36.74,2026-07-30_12-29-01
ARKB,21.46,21.47,2026-07-30_12-44-01
BITB,35.12,35.13,2026-07-30_12-44-01
BRRR,18.24,18.25,2026-07-30_12-44-01
BTC,28.61,28.62,2026-07-30_12-44-01
BTCW,68.33,68.43,2026-07-30_12-44-01
EZBC,37.39,37.4,2026-07-30_12-44-01
FBTC,56.31,56.32,2026-07-30_12-44-01
GBTC,50.13,50.14,2026-07-30_12-44-01
HODL,18.3,18.31,2026-07-30_12-44-01
IBIT,36.65,36.66,2026-07-30_12-44-01
ARKB,21.47,21.48,2026-07-30_12-59-01
BITB,35.15,35.16,2026-07-30_12-59-01
BRRR,18.25,18.26,2026-07-30_12-59-01
BTC,28.64,28.65,2026-07-30_12-59-01
BTCW,68.34,68.46,2026-07-30_12-59-01
EZBC,37.42,37.44,2026-07-30_12-59-01
FBTC,56.36,56.37,2026-07-30_12-59-01
GBTC,50.18,50.19,2026-07-30_12-59-01
HODL,18.32,18.33,2026-07-30_12-59-01
IBIT,36.69,36.7,2026-07-30_12-59-01
ARKB,21.46,21.47,2026-07-30_13-14-01
BITB,35.13,35.14,2026-07-30_13-14-01
BRRR,18.25,18.26,2026-07-30_13-14-01
BTC,28.62,28.63,2026-07-30_13-14-01
BTCW,68.29,68.44,2026-07-30_13-14-01
EZBC,37.4,37.42,2026-07-30_13-14-01
FBTC,56.33,56.34,2026-07-30_13-14-01
GBTC,50.15,50.16,2026-07-30_13-14-01
HODL,18.3,18.31,2026-07-30_13-14-01
IBIT,36.67,36.68,2026-07-30_13-14-01
ARKB,21.52,21.53,2026-07-30_13-29-01
BITB,35.23,35.24,2026-07-30_13-29-01
BRRR,18.29,18.3,2026-07-30_13-29-01
BTC,28.7,28.71,2026-07-30_13-29-01
BTCW,68.47,68.59,2026-07-30_13-29-01
EZBC,37.5,37.52,2026-07-30_13-29-01
FBTC,56.48,56.49,2026-07-30_13-29-01
GBTC,50.29,50.3,2026-07-30_13-29-01
HODL,18.35,18.36,2026-07-30_13-29-01
IBIT,36.77,36.78,2026-07-30_13-29-01
ARKB,21.52,21.53,2026-07-30_13-44-01
BITB,35.22,35.23,2026-07-30_13-44-01
BRRR,18.29,18.3,2026-07-30_13-44-01
BTC,28.7,28.71,2026-07-30_13-44-01
BTCW,68.49,68.64,2026-07-30_13-44-01
EZBC,37.5,37.52,2026-07-30_13-44-01
FBTC,56.49,56.5,2026-07-30_13-44-01
GBTC,50.28,50.29,2026-07-30_13-44-01
HODL,18.36,18.37,2026-07-30_13-44-01
IBIT,36.77,36.78,2026-07-30_13-44-01
ARKB,21.49,21.5,2026-07-30_13-59-01
BITB,35.18,35.19,2026-07-30_13-59-01
BRRR,18.27,18.28,2026-07-30_13-59-01
BTC,28.66,28.67,2026-07-30_13-59-01
BTCW,68.42,68.52,2026-07-30_13-59-01
EZBC,37.45,37.47,2026-07-30_13-59-01
FBTC,56.41,56.42,2026-07-30_13-59-01
GBTC,50.22,50.23,2026-07-30_13-59-01
HODL,18.33,18.34,2026-07-30_13-59-01
IBIT,36.72,36.73,2026-07-30_13-59-01
ARKB,21.48,21.48,2026-07-30_14-14-01
BITB,35.15,35.16,2026-07-30_14-14-01
BRRR,18.25,18.26,2026-07-30_14-14-01
BTC,28.63,28.64,2026-07-30_14-14-01
BTCW,68.39,68.49,2026-07-30_14-14-01
EZBC,37.42,37.44,2026-07-30_14-14-01
FBTC,56.36,56.37,2026-07-30_14-14-01
GBTC,50.17,50.18,2026-07-30_14-14-01
HODL,18.32,18.33,2026-07-30_14-14-01
IBIT,36.69,36.7,2026-07-30_14-14-01
ARKB,21.47,21.48,2026-07-30_14-29-01
BITB,35.15,35.16,2026-07-30_14-29-01
BRRR,18.26,18.27,2026-07-30_14-29-01
BTC,28.64,28.65,2026-07-30_14-29-01
BTCW,68.32,68.43,2026-07-30_14-29-01
EZBC,37.42,37.44,2026-07-30_14-29-01
FBTC,56.37,56.37,2026-07-30_14-29-01
GBTC,50.18,50.19,2026-07-30_14-29-01
HODL,18.32,18.33,2026-07-30_14-29-01
IBIT,36.69,36.7,2026-07-30_14-29-01
ARKB,21.44,21.45,2026-07-30_14-44-01
BITB,35.1,35.11,2026-07-30_14-44-01
BRRR,18.23,18.24,2026-07-30_14-44-01
BTC,28.59,28.6,2026-07-30_14-44-01
BTCW,68.29,68.34,2026-07-30_14-44-01
EZBC,37.36,37.38,2026-07-30_14-44-01
FBTC,56.28,56.29,2026-07-30_14-44-01
GBTC,50.11,50.12,2026-07-30_14-44-01
HODL,18.29,18.3,2026-07-30_14-44-01
IBIT,36.63,36.64,2026-07-30_14-44-01
ARKB,21.43,21.44,2026-07-30_14-59-01
BITB,35.08,35.09,2026-07-30_14-59-01
BRRR,18.22,18.23,2026-07-30_14-59-01
BTC,28.58,28.59,2026-07-30_14-59-01
BTCW,68.24,68.32,2026-07-30_14-59-01
EZBC,37.35,37.37,2026-07-30_14-59-01
FBTC,56.26,56.27,2026-07-30_14-59-01
GBTC,50.08,50.09,2026-07-30_14-59-01
HODL,18.28,18.29,2026-07-30_14-59-01
IBIT,36.62,36.63,2026-07-30_14-59-01
ARKB,21.48,21.49,2026-07-30_15-14-01
BITB,35.16,35.17,2026-07-30_15-14-01
BRRR,18.26,18.27,2026-07-30_15-14-01
BTC,28.64,28.65,2026-07-30_15-14-01
BTCW,68.38,68.47,2026-07-30_15-14-01
EZBC,37.43,37.45,2026-07-30_15-14-01
FBTC,56.38,56.39,2026-07-30_15-14-01
