date,close,symbol,time
2026-04-27,25.84,ARKB,09:30:00
2026-04-27,25.8,ARKB,09:45:00
2026-04-27,25.84,ARKB,10:00:00
2026-04-27,25.84,ARKB,10:15:00
2026-04-27,25.95,ARKB,10:30:00
2026-04-27,25.82,ARKB,10:45:00
2026-04-27,25.68,ARKB,11:00:00
2026-04-27,25.5,ARKB,11:15:00
2026-04-27,25.55,ARKB,11:30:00
2026-04-27,25.48,ARKB,11:45:00
2026-04-27,25.46,ARKB,12:00:00
2026-04-27,25.46,ARKB,12:15:00
2026-04-27,25.41,ARKB,12:30:00
2026-04-27,25.41,ARKB,12:45:00
2026-04-27,25.44,ARKB,13:00:00
2026-04-27,25.48,ARKB,13:15:00
2026-04-27,25.5,ARKB,13:30:00
2026-04-27,25.45,ARKB,13:45:00
2026-04-27,25.46,ARKB,14:00:00
2026-04-27,25.45,ARKB,14:15:00
2026-04-27,25.46,ARKB,14:30:00
2026-04-27,25.48,ARKB,14:45:00
2026-04-27,25.51,ARKB,15:00:00
2026-04-27,25.41,ARKB,15:15:00
2026-04-27,25.48,ARKB,15:30:00
2026-04-27,25.52,ARKB,15:45:00
2026-04-28,25.3,ARKB,09:30:00
2026-04-28,25.29,ARKB,09:45:00
2026-04-28,25.23,ARKB,10:00:00
2026-04-28,25.16,ARKB,10:15:00
2026-04-28,25.16,ARKB,10:30:00
2026-04-28,25.2,ARKB,10:45:00
2026-04-28,25.2,ARKB,11:00:00
2026-04-28,25.21,ARKB,11:15:00
2026-04-28,25.19,ARKB,11:30:00
2026-04-28,25.23,ARKB,11:45:00
2026-04-28,25.21,ARKB,12:00:00
2026-04-28,25.2,ARKB,12:15:00
2026-04-28,25.18,ARKB,12:30:00
2026-04-28,25.26,ARKB,12:45:00
2026-04-28,25.23,ARKB,13:00:00
2026-04-28,25.25,ARKB,13:15:00
2026-04-28,25.27,ARKB,13:30:00
2026-04-28,25.27,ARKB,13:45:00
2026-04-28,25.26,ARKB,14:00:00
2026-04-28,25.3,ARKB,14:15:00
2026-04-28,25.27,ARKB,14:30:00
2026-04-28,25.3,ARKB,14:45:00
2026-04-28,25.23,ARKB,15:00:00
2026-04-28,25.27,ARKB,15:15:00
2026-04-28,25.32,ARKB,15:30:00
2026-04-28,25.33,ARKB,15:45:00
2026-04-29,25.4,ARKB,09:30:00
2026-04-29,25.46,ARKB,09:45:00
2026-04-29,25.4,ARKB,10:00:00
2026-04-29,25.45,ARKB,10:15:00
2026-04-29,25.41,ARKB,10:30:00
2026-04-29,25.4,ARKB,10:45:00
2026-04-29,25.29,ARKB,11:00:00
2026-04-29,25.27,ARKB,11:15:00
2026-04-29,25.2,ARKB,11:30:00
2026-04-29,25.19,ARKB,11:45:00
2026-04-29,25.21,ARKB,12:00:00
2026-04-29,25.15,ARKB,12:15:00
2026-04-29,25.16,ARKB,12:30:00
2026-04-29,25.13,ARKB,12:45:00
2026-04-29,25.18,ARKB,13:00:00
2026-04-29,25.16,ARKB,13:15:00
2026-04-29,25.2,ARKB,13:30:00
2026-04-29,25.26,ARKB,13:45:00
2026-04-29,24.94,ARKB,14:00:00
2026-04-29,24.93,ARKB,14:15:00
2026-04-29,24.95,ARKB,14:30:00
2026-04-29,25.04,ARKB,14:45:00
2026-04-29,25.05,ARKB,15:00:00
2026-04-29,25.04,ARKB,15:15:00
2026-04-29,25.01,ARKB,15:30:00
2026-04-29,25.05,ARKB,15:45:00
2026-04-30,25.43,ARKB,09:30:00
2026-04-30,25.34,ARKB,09:45:00
2026-04-30,25.33,ARKB,10:00:00
2026-04-30,25.33,ARKB,10:15:00
2026-04-30,25.32,ARKB,10:30:00
2026-04-30,25.3,ARKB,10:45:00
