SCHZ_price,SPAB_price,BND_price,AGG_price,SCHZ_price_chg,SPAB_price_chg,BND_price_chg,AGG_price_chg,AGG/SCHZ,AGG/SPAB,AGG/BND,AGG/AGG,AGG/SCHZ_moving_avg,AGG/SPAB_moving_avg,AGG/BND_moving_avg,AGG/AGG_moving_avg,AGG/SCHZ_prev_moving_avg,AGG/SPAB_prev_moving_avg,AGG/BND_prev_moving_avg,AGG/AGG_prev_moving_avg,SCHZ_scaled_price,SPAB_scaled_price,BND_scaled_price,AGG_scaled_price,SCHZ_scaled_comm,SPAB_scaled_comm,BND_scaled_comm,AGG_scaled_comm,SCHZ_scaled_price_minus_comm,SPAB_scaled_price_minus_comm,BND_scaled_price_minus_comm,AGG_scaled_price_minus_comm,SCHZ_scaled_price_plus_comm,SPAB_scaled_price_plus_comm,BND_scaled_price_plus_comm,AGG_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,SCHZ_shs_per_unit,SPAB_shs_per_unit,BND_shs_per_unit,AGG_shs_per_unit,SCHZ_current_shs,SPAB_current_shs,BND_current_shs,AGG_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,SCHZ_tgt_shs,SPAB_tgt_shs,BND_tgt_shs,AGG_tgt_shs,SCHZ_tgt_inv_amt,SPAB_tgt_inv_amt,BND_tgt_inv_amt,AGG_tgt_inv_amt,gross_inv_amt,net_inv_amt,SCHZ_shs_to_trade,SPAB_shs_to_trade,BND_shs_to_trade,AGG_shs_to_trade,SCHZ_shs_to_buy,SPAB_shs_to_buy,BND_shs_to_buy,AGG_shs_to_buy,SCHZ_shs_to_sell,SPAB_shs_to_sell,BND_shs_to_sell,AGG_shs_to_sell,SCHZ_daily_comm,SPAB_daily_comm,BND_daily_comm,AGG_daily_comm,daily_comm,SCHZ_daily_profit,SPAB_daily_profit,BND_daily_profit,AGG_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
22.89,25.22,72.57,97.76,0.0,0.00999999999999801,0.05999999999998806,0.10000000000000853,4.270860637833115,3.876288659793815,1.3471131321482708,1.0,4.268642205886346,3.8751211117663673,1.3471635150793504,1.0,4.268765847475652,3.8752232721338196,1.3471884686040698,1.0,97.71205024871767,97.73313092321493,97.76546716659733,97.76,0.021343829237378258,0.019376116360669098,0.006735942343020349,0.005,97.69070641948029,97.71375480685425,97.75873122425432,97.75500000000001,97.73339407795505,97.7525070395756,97.77220310894035,97.765,97.73339407795505,97.75873122425432,0.025337146299264646,0.0002591770284294665,SCHZ,BND,2025-05-09,False,4367.0,3964.0,1378.0,1023.0,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.0,False,False,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.48000000001664
22.83,25.15,72.32,97.43,-0.060000000000002274,-0.07000000000000028,-0.25,-0.3299999999999983,4.267630310994306,3.8739562624254478,1.3472068584070798,1.0,4.268505409697349,3.8749432374209065,1.3471104822722941,1.0,4.268642205886346,3.8751211117663673,1.3471635150793504,1.0,97.45310156038528,97.45929596092414,97.42686541053861,97.43,0.021343211029431732,0.019375605558831836,0.006735817575396752,0.005,97.43175834935585,97.4399203553653,97.4201295929632,97.42500000000001,97.47444477141471,97.47867156648297,97.43360122811401,97.435,97.43360122811401,97.4399203553653,0.006319127251288137,6.485812636034216e-05,BND,SPAB,2025-05-12,False,4380.0,3976.0,1382.0,1026.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,103.48000000001664
22.81,25.12,72.29,97.33,-0.019999999999999574,-0.029999999999997584,-0.029999999999986926,-0.10000000000000853,4.266988163086366,3.874601910828025,1.3463826255360354,1.0,4.268190007996507,3.874800769137264,1.346996875349351,1.0,4.268505409697349,3.8749432374209065,1.3471104822722941,1.0,97.36460839519653,97.33857412401318,97.38261676346416,97.33,0.021342527048486746,0.019374716187104533,0.006735552411361471,0.005,97.34326586814804,97.31919940782608,97.3758812110528,97.325,97.38595092224502,97.35794884020028,97.38935231587551,97.335,97.335,97.3758812110528,0.040881211052806066,0.00042002682680372,AGG,BND,2025-05-13,False,4384.0,3980.0,1383.0,1027.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,False,False,-0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,103.48000000001664
22.74,25.04,72.04,97.05,-0.07000000000000028,-0.08000000000000185,-0.25,-0.28000000000000114,4.2678100263852246,3.8757987220447285,1.3471682398667406,1.0,4.268160665807442,3.8748268252947704,1.346992610900651,1.0,4.268190007996507,3.874800769137264,1.346996875349351,1.0,97.05864078184057,97.02501125919709,97.03765490016725,97.05,0.021340950039982536,0.01937400384568632,0.006734984376746756,0.005,97.03729983180058,97.0056372553514,97.0309199157905,97.045,97.07998173188055,97.04438526304277,97.044389884544,97.05499999999999,97.04438526304277,97.045,0.0006147369572317984,6.334229337782571e-06,SPAB,AGG,2025-05-14,False,4396.0,3991.0,1387.0,1030.0,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,103.48000000001664
22.84,25.18,72.43,97.6,0.10000000000000142,0.14000000000000057,0.39000000000000057,0.5499999999999972,4.273204903677758,3.876092136616362,1.3475079386994337,1.0,4.268267614508551,3.874916353917037,1.3470185211133265,1.0,4.268160665807442,3.8748268252947704,1.346992610900651,1.0,97.48478960704198,97.56813946092232,97.56267480753415,97.6,0.02134080332903721,0.019374134126473853,0.006734963054503254,0.005,97.46344880371294,97.54876532679584,97.55593984447965,97.595,97.50613041037101,97.5875135950488,97.56940977058865,97.60499999999999,97.50613041037101,97.595,0.08886958962898461,0.0009105490740674653,SCHZ,AGG,2025-05-15,False,4375.0,3972.0,1381.0,1025.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,False,False,-0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.48000000001664
22.86,25.19,72.48,97.66,0.019999999999999574,0.010000000000001563,0.04999999999999716,0.060000000000002274,4.272090988626422,3.876935291782453,1.3474061810154525,1.0,4.268679327750279,3.8751494400573074,1.347027364799466,1.0,4.268267614508551,3.874916353917037,1.3470185211133265,1.0,97.57259766766548,97.60914295517016,97.63190241029392,97.66,0.021341338072542758,0.019374581769585186,0.006735092605566633,0.005,97.55125632959293,97.58976837340057,97.62516731768835,97.655,97.59393900573802,97.62851753693974,97.63863750289948,97.66499999999999,97.59393900573802,97.655,0.06106099426197886,0.0006252405720046986,SCHZ,AGG,2025-05-16,False,4371.0,3968.0,1379.0,1024.0,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.0,False,False,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.48000000001664
22.87,25.19,72.46,97.63,0.010000000000001563,0.0,-0.020000000000010232,-0.030000000000001137,4.268911237428946,3.8757443429932508,1.3473640629312724,1.0,4.268769927704435,3.8753229234849997,1.3470805755003066,1.0,4.268679327750279,3.8751494400573074,1.347027364799466,1.0,97.62469622564889,97.61501439504357,97.60560285336929,97.63,0.021343396638751396,0.019375747200286536,0.00673513682399733,0.005,97.60335282901013,97.59563864784329,97.5988677165453,97.625,97.64603962228765,97.63439014224386,97.61233799019328,97.63499999999999,97.61233799019328,97.625,0.012662009806717833,0.00012969384212555398,BND,AGG,2025-05-19,False,4371.0,3968.0,1379.0,1024.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,103.48000000001664
22.82,25.13,72.33,97.46,-0.05000000000000071,-0.060000000000002274,-0.12999999999999545,-0.1700000000000017,4.270815074496055,3.878233187425388,1.3474353656850546,1.0,4.269120917086997,3.875562216921094,1.3471072346636443,1.0,4.268769927704435,3.8753229234849997,1.3470805755003066,1.0,97.41332975021521,97.38686506717804,97.43433802593717,97.46,0.021343849638522174,0.019376614617425,0.006735402877501533,0.005,97.39198590057669,97.36748845256061,97.42760262305967,97.455,97.43467359985374,97.40624168179546,97.44107342881466,97.46499999999999,97.40624168179546,97.455,0.048758318204534135,0.0005002905623284849,SPAB,AGG,2025-05-20,False,4380.0,3976.0,1382.0,1026.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,False,False,-0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,103.48000000001664
22.67,24.98,71.88,96.82,-0.14999999999999858,-0.14999999999999858,-0.45000000000000284,-0.6400000000000006,4.270842523158358,3.875900720576461,1.3469671675013912,1.0,4.269564578355462,3.875741081401786,1.3471400282313417,1.0,4.269120917086997,3.875562216921094,1.3471072346636443,1.0,96.78097119036222,96.81154417868893,96.83006802762274,96.82,0.021345604585434982,0.01937781108460547,0.006735536173318222,0.005,96.75962558577679,96.79216636760432,96.82333249144942,96.815,96.80231679494766,96.83092198977354,96.83680356379607,96.82499999999999,96.80231679494766,96.82333249144942,0.02101569650176316,0.00021705945570918366,SCHZ,BND,2025-05-21,False,4410.0,4003.0,1392.0,1033.0,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.0,False,False,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,103.48000000001664
22.73,25.05,72.08,97.1,0.05999999999999872,0.07000000000000028,0.20000000000000284,0.28000000000000114,4.271887373515177,3.87624750499002,1.3471143174250833,1.0,4.270104123920173,3.875979873947595,1.3471665889215816,1.0,4.269564578355462,3.875741081401786,1.3471400282313417,1.0,97.04720286601966,97.08731408911474,97.10185323491511,97.1,0.02134782289177731,0.01937870540700893,0.0067357001411567086,0.005,97.02585504312788,97.06793538370773,97.09511753477395,97.095,97.06855068891144,97.10669279452175,97.10858893505628,97.10499999999999,97.06855068891144,97.09511753477395,0.02656684586250435,0.0002736029440010747,SCHZ,BND,2025-05-22,False,4398.0,3992.0,1388.0,1030.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,False,False,-0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.48000000001664
