SPTL_price,SCHQ_price,VGLT_price,SPTL_price_chg,SCHQ_price_chg,VGLT_price_chg,VGLT/SPTL,VGLT/SCHQ,VGLT/VGLT,VGLT/SPTL_moving_avg,VGLT/SCHQ_moving_avg,VGLT/VGLT_moving_avg,VGLT/SPTL_prev_moving_avg,VGLT/SCHQ_prev_moving_avg,VGLT/VGLT_prev_moving_avg,SPTL_scaled_price,SCHQ_scaled_price,VGLT_scaled_price,SPTL_scaled_comm,SCHQ_scaled_comm,VGLT_scaled_comm,SPTL_scaled_price_minus_comm,SCHQ_scaled_price_minus_comm,VGLT_scaled_price_minus_comm,SPTL_scaled_price_plus_comm,SCHQ_scaled_price_plus_comm,VGLT_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,SPTL_shs_per_unit,SCHQ_shs_per_unit,VGLT_shs_per_unit,SPTL_current_shs,SCHQ_current_shs,VGLT_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,SPTL_tgt_shs,SCHQ_tgt_shs,VGLT_tgt_shs,SPTL_tgt_inv_amt,SCHQ_tgt_inv_amt,VGLT_tgt_inv_amt,gross_inv_amt,net_inv_amt,SPTL_shs_to_trade,SCHQ_shs_to_trade,VGLT_shs_to_trade,SPTL_shs_to_buy,SCHQ_shs_to_buy,VGLT_shs_to_buy,SPTL_shs_to_sell,SCHQ_shs_to_sell,VGLT_shs_to_sell,SPTL_daily_comm,SCHQ_daily_comm,VGLT_daily_comm,daily_comm,SPTL_daily_profit,SCHQ_daily_profit,VGLT_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
27.31,32.68,57.54,0.10999999999999943,0.13000000000000256,0.21999999999999886,2.1069205419260344,1.7607099143206855,1.0,2.107079298321691,1.7612466691664586,1.0,2.107140204156814,1.7611828715636317,1.0,57.545998975522586,57.555456242699485,57.54,0.01053570102078407,0.008805914357818159,0.005,57.5354632745018,57.54665032834167,57.535,57.55653467654337,57.5642621570573,57.545,57.545,57.54665032834167,0.001650328341668228,2.8681410178453735e-05,VGLT,SCHQ,2026-02-26,False,3662.0,3061.0,1738.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.28999999998929
27.46,32.84,57.84,0.15000000000000213,0.1600000000000037,0.30000000000000426,2.1063364894391845,1.761266747868453,1.0,2.1069912263718047,1.761306861905793,1.0,2.107079298321691,1.7612466691664586,1.0,57.86039753191364,57.83934061542651,57.84,0.010535396491608456,0.008806233345832293,0.005,57.84986213542203,57.83053438208068,57.835,57.87093292840525,57.84814684877234,57.845000000000006,57.845000000000006,57.84986213542203,0.004862135422023073,8.406181573345562e-05,VGLT,SPTL,2026-02-27,False,3643.0,3045.0,1729.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.28999999998929
27.12,32.44,57.14,-0.33999999999999986,-0.4000000000000057,-0.7000000000000028,2.1069321533923304,1.7614056720098645,1.0,2.1069482727706195,1.761391670293151,1.0,2.1069912263718047,1.761306861905793,1.0,57.14160205920334,57.13679460022392,57.14,0.010534956131859024,0.008806534309528965,0.005,57.13106710307149,57.127988065914394,57.135,57.1521370153352,57.14560113453345,57.145,57.145,57.135,-0.010000000000005116,-0.0001750087504376114,VGLT,VGLT,2026-03-02,True,3687.0,3082.0,1750.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-78.28999999998929
27.08,32.39,57.03,-0.0400000000000027,-0.04999999999999716,-0.10999999999999943,2.105982274741507,1.7607286199444272,1.0,2.1068419811022894,1.7613555822064026,1.0,2.1069482727706195,1.761391670293151,1.0,57.056159226628374,57.05147620079516,57.03,0.010534741363853097,0.008806958351465754,0.005,57.04562448526452,57.042669242443694,57.025,57.06669396799223,57.06028315914662,57.035000000000004,57.035000000000004,57.04562448526452,0.01062448526451476,0.00018629642757346588,VGLT,SPTL,2026-03-03,False,3693.0,3088.0,1753.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,True,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-78.28999999998929
26.99,32.28,56.87,-0.08999999999999986,-0.10999999999999943,-0.1600000000000037,2.107076695072249,1.7617719950433703,1.0,2.10685969735989,1.7613965629109525,1.0,2.1068419811022894,1.7613555822064026,1.0,56.863665069950784,56.85655819362268,56.87,0.010534209905511446,0.008806777911032014,0.005,56.853130860045276,56.84775141571165,56.864999999999995,56.87419927985629,56.865364971533715,56.875,56.865364971533715,56.864999999999995,-0.0003649715337203929,-6.417646100235501e-06,SCHQ,VGLT,2026-03-04,False,3704.0,3096.0,1758.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-78.28999999998929
26.87,32.15,56.63,-0.11999999999999744,-0.13000000000000256,-0.23999999999999488,2.107554893933755,1.7614307931570763,1.0,2.1069292228784953,1.7614152867877053,1.0,2.10685969735989,1.7613965629109525,1.0,56.611320068060245,56.62889949758712,56.63,0.010534298486799449,0.008806982814554762,0.005,56.60078576957345,56.620092514772566,56.625,56.62185436654704,56.637706480401675,56.635000000000005,56.62185436654704,56.625,0.0031456334529593732,5.5547120836294775e-05,SPTL,VGLT,2026-03-05,False,3721.0,3111.0,1766.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-78.28999999998929
26.79,32.05,56.45,-0.08000000000000185,-0.10000000000000142,-0.17999999999999972,2.1071295259425162,1.761310452418097,1.0,2.106914421376903,1.761378067523958,1.0,2.1069292228784953,1.7614152867877053,1.0,56.444633880914886,56.45335994154595,56.45,0.010534646114392476,0.008807076433938526,0.005,56.43409923480049,56.44455286511201,56.445,56.45516852702928,56.46216701797989,56.455000000000005,56.455000000000005,56.445,-0.010000000000005116,-0.0001771479185120481,VGLT,VGLT,2026-03-06,False,3731.0,3119.0,1771.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-78.28999999998929
26.99,32.28,56.86,0.1999999999999993,0.23000000000000398,0.4099999999999966,2.1067061874768434,1.761462205700124,1.0,2.1068993162820187,1.761360440568889,1.0,2.106914421376903,1.761378067523958,1.0,56.865620232962605,56.85728401967337,56.86,0.010534572106884514,0.008806890337619791,0.005,56.85508566085572,56.848477129335755,56.855,56.87615480506949,56.86609091001099,56.865,56.865,56.85508566085572,-0.00991433914428086,-0.00017436403700810517,VGLT,SPTL,2026-03-09,False,3706.0,3098.0,1759.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.28999999998929
26.74,32.0,56.35,-0.25,-0.28000000000000114,-0.509999999999998,2.107329842931937,1.7609375,1.0,2.106877714984757,1.7613405649391658,1.0,2.1068993162820187,1.761360440568889,1.0,56.33848771738118,56.36353409820445,56.35,0.010534496581410093,0.008806802202844445,0.005,56.32795322079977,56.354727296001606,56.345,56.349022213962584,56.37234090040729,56.355000000000004,56.349022213962584,56.354727296001606,0.005705082039021647,0.00010124369190810376,SPTL,SCHQ,2026-03-10,False,3740.0,3126.0,1775.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-78.28999999998929
26.45,31.62,55.7,-0.28999999999999915,-0.379999999999999,-0.6499999999999986,2.10586011342155,1.7615433270082226,1.0,2.1068388787468115,1.7613291750064466,1.0,2.106877714984757,1.7613405649391658,1.0,55.72691556134682,55.693588663376424,55.7,0.010534388574923786,0.008806702824695829,0.005,55.7163811727719,55.68478196055173,55.695,55.737449949921746,55.70239536620112,55.705000000000005,55.70239536620112,55.7163811727719,0.013985806570779857,0.00025109167990628107,SCHQ,SPTL,2026-03-11,False,3782.0,3162.0,1795.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-78.28999999998929
26.37,31.55,55.55,-0.0799999999999983,-0.07000000000000028,-0.15000000000000568,2.1065604854000757,1.7606973058637083,1.0,2.106827824710334,1.7613120515742953,1.0,2.1068388787468115,1.7613291750064466,1.0,55.55734123255342,55.56993547145339,55.55,0.010534194393734058,0.008806645875032233,0.005,55.546807038159685,55.56112882557836,55.544999999999995,55.567875426947154,55.578742117328424,55.555,55.555,55.56112882557836,0.0061288255783580325,0.00011032989339978457,VGLT,SCHQ,2026-03-12,False,3792.0,3170.0,1800.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-78.28999999998929
26.24,31.4,55.29,-0.13000000000000256,-0.15000000000000213,-0.259999999999998,2.1070884146341466,1.7608280254777071,1.0,2.1068508866860243,1.761300218555392,1.0,2.106827824710334,1.7613120515742953,1.0,55.283162120399155,55.30519841943287,55.29,0.010534139123551669,0.008806560257871477,0.005,55.272627981275605,55.296391859174996,55.285,55.293696259522704,55.31400497969074,55.295,55.293696259522704,55.296391859174996,0.0026955996522914916,4.875383708250121e-05,SPTL,SCHQ,2026-03-13,False,3811.0,3186.0,1809.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-78.28999999998929
