PFFD_price,PFF_price,PFFD_price_chg,PFF_price_chg,PFF/PFFD,PFF/PFF,PFF/PFFD_moving_avg,PFF/PFF_moving_avg,PFF/PFFD_prev_moving_avg,PFF/PFF_prev_moving_avg,PFFD_scaled_price,PFF_scaled_price,PFFD_scaled_comm,PFF_scaled_comm,PFFD_scaled_price_minus_comm,PFF_scaled_price_minus_comm,PFFD_scaled_price_plus_comm,PFF_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,PFFD_shs_per_unit,PFF_shs_per_unit,PFFD_current_shs,PFF_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,PFFD_tgt_shs,PFF_tgt_shs,PFFD_tgt_inv_amt,PFF_tgt_inv_amt,gross_inv_amt,net_inv_amt,PFFD_shs_to_trade,PFF_shs_to_trade,PFFD_shs_to_buy,PFF_shs_to_buy,PFFD_shs_to_sell,PFF_shs_to_sell,PFFD_daily_comm,PFF_daily_comm,daily_comm,PFFD_daily_profit,PFF_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
19.78,31.82,,,1.6086956521739129,1.0,,,,,,,,,,,,,,,,,,,2025-01-02,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,,,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,,,0.0,0.0,0.0
19.96,32.05,0.1799999999999997,0.2299999999999968,1.6057114228456912,1.0,,,,,,,,,,,,,,,,,,,2025-01-03,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.92,31.97,-0.0399999999999991,-0.0799999999999983,1.6049196787148592,1.0,,,,,,,,,,,,,,,,,,,2025-01-06,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
19.65,31.6,-0.2700000000000031,-0.3699999999999974,1.608142493638677,1.0,,,,,,,,,,,,,,,,,,,2025-01-07,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
19.56,31.49,-0.0899999999999998,-0.1100000000000029,1.609918200408998,1.0,,,,,,,,,,,,,,,,,,,2025-01-08,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
19.26,31.08,-0.2999999999999971,-0.4100000000000001,1.613707165109034,1.0,,,,,,,,,,,,,,,,,,,2025-01-10,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
19.17,30.93,-0.0899999999999998,-0.1499999999999985,1.6134585289514864,1.0,,,,,,,,,,,,,,,,,,,2025-01-13,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
19.32,31.13,0.1499999999999985,0.1999999999999993,1.6112836438923397,1.0,,,,,,,,,,,,,,,,,,,2025-01-14,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.74,31.71,0.4199999999999981,0.5800000000000018,1.6063829787234043,1.0,,,,,,,,,,,,,,,,,,,2025-01-15,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.72,31.68,-0.0199999999999995,-0.0300000000000011,1.6064908722109534,1.0,,,,,,,,,,,,,,,,,,,2025-01-16,False,,,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
