SPMB_price,VMBS_price,MBB_price,SPMB_price_chg,VMBS_price_chg,MBB_price_chg,MBB/SPMB,MBB/VMBS,MBB/MBB,MBB/SPMB_moving_avg,MBB/VMBS_moving_avg,MBB/MBB_moving_avg,MBB/SPMB_prev_moving_avg,MBB/VMBS_prev_moving_avg,MBB/MBB_prev_moving_avg,SPMB_scaled_price,VMBS_scaled_price,MBB_scaled_price,SPMB_scaled_comm,VMBS_scaled_comm,MBB_scaled_comm,SPMB_scaled_price_minus_comm,VMBS_scaled_price_minus_comm,MBB_scaled_price_minus_comm,SPMB_scaled_price_plus_comm,VMBS_scaled_price_plus_comm,MBB_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,SPMB_shs_per_unit,VMBS_shs_per_unit,MBB_shs_per_unit,SPMB_current_shs,VMBS_current_shs,MBB_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,SPMB_tgt_shs,VMBS_tgt_shs,MBB_tgt_shs,SPMB_tgt_inv_amt,VMBS_tgt_inv_amt,MBB_tgt_inv_amt,gross_inv_amt,net_inv_amt,SPMB_shs_to_trade,VMBS_shs_to_trade,MBB_shs_to_trade,SPMB_shs_to_buy,VMBS_shs_to_buy,MBB_shs_to_buy,SPMB_shs_to_sell,VMBS_shs_to_sell,MBB_shs_to_sell,SPMB_daily_comm,VMBS_daily_comm,MBB_daily_comm,daily_comm,SPMB_daily_profit,VMBS_daily_profit,MBB_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
21.59,45.46,91.92,0.0799999999999983,0.1499999999999985,0.3299999999999983,4.2575266327003245,2.021997360316762,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-21,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.55,45.36,91.77,-0.0399999999999991,-0.1000000000000014,-0.1500000000000056,4.258468677494199,2.023148148148148,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-22,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
21.48,45.26,91.53,-0.0700000000000002,-0.1000000000000014,-0.2399999999999948,4.261173184357542,2.0223155103844457,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-23,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
21.52,45.32,91.65,0.0399999999999991,0.0600000000000022,0.1200000000000045,4.258828996282528,2.022285966460724,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-24,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.66,45.58,92.17,0.1400000000000005,0.259999999999998,0.519999999999996,4.255309325946445,2.022158841597192,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-27,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.66,45.55,92.17,0.0,-0.0300000000000011,0.0,4.255309325946445,2.023490669593853,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-28,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
21.67,45.6,92.2,0.0100000000000015,0.0500000000000042,0.0300000000000011,4.254730041532072,2.021929824561404,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.69,45.64,92.33,0.0199999999999995,0.0399999999999991,0.1299999999999954,4.256800368833564,2.023006134969325,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-30,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.63,45.6,92.19,-0.0600000000000022,-0.0399999999999991,-0.1400000000000005,4.262135922330097,2.0217105263157893,1.0,4.257617641563767,2.022279603753293,1.0,,,,,,,,,,,,,,,,,,,,,,2025-01-31,False,,,,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
21.58,45.45,91.8,-0.0500000000000007,-0.1499999999999985,-0.3900000000000005,4.253938832252086,2.01980198019802,1.0,4.257686913724189,2.0221212928692016,1.0,4.257617641563767,2.022279603753293,1.0,91.8793887049461,91.91260799058716,91.8,0.0212880882078188,0.0101113980187664,0.005,91.85810061673828,91.9024965925684,91.795,91.90067679315392,91.92271938860593,91.805,91.805,91.9024965925684,0.0974965925684046,0.0010620543852767,MBB,VMBS,2025-02-03,True,4637.0,2202.0,1089.0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
21.61,45.49,91.97,0.0300000000000011,0.0399999999999991,0.1700000000000017,4.255900046274872,2.021763024840624,1.0,4.257539644157114,2.0221042274887746,1.0,4.257686913724189,2.0221212928692016,1.0,92.00861420557972,91.98629761262,91.97,0.0212884345686209,0.010110606464346,0.005,91.98732577101111,91.97618700615564,91.965,92.02990264014836,91.99640821908434,91.975,91.975,91.98732577101111,0.0123257710111204,0.0001340194738623,MBB,SPMB,2025-02-04,False,4628.0,2198.0,1087.0,0,0,0,,,0.0,0.0,0,False,True,True,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
