SPLB_price,IGLB_price,VCLT_price,SPLB_price_chg,IGLB_price_chg,VCLT_price_chg,VCLT/SPLB,VCLT/IGLB,VCLT/VCLT,VCLT/SPLB_moving_avg,VCLT/IGLB_moving_avg,VCLT/VCLT_moving_avg,VCLT/SPLB_prev_moving_avg,VCLT/IGLB_prev_moving_avg,VCLT/VCLT_prev_moving_avg,SPLB_scaled_price,IGLB_scaled_price,VCLT_scaled_price,SPLB_scaled_comm,IGLB_scaled_comm,VCLT_scaled_comm,SPLB_scaled_price_minus_comm,IGLB_scaled_price_minus_comm,VCLT_scaled_price_minus_comm,SPLB_scaled_price_plus_comm,IGLB_scaled_price_plus_comm,VCLT_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,SPLB_shs_per_unit,IGLB_shs_per_unit,VCLT_shs_per_unit,SPLB_current_shs,IGLB_current_shs,VCLT_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,SPLB_tgt_shs,IGLB_tgt_shs,VCLT_tgt_shs,SPLB_tgt_inv_amt,IGLB_tgt_inv_amt,VCLT_tgt_inv_amt,gross_inv_amt,net_inv_amt,SPLB_shs_to_trade,IGLB_shs_to_trade,VCLT_shs_to_trade,SPLB_shs_to_buy,IGLB_shs_to_buy,VCLT_shs_to_buy,SPLB_shs_to_sell,IGLB_shs_to_sell,VCLT_shs_to_sell,SPLB_daily_comm,IGLB_daily_comm,VCLT_daily_comm,daily_comm,SPLB_daily_profit,IGLB_daily_profit,VCLT_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
22.56,50.39,75.77,,,,3.358599290780142,1.503671363365747,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-02,False,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.65,50.59,76.07,0.08999999999999986,0.20000000000000284,0.29999999999999716,3.3584988962472404,1.5036568491796796,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-05,False,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.66,50.6,76.09,0.010000000000001563,0.00999999999999801,0.020000000000010232,3.357899382171227,1.5037549407114625,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-06,False,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.7,50.69,76.24,0.03999999999999915,0.0899999999999963,0.14999999999999147,3.358590308370044,1.504044190175577,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07,False,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.61,50.52,75.95,-0.08999999999999986,-0.1699999999999946,-0.28999999999999204,3.3591331269349847,1.5033650039588282,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-08,False,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.76,50.81,76.44,0.15000000000000213,0.28999999999999915,0.4899999999999949,3.3585237258347975,1.5044282621531193,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-09,False,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.7,50.72,76.32,-0.060000000000002274,-0.09000000000000341,-0.12000000000000455,3.362114537444934,1.5047318611987381,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-12,False,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.78,50.85,76.51,0.08000000000000185,0.13000000000000256,0.19000000000001194,3.358647936786655,1.504621435594887,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-13,False,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.88,51.09,76.86,0.09999999999999787,0.240000000000002,0.3499999999999943,3.3592657342657346,1.5044039929536113,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-14,False,,,,,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.86,51.04,76.79,-0.019999999999999574,-0.05000000000000426,-0.06999999999999318,3.3591426071741037,1.5045062695924767,1.0,3.3590415546009864,1.5041184168884127,1.0,,,,,,,,,,,,,,,,,,,,,,2026-01-15,False,,,,,,,,,,,,False,False,False,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
22.78,50.86,76.51,-0.0799999999999983,-0.17999999999999972,-0.28000000000000114,3.358647936786655,1.504325599685411,1.0,3.3590464192016376,1.5041838405203791,1.0,3.3590415546009864,1.5041184168884127,1.0,76.51896661381048,76.49946268294467,76.51,0.016795207773004934,0.007520592084442064,0.005,76.50217140603748,76.49194209086022,76.50500000000001,76.53576182158348,76.50698327502911,76.515,76.50698327502911,76.50500000000001,-0.0019832750291044476,-2.592177531178209e-05,IGLB,VCLT,2026-01-16,False,4390.0,1966.0,1307.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
22.54,50.34,75.72,-0.240000000000002,-0.519999999999996,-0.7900000000000063,3.3593611357586513,1.504171632896305,1.0,3.359132643152779,1.5042353188920417,1.0,3.3590464192016376,1.5041838405203791,1.0,75.7129062888049,75.72061453179589,75.72,0.016795232096008188,0.007520919202601895,0.005,75.6961110567089,75.71309361259328,75.715,75.7297015209009,75.7281354509985,75.725,75.725,75.715,-0.009999999999990905,-0.00013206550449010706,VCLT,VCLT,2026-01-20,False,4437.0,1987.0,1321.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
22.75,50.81,76.42,0.21000000000000085,0.46999999999999886,0.7000000000000028,3.359120879120879,1.5040346388506198,1.0,3.359254792847744,1.5042632887059573,1.0,3.359132643152779,1.5042353188920417,1.0,76.42026763172572,76.43019655290463,76.42,0.016795663215763895,0.0075211765944602086,0.005,76.40347196850996,76.42267537631017,76.415,76.43706329494148,76.4377177294991,76.425,76.425,76.42267537631017,-0.0023246236898302186,-3.0419048545278967e-05,VCLT,IGLB,2026-01-21,False,4397.0,1969.0,1309.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.84,50.96,76.68,0.08999999999999986,0.14999999999999858,0.2600000000000051,3.3572679509632226,1.5047095761381477,1.0,3.3591225571070615,1.5043298273022143,1.0,3.359254792847744,1.5042632887059573,1.0,76.72537946864247,76.65725719245559,76.68,0.01679627396423872,0.007521316443529787,0.005,76.70858319467824,76.64973587601206,76.67500000000001,76.7421757426067,76.66477850889912,76.685,76.66477850889912,76.70858319467824,0.04380468577912211,0.0005712661160553222,IGLB,SPLB,2026-01-22,False,4380.0,1962.0,1304.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.86,51.01,76.75,0.019999999999999574,0.04999999999999716,0.06999999999999318,3.357392825896763,1.5046069398157225,1.0,3.35894852700324,1.5044540208879038,1.0,3.3591225571070615,1.5043298273022143,1.0,76.78954165546743,76.73586449068596,76.75,0.01679561278553531,0.007521649136511072,0.005,76.7727460426819,76.72834284154945,76.745,76.80633726825296,76.74338613982246,76.755,76.74338613982246,76.7727460426819,0.029359902859440012,0.00038253945093732913,IGLB,SPLB,2026-01-23,False,4377.0,1960.0,1303.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.89,51.08,76.84,0.030000000000001137,0.07000000000000028,0.09000000000000341,3.3569244211446048,1.5043069694596711,1.0,3.3587885965342203,1.504441891618559,1.0,3.35894852700324,1.5044540208879038,1.0,76.88633178310417,76.84751138695412,76.84,0.0167947426350162,0.007522270104439519,0.005,76.86953704046915,76.83998911684968,76.83500000000001,76.90312652573918,76.85503365705857,76.845,76.845,76.86953704046915,0.024537040469155613,0.00031932639860952124,VCLT,SPLB,2026-01-26,False,4370.0,1957.0,1301.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.81,50.93,76.61,-0.08000000000000185,-0.14999999999999858,-0.23000000000000398,3.3586146427005703,1.504221480463381,1.0,3.358438607059784,1.5043908535450234,1.0,3.3587885965342203,1.504441891618559,1.0,76.61396788694556,76.62122554013321,76.61,0.016793942982671103,0.007522209458092795,0.005,76.59717394396289,76.61370333067512,76.605,76.63076182992823,76.6287477495913,76.615,76.615,76.61370333067512,-0.0012966693248728234,-1.6925588368004482e-05,VCLT,IGLB,2026-01-27,False,4383.0,1963.0,1305.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
22.77,50.84,76.46,-0.03999999999999915,-0.0899999999999963,-0.15000000000000568,3.3579270970575315,1.5039339103068448,1.0,3.358366523086872,1.504322101016219,1.0,3.358438607059784,1.5043908535450234,1.0,76.47164708275128,76.483230994229,76.46,0.01679219303529892,0.007521954267725117,0.005,76.45485488971597,76.47570903996127,76.455,76.48843927578658,76.49075294849673,76.46499999999999,76.46499999999999,76.47570903996127,0.010709039961284361,0.00014006068481930894,VCLT,IGLB,2026-01-28,False,4393.0,1968.0,1308.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
22.75,50.82,76.42,-0.019999999999999574,-0.020000000000003126,-0.03999999999999204,3.359120879120879,1.5037386855568673,1.0,3.3583520375723865,1.5042555702765448,1.0,3.358366523086872,1.504322101016219,1.0,76.40283840022633,76.44964917364426,76.42,0.01679183261543436,0.007521610505081096,0.005,76.38604656761089,76.44212756313918,76.415,76.41963023284177,76.45717078414934,76.425,76.41963023284177,76.44212756313918,0.022497330297412077,0.00029439060844559117,SPLB,IGLB,2026-01-29,False,4396.0,1969.0,1309.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
