,bop date,eop date,day count,bop BWX price,eop BWX price,bop IGOV price,eop IGOV price,eop IGOV / eop BWX,bop IGOV / BWX moving avg,eop IGOV / BWX moving avg,eop BWX unit price,eop IGOV / eop IGOV,bop IGOV / IGOV moving avg,eop IGOV / IGOV moving avg,eop IGOV unit price,BWX unit price pct diff,IGOV unit price pct diff,unit price pct diff,month end liquidation,go long,exit long,current_position,new_position,BWX shares per unit,bop BWX shares,eop BWX shares,eop BWX shares bought,eop BWX shares sold,eop BWX shares traded,IGOV shares per unit,bop IGOV shares,eop IGOV shares,eop IGOV shares bought,eop IGOV shares sold,eop IGOV shares traded,BWX daily commission,IGOV daily commission,daily total commissions,BWX cop,BWX pct cop,BWX daily position pnl,IGOV cop,IGOV pct cop,IGOV daily position pnl,daily position pnl,short BWX investment amount,long BWX investment amount,BWX investment amount,daily BWX borrow cost,short IGOV investment amount,long IGOV investment amount,IGOV investment amount,daily IGOV borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
0,2024-01-02,2024-01-03,1,,22.89,,40.87,1.7854958497160331,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-01-03,2024-01-04,1,22.89,22.72,40.87,40.53,1.7838908450704227,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.1700000000000017,-0.00745454011152479,,-0.3399999999999963,-0.008353856935968693,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-01-04,2024-01-05,1,22.72,22.74,40.53,40.39,1.776165347405453,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.019999999999999574,0.0008798944694392958,,-0.14000000000000057,-0.003460211064895731,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2024-01-05,2024-01-08,3,22.74,22.82,40.39,40.56,1.7773882559158634,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.08000000000000185,0.0035118561115396493,,0.1700000000000017,0.004200129707606221,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2024-01-08,2024-01-09,1,22.82,22.71,40.56,40.4,1.7789520035226771,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.10999999999999943,-0.004831988316462437,,-0.1600000000000037,-0.003952574315823469,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2024-01-09,2024-01-10,1,22.71,22.69,40.4,40.36,1.778757161745262,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.019999999999999574,-0.0008810573257167339,,-0.03999999999999915,-0.0009905894816961793,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2024-01-10,2024-01-11,1,22.69,22.77,40.36,40.55,1.7808519982433024,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.0799999999999983,0.003519581283897841,,0.18999999999999773,0.004696585076013626,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2024-01-11,2024-01-12,1,22.77,22.81,40.55,40.58,1.7790442788250767,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.03999999999999915,0.00175515622064828,,0.030000000000001137,0.000739553836246711,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-01-12,2024-01-16,4,22.81,22.46,40.58,39.98,1.7800534283170077,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.34999999999999787,-0.015463086985999483,,-0.6000000000000014,-0.01489600532541466,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024-01-16,2024-01-17,1,22.46,22.35,39.98,39.74,1.778076062639821,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.10999999999999943,-0.004909628250719203,,-0.23999999999999488,-0.006021091948583122,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2024-01-17,2024-01-18,1,22.35,22.34,39.74,39.7,1.7770814682184424,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.010000000000001563,-0.00044752741852321795,,-0.03999999999999915,-0.001007049430526058,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2024-01-18,2024-01-19,1,22.34,22.41,39.7,39.79,1.7755466309683177,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.07000000000000028,0.0031284941717810094,,0.0899999999999963,0.002264436745692412,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2024-01-19,2024-01-22,3,22.41,22.39,39.79,39.81,1.778025904421617,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.019999999999999574,-0.0008928572021721077,,0.020000000000003126,0.0005025125733886448,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2024-01-22,2024-01-23,1,22.39,22.32,39.81,39.64,1.7759856630824373,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.07000000000000028,-0.003131293097553286,,-0.1700000000000017,-0.004279427550438587,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2024-01-23,2024-01-24,1,22.32,22.37,39.64,39.73,1.7760393383996422,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.05000000000000071,0.002237637988928086,,0.0899999999999963,0.002267860364720269,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2024-01-24,2024-01-25,1,22.37,22.4,39.73,39.77,1.7754464285714289,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.029999999999997584,0.0013401833589557818,,0.04000000000000625,0.0010062893930919041,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2024-01-25,2024-01-26,1,22.4,22.38,39.77,39.8,1.7783735478105451,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.019999999999999574,-0.0008932559772149909,,0.02999999999999403,0.0007540530707925599,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2024-01-26,2024-01-29,3,22.38,22.45,39.8,39.98,1.7808463251670377,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.07000000000000028,0.003122911304484091,,0.17999999999999972,0.004512416781861993,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2024-01-29,2024-01-30,1,22.45,22.47,39.98,39.96,1.7783711615487319,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.019999999999999574,0.0008904720089745749,,-0.01999999999999602,-0.000500375291901089,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2024-01-30,2024-01-31,1,22.47,22.47,39.96,39.96,1.7783711615487319,,1.7786381430568927,,1.0,,1.0,,,,,True,False,False,0,0,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2024-01-31,2024-02-01,1,22.47,22.62,39.96,40.32,1.782493368700265,1.7786381430568927,1.778488019006104,40.232794795946916,1.0,1.0,1.0,40.32,-0.0021651697707538125,0.0,-0.0021651697707538125,False,True,False,0,1,4411.0,0.0,4411.0,4411.0,-0.0,4411.0,2480.0,0.0,-2480.0,0.0,2480.0,-2480.0,-22.055,-12.4,-34.455,0.15000000000000213,0.0066533844907366736,0.0,0.35999999999999943,0.008968669982760316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.455,-34.455,-34.455
21,2024-02-01,2024-02-02,1,22.62,22.34,40.32,39.85,1.7837958818263207,1.778488019006104,1.7784832708438987,39.73142234459637,1.0,1.0,1.0,39.85,-0.00298003578382131,0.0,-0.00298003578382131,False,True,False,1,1,4462.0,4411.0,4462.0,51.0,-0.0,51.0,2509.0,-2480.0,-2509.0,0.0,29.0,-29.0,-0.255,-0.145,-0.4,-0.28000000000000114,-0.012455677046919748,-1235.080000000005,-0.46999999999999886,-0.011725218526889144,1165.5999999999972,-69.48000000000775,0.0,99776.82,99776.82,0.0,-99993.6,0.0,-99993.6,-2.7776,-216.77999999999884,199770.42,-99993.6,-2.7776,-72.65760000000776,-107.11260000000776,-107.11260000000776
22,2024-02-02,2024-02-05,3,22.34,22.13,39.85,39.42,1.7812923633077273,1.7784832708438987,1.7787396216390126,39.35783478377547,1.0,1.0,1.0,39.42,-0.0015782416284687616,0.0,-0.0015782416284687616,False,True,False,1,1,4512.0,4462.0,4512.0,50.0,-0.0,50.0,2537.0,-2509.0,-2537.0,0.0,28.0,-28.0,-0.25,-0.14,-0.39,-0.21000000000000085,-0.00944463957809645,-937.0200000000038,-0.4299999999999997,-0.010849103511649865,1078.8699999999992,141.84999999999536,0.0,99681.08,99681.08,0.0,-99983.65000000001,0.0,-99983.65000000001,-8.331970833333333,-302.570000000007,199664.73,-99983.65000000001,-8.331970833333333,133.12802916666203,26.015429166654272,0.0
23,2024-02-05,2024-02-06,1,22.13,22.28,39.42,39.63,1.7787253141831239,1.7787396216390126,1.778806474552376,39.6303187701172,1.0,1.0,1.0,39.63,8.04362440485231e-06,0.0,8.04362440485231e-06,False,False,True,1,0,4488.0,4512.0,0.0,0.0,4512.0,-4512.0,2523.0,-2537.0,0.0,2537.0,-0.0,2537.0,-22.56,-12.685,-35.245,0.15000000000000213,0.006755260996125129,676.8000000000096,0.21000000000000085,0.005313105477769469,-532.7700000000021,144.03000000000748,0.0,99850.56,99850.56,0.0,-100008.54000000001,0.0,-100008.54000000001,-2.7780150000000003,-157.98000000001048,199859.1,-100008.54000000001,-2.7780150000000003,106.00698500000748,132.02241416666175,0.0
24,2024-02-06,2024-02-07,1,22.28,22.24,39.63,39.57,1.779226618705036,1.778806474552376,1.778820205311494,39.560655994044836,1.0,1.0,1.0,39.57,-0.00023616652436948937,0.0,-0.00023616652436948937,False,True,False,0,1,4495.0,0.0,4495.0,4495.0,-0.0,4495.0,2527.0,0.0,-2527.0,0.0,2527.0,-2527.0,-22.475,-12.635,-35.11,-0.0400000000000027,-0.0017969456767017416,-0.0,-0.060000000000002274,-0.0015151518050107637,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.11,96.91241416666175,-35.11
25,2024-02-07,2024-02-08,1,22.24,22.11,39.57,39.43,1.783355947535052,1.778820205311494,1.7790501446009834,39.32971473943714,1.0,1.0,1.0,39.43,-0.002546614473973411,0.0,-0.002546614473973411,False,True,False,1,1,4511.0,4495.0,4511.0,16.0,-0.0,16.0,2536.0,-2527.0,-2536.0,0.0,9.0,-9.0,-0.08,-0.045,-0.125,-0.129999999999999,-0.005862474513026608,-584.3499999999955,-0.14000000000000057,-0.0035443075077970917,353.78000000000145,-230.56999999999402,0.0,99968.79999999999,99968.79999999999,0.0,-99993.39,0.0,-99993.39,-2.777594166666667,-24.59000000001106,199962.19,-99993.39,-2.777594166666667,-233.47259416666068,-136.56017999999892,-268.58259416666067
26,2024-02-08,2024-02-09,1,22.11,22.18,39.43,39.48,1.779981965734896,1.7790501446009834,1.7790066429755629,39.459332207249815,1.0,1.0,1.0,39.48,-0.0005236373970879528,0.0,-0.0005236373970879528,False,True,False,1,1,4506.0,4511.0,4506.0,0.0,5.0,-5.0,2533.0,-2536.0,-2533.0,3.0,-0.0,3.0,-0.025,-0.015,-0.04,0.07000000000000028,0.0031609870528661456,315.7700000000013,0.04999999999999716,0.0012672666757450363,-126.79999999999279,188.9700000000085,0.0,99738.20999999999,99738.20999999999,0.0,-99994.48,0.0,-99994.48,-2.7776244444444442,-256.2700000000041,199732.69,-99994.48,-2.7776244444444442,186.15237555556405,49.59219555556513,-82.43021861109662
27,2024-02-09,2024-02-12,3,22.18,22.18,39.48,39.5,1.7808836789900813,1.7790066429755629,1.779098612983813,39.458367341197985,1.0,1.0,1.0,39.5,-0.0010545472015729648,0.0,-0.0010545472015729648,False,True,False,1,1,4504.0,4506.0,4504.0,0.0,2.0,-2.0,2532.0,-2533.0,-2532.0,1.0,-0.0,1.0,-0.01,-0.005,-0.015,0.0,0.0,0.0,0.020000000000003126,0.0005064573417954385,-50.66000000000792,-50.66000000000792,0.0,99943.08,99943.08,0.0,-100002.84,0.0,-100002.84,-8.33357,-59.75999999999476,199945.91999999998,-100002.84,-8.33357,-59.00857000000792,-9.416374444442795,-141.43878861110454
28,2024-02-12,2024-02-13,1,22.18,21.9,39.5,38.98,1.7799086757990867,1.779098612983813,1.7790913753579172,38.962259624345506,1.0,1.0,1.0,38.98,-0.00045521841543584915,0.0,-0.00045521841543584915,False,True,False,1,1,4563.0,4504.0,4563.0,59.0,-0.0,59.0,2565.0,-2532.0,-2565.0,0.0,33.0,-33.0,-0.295,-0.165,-0.45999999999999996,-0.28000000000000114,-0.012704345099765849,-1261.1200000000051,-0.5200000000000031,-0.013251977827661458,1316.6400000000078,55.52000000000271,0.0,99898.72,99898.72,0.0,-100014.0,0.0,-100014.0,-2.7781666666666665,-115.27999999999884,199912.72,-100014.0,-2.7781666666666665,52.281833333336046,42.86545888889325,-89.1569552777685
29,2024-02-13,2024-02-14,1,21.9,22.03,38.98,39.35,1.7862006354970494,1.7790913753579172,1.7794976040007786,39.19338299913492,1.0,1.0,1.0,39.35,-0.003988043357971447,0.0,-0.003988043357971447,False,True,False,1,1,4521.0,4563.0,4521.0,0.0,42.0,-42.0,2541.0,-2565.0,-2541.0,24.0,-0.0,24.0,-0.21,-0.12,-0.32999999999999996,0.13000000000000256,0.005918523991796834,593.1900000000117,0.37000000000000455,0.009447280783997621,-949.0500000000117,-355.86,0.0,99929.7,99929.7,0.0,-99983.7,0.0,-99983.7,-2.777325,-54.0,199913.4,-99983.7,-2.777325,-358.967325,-316.10186611110674,-448.1242802777685
30,2024-02-14,2024-02-15,1,22.03,22.15,39.35,39.5,1.7832957110609482,1.7794976040007786,1.7798083161429037,39.41587192861724,1.0,1.0,1.0,39.5,-0.002132095893921017,0.0,-0.002132095893921017,False,True,False,1,1,4506.0,4521.0,4506.0,0.0,15.0,-15.0,2532.0,-2541.0,-2532.0,9.0,-0.0,9.0,-0.075,-0.045,-0.12,0.11999999999999744,0.005432335676892667,542.5199999999884,0.14999999999999858,0.0038046970436638452,-381.1499999999964,161.369999999992,0.0,99597.63,99597.63,0.0,-99988.35,0.0,-99988.35,-2.777454166666667,-390.72000000000116,199585.98,-99988.35,-2.777454166666667,158.4725458333253,-157.62932027778143,-289.65173444444315
31,2024-02-15,2024-02-16,1,22.15,22.08,39.5,39.44,1.786231884057971,1.7798083161429037,1.7803425787973866,39.29816762043531,1.0,1.0,1.0,39.44,-0.003602637380434511,0.0,-0.003602637380434511,False,True,False,1,1,4512.0,4506.0,4512.0,6.0,-0.0,6.0,2535.0,-2532.0,-2535.0,0.0,3.0,-3.0,-0.03,-0.015,-0.045,-0.07000000000000028,-0.003165275082250103,-315.42000000000127,-0.060000000000002274,-0.0015201421726416143,151.92000000000576,-163.4999999999955,0.0,99807.9,99807.9,0.0,-100014.0,0.0,-100014.0,-2.7781666666666665,-206.10000000000582,199821.9,-100014.0,-2.7781666666666665,-166.32316666666216,-323.9524869444436,-455.97490111110534
32,2024-02-16,2024-02-20,4,22.08,22.2,39.44,39.52,1.7801801801801804,1.7803425787973866,1.7804502925853147,39.52360524930198,1.0,1.0,1.0,39.52,9.122178304252513e-05,0.0,9.122178304252513e-05,False,False,True,1,0,4504.0,4512.0,0.0,0.0,4512.0,-4512.0,2530.0,-2535.0,0.0,2535.0,-0.0,2535.0,-22.56,-12.675,-35.235,0.120000000000001,0.0054200674693393345,541.4400000000045,0.0800000000000054,0.0020263431452324674,-202.80000000001368,338.6399999999908,0.0,99624.95999999999,99624.95999999999,0.0,-99980.4,0.0,-99980.4,-11.108933333333333,-355.4400000000023,199605.36,-99980.4,-11.108933333333333,292.29606666665745,-31.65642027778614,-163.6788344444479
33,2024-02-20,2024-02-21,1,22.2,22.16,39.52,39.46,1.7806859205776173,1.7804502925853147,1.7806853054600738,39.454778483690575,1.0,1.0,1.0,39.46,-0.00013233304122185432,0.0,-0.00013233304122185432,False,True,False,0,1,4512.0,0.0,4512.0,4512.0,-0.0,4512.0,2534.0,0.0,-2534.0,0.0,2534.0,-2534.0,-22.56,-12.67,-35.23,-0.03999999999999915,-0.0018034269991506827,-0.0,-0.060000000000002274,-0.0015193722851978898,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.23,-66.88642027778613,-198.90883444444788
34,2024-02-21,2024-02-22,1,22.16,22.17,39.46,39.62,1.787099684258006,1.7806853054600738,1.781238322752992,39.47779322204984,1.0,1.0,1.0,39.62,-0.0035957243653974473,0.0,-0.0035957243653974473,False,True,False,1,1,4494.0,4512.0,4494.0,0.0,18.0,-18.0,2524.0,-2534.0,-2524.0,10.0,-0.0,10.0,-0.09,-0.05,-0.14,0.010000000000001563,0.0004511617491370439,45.12000000000705,0.1599999999999966,0.004046540675935427,-405.43999999999136,-360.3199999999843,0.0,99985.92,99985.92,0.0,-99991.64,0.0,-99991.64,-2.7775455555555557,-5.720000000001164,199977.56,-99991.64,-2.7775455555555557,-363.23754555553984,-430.123965833326,-562.1463799999877
35,2024-02-22,2024-02-23,1,22.17,22.24,39.62,39.69,1.7846223021582734,1.781238322752992,1.7816971164323339,39.61474029802654,1.0,1.0,1.0,39.69,-0.0018979880467001886,0.0,-0.0018979880467001886,False,True,False,1,1,4489.0,4494.0,4489.0,0.0,5.0,-5.0,2520.0,-2524.0,-2520.0,4.0,-0.0,4.0,-0.025,-0.02,-0.045,0.06999999999999673,0.0031524457541612975,314.5799999999853,0.07000000000000028,0.0017652255245691492,-176.68000000000072,137.8999999999846,0.0,99631.98000000001,99631.98000000001,0.0,-100000.87999999999,0.0,-100000.87999999999,-2.7778022222222223,-368.8999999999796,199632.86,-100000.87999999999,-2.7778022222222223,135.0771977777624,-295.0467680555636,-427.0691822222253
36,2024-02-23,2024-02-26,3,22.24,22.18,39.69,39.6,1.7853922452660056,1.7816971164323339,1.7820480513051074,39.51804204246916,1.0,1.0,1.0,39.6,-0.0020717900678739673,0.0,-0.0020717900678739673,False,True,False,1,1,4499.0,4489.0,4499.0,10.0,-0.0,10.0,2525.0,-2520.0,-2525.0,0.0,5.0,-5.0,-0.05,-0.025,-0.07500000000000001,-0.05999999999999872,-0.002701487460160634,-269.33999999999423,-0.0899999999999963,-0.0022701485345390745,226.7999999999907,-42.540000000003545,0.0,99835.35999999999,99835.35999999999,0.0,-100018.79999999999,0.0,-100018.79999999999,-8.334899999999998,-183.44000000000233,199854.15999999997,-100018.79999999999,-8.334899999999998,-50.949900000003545,-345.9966680555671,-478.01908222222886
37,2024-02-26,2024-02-27,1,22.18,22.2,39.6,39.57,1.7824324324324325,1.7820480513051074,1.7821273566683768,39.56146673897338,1.0,1.0,1.0,39.57,-0.00021567301634493186,0.0,-0.00021567301634493186,False,True,False,1,1,4503.0,4499.0,4503.0,4.0,-0.0,4.0,2527.0,-2525.0,-2527.0,0.0,2.0,-2.0,-0.02,-0.01,-0.03,0.019999999999999574,0.0009013069560126666,89.97999999999809,-0.030000000000001137,-0.0007578628631019169,75.75000000000287,165.73000000000096,0.0,99787.81999999999,99787.81999999999,0.0,-99990.0,0.0,-99990.0,-2.7775,-202.18000000000757,199777.82,-99990.0,-2.7775,162.92250000000095,-183.07416805556616,-315.0965822222279
38,2024-02-27,2024-02-28,1,22.2,22.21,39.57,39.53,1.779828905898244,1.7821273566683768,1.7822002438858526,39.58104859160465,1.0,1.0,1.0,39.53,0.0012905554811550929,0.0,0.0012905554811550929,False,False,True,1,0,4509.0,4503.0,0.0,0.0,4503.0,-4503.0,2530.0,-2527.0,0.0,2527.0,-0.0,2527.0,-22.515,-12.635,-35.15,0.010000000000001563,0.0004503490281024199,45.030000000007036,-0.03999999999999915,-0.0010113780887387421,101.07999999999785,146.1100000000049,0.0,99966.59999999999,99966.59999999999,0.0,-99993.39,0.0,-99993.39,-2.777594166666667,-26.79000000000815,199959.99,-99993.39,-2.777594166666667,108.18240583333824,-74.89176222222792,-206.91417638888967
