DATE,SPHY_price,SCYB_price,HYLB_price,USHY_price,HYG_price,JNK_price,SPHY_price_chg,SCYB_price_chg,HYLB_price_chg,USHY_price_chg,HYG_price_chg,JNK_price_chg,JNK/SPHY,JNK/SCYB,JNK/HYLB,JNK/USHY,JNK/HYG,JNK/JNK,JNK/SPHY_moving_avg,JNK/SCYB_moving_avg,JNK/HYLB_moving_avg,JNK/USHY_moving_avg,JNK/HYG_moving_avg,JNK/JNK_moving_avg,JNK/SPHY_prev_moving_avg,JNK/SCYB_prev_moving_avg,JNK/HYLB_prev_moving_avg,JNK/USHY_prev_moving_avg,JNK/HYG_prev_moving_avg,JNK/JNK_prev_moving_avg,SPHY_scaled_price,SCYB_scaled_price,HYLB_scaled_price,USHY_scaled_price,HYG_scaled_price,JNK_scaled_price,ln(SPHY*/JNK),ln(SCYB*/JNK),ln(HYLB*/JNK),ln(USHY*/JNK),ln(HYG*/JNK),ln(JNK*/JNK)
2025-07-01,23.62,26.38,36.72,37.28,80.17,96.66,-0.17999999999999972,-0.16000000000000014,-0.20000000000000284,-0.22999999999999687,-0.480000000000004,-0.6099999999999994,4.09229466553768,3.664139499620925,2.6323529411764706,2.592811158798283,1.2056879131844829,1.0,4.086249223212532,3.6642527423332725,2.633332731613113,2.5918863574975974,1.206015650572205,1.0,4.0858529053532076,3.6643791006855593,2.6332236339199815,2.5917542188949994,1.2059547962112886,1.0,96.50784562444277,96.66632067608505,96.69197183754171,96.62059728040558,96.68139601225901,96.66,-0.0015753595691135429,6.538867615347435e-05,0.00033071126742861227,-0.00040772556267622224,0.00022132882856610938,0.0
2025-07-02,23.67,26.41,36.77,37.33,80.32,96.85,0.05000000000000071,0.030000000000001137,0.05000000000000426,0.04999999999999716,0.14999999999999147,0.18999999999999773,4.091677228559357,3.6671715259371447,2.6339407125373944,2.594428073935173,1.2058017928286853,1.0,4.086580947888363,3.6644887132661452,2.6334356042443883,2.59201177420954,1.2060574104518846,1.0,4.086249223212532,3.6642527423332725,2.633332731613113,2.5918863574975974,1.206015650572205,1.0,96.72151911344064,96.77291492502172,96.82764454141417,96.7551177253853,96.86717705395951,96.85,-0.001327477368728372,-0.0007962392166315616,-0.00023085223633354825,-0.000980162955666771,0.00017734156842218873,0.0
2025-07-03,23.69,26.43,36.78,37.37,80.37,96.91,0.019999999999999574,0.019999999999999574,0.00999999999999801,0.03999999999999915,0.05000000000001137,0.060000000000002274,4.0907555930772475,3.6666666666666665,2.6348558999456224,2.5932566229595935,1.2057981834017668,1.0,4.086833013256511,3.6645588484357448,2.633535090640405,2.592096569111915,1.206074294961681,1.0,4.086580947888363,3.6644887132661452,2.6334356042443883,2.59201177420954,1.2060574104518846,1.0,96.81110265547532,96.85243669162422,96.85776152410861,96.8634800022105,96.93083407801798,96.91,-0.0010210281870245965,-0.0005941637713903457,-0.0005391864647253292,-0.00048014825024254545,0.00021496067324825368,0.0
2025-07-07,23.62,26.38,36.66,37.25,80.1,96.56,-0.07000000000000028,-0.05000000000000071,-0.12000000000000455,-0.11999999999999744,-0.27000000000001023,-0.3499999999999943,4.088060965283658,3.6603487490523126,2.6339334424440812,2.592214765100671,1.2054931335830212,1.0,4.086941189725822,3.664274905520262,2.6336462962060443,2.592084205414671,1.206072820005477,1.0,4.086833013256511,3.6645588484357448,2.633535090640405,2.592096569111915,1.206074294961681,1.0,96.53099577311879,96.67106242173494,96.54539642287725,96.55559719941884,96.60655102643064,96.56,-0.00030042029648484246,0.001149529817545982,-0.00015124980887236842,-4.5597565870066276e-05,0.0004819781383932944,0.0
2025-07-08,23.57,26.29,36.61,37.2,79.99,96.41,-0.05000000000000071,-0.08999999999999986,-0.04999999999999716,-0.04999999999999716,-0.10999999999999943,-0.15000000000000568,4.090369113279593,3.6671738303537467,2.6334334881180004,2.5916666666666663,1.2052756594574323,1.0,4.087056054111478,3.6643833095714866,2.6336462548311674,2.5920660207214388,1.2060465651473273,1.0,4.086941189725822,3.664274905520262,2.6336462962060443,2.592084205414671,1.206072820005477,1.0,96.32920384183763,96.33378726612769,96.41779090410328,96.42553244142576,96.4737648722381,96.41,-0.0008383988444965624,-0.000790819137936743,8.080685954023305e-05,0.0001610952220547404,0.000661174097293863,0.0
2025-07-09,23.64,26.37,36.71,37.3,80.21,96.66,0.07000000000000028,0.08000000000000185,0.10000000000000142,0.09999999999999432,0.21999999999999886,0.25,4.088832487309644,3.6655290102389078,2.63307000817216,2.59142091152815,1.205086647550181,1.0,4.087229646039914,3.6643583430018545,2.63359914984627,2.5919703093214173,1.2059782355636568,1.0,4.087056054111478,3.6643833095714866,2.6336462548311674,2.5920660207214388,1.2060465651473273,1.0,96.61800511919536,96.6297878734001,96.68115401485215,96.68406257290965,96.73699499046712,96.66,-0.00043455416915744735,-0.00031260965391221495,0.00021882578537771045,0.0002489093558258379,0.0007962377547674591,0.0
2025-07-10,23.64,26.35,36.68,37.27,80.13,96.61,0.0,-0.019999999999999574,-0.030000000000001137,-0.02999999999999403,-0.0799999999999983,-0.04999999999999716,4.0867174280879865,3.666413662239089,2.6338604143947655,2.5921652803863693,1.205665793086235,1.0,4.087198240068941,3.6644666502543743,2.63355638369427,2.5919434382056004,1.205950950592041,1.0,4.087229646039914,3.6643583430018545,2.63359914984627,2.5919703093214173,1.2059782355636568,1.0,96.62210883238356,96.55584233809887,96.60041681636118,96.60273342840922,96.63503601571581,96.61,0.0001253294027848933,-0.0005607374747485947,-9.919945109157869e-05,-7.52183509364399e-05,0.0002591116064047305,0.0
2025-07-11,23.59,26.31,36.62,37.22,80.03,96.44,-0.05000000000000071,-0.0400000000000027,-0.060000000000002274,-0.05000000000000426,-0.09999999999999432,-0.1700000000000017,4.088172954641797,3.6655264158114784,2.633533588203168,2.5910800644814618,1.20504810695989,1.0,4.087346129386032,3.6645561158672635,2.6335297664011312,2.5918948461336475,1.2059090533365895,1.0,4.087198240068941,3.6644666502543743,2.63355638369427,2.5919434382056004,1.205950950592041,1.0,96.4170064832263,96.41211756819258,96.44083477088417,96.47213477001245,96.51225457588104,96.44,-0.00023845145480512722,-0.0002891586813074882,8.655819902042446e-06,0.0003331544731282053,0.0007489373930065657,0.0
2025-07-14,23.61,26.34,36.65,37.24,80.09,96.53,0.019999999999999574,0.030000000000001137,0.030000000000001137,0.020000000000003126,0.060000000000002274,0.09000000000000341,4.08852181279119,3.664768413059985,2.6338335607094137,2.5921052631578947,1.2052690722936696,1.0,4.087429946717801,3.664448470821257,2.633498063536492,2.5919104764621688,1.2058709994135843,1.0,4.087346129386032,3.6645561158672635,2.6335297664011312,2.5918948461336475,1.2059090533365895,1.0,96.5022421148042,96.52440809194373,96.51886593860145,96.52216407001704,96.58125608172746,96.53,-0.0002875984351942177,-5.793090262075221e-05,-0.000115349669181015,-8.117940583579478e-05,0.0005308451094058116,0.0
2025-07-15,23.54,26.27,36.55,37.14,79.85,96.22,-0.07000000000000028,-0.07000000000000028,-0.10000000000000142,-0.10000000000000142,-0.2400000000000091,-0.3100000000000023,4.0875106202209,3.662733155690902,2.632558139534884,2.5907377490576198,1.205009392611146,1.0,4.08758012561617,3.66432201102633,2.633452883006357,2.591912983839251,1.205826610173174,1.0,4.087429946717801,3.664448470821257,2.633498063536492,2.5919104764621688,1.2058709994135843,1.0,96.21810094573704,96.26506132847442,96.25435422225877,96.26355509580495,96.2887993031747,96.22,-1.9736780332946198e-05,0.000468205989457997,0.0003569745461664266,0.0004525591448748645,0.00071476531309539,0.0
