BNDX_price,IAGG_price,BNDX_price_chg,IAGG_price_chg,IAGG/BNDX,IAGG/IAGG,IAGG/BNDX_moving_avg,IAGG/IAGG_moving_avg,IAGG/BNDX_prev_moving_avg,IAGG/IAGG_prev_moving_avg,BNDX_scaled_price,IAGG_scaled_price,BNDX_scaled_comm,IAGG_scaled_comm,BNDX_scaled_price_minus_comm,IAGG_scaled_price_minus_comm,BNDX_scaled_price_plus_comm,IAGG_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date
49.09,49.96,,,1.0177225504176002,1.0,,,,,,,,,,,,,,,,,,,2025-01-02,False
48.96,49.97,-0.13000000000000256,0.00999999999999801,1.0206290849673203,1.0,,,,,,,,,,,,,,,,,,,2025-01-03,False
48.96,49.96,0.0,-0.00999999999999801,1.0204248366013071,1.0,,,,,,,,,,,,,,,,,,,2025-01-06,False
48.83,49.82,-0.13000000000000256,-0.14000000000000057,1.020274421462216,1.0,,,,,,,,,,,,,,,,,,,2025-01-07,False
48.74,49.75,-0.0899999999999963,-0.07000000000000028,1.0207221994255231,1.0,,,,,,,,,,,,,,,,,,,2025-01-08,False
48.53,49.54,-0.21000000000000085,-0.21000000000000085,1.0208118689470431,1.0,,,,,,,,,,,,,,,,,,,2025-01-10,False
48.51,49.51,-0.020000000000003126,-0.030000000000001137,1.020614306328592,1.0,,,,,,,,,,,,,,,,,,,2025-01-13,False
48.42,49.42,-0.0899999999999963,-0.0899999999999963,1.020652622883106,1.0,,,,,,,,,,,,,,,,,,,2025-01-14,False
48.72,49.69,0.29999999999999716,0.269999999999996,1.0199096880131362,1.0,,,,,,,,,,,,,,,,,,,2025-01-15,False
48.79,49.77,0.07000000000000028,0.0800000000000054,1.0200860832137735,1.0,,,,,,,,,,,,,,,,,,,2025-01-16,False
48.9,49.87,0.10999999999999943,0.09999999999999432,1.0198364008179959,1.0,,,,,,,,,,,,,,,,,,,2025-01-17,False
48.97,50.02,0.07000000000000028,0.15000000000000568,1.0214416989993875,1.0,,,,,,,,,,,,,,,,,,,2025-01-21,False
48.93,49.95,-0.03999999999999915,-0.07000000000000028,1.0208461066830166,1.0,,,,,,,,,,,,,,,,,,,2025-01-22,False
48.91,49.88,-0.020000000000003126,-0.07000000000000028,1.0198323451236968,1.0,,,,,,,,,,,,,,,,,,,2025-01-23,False
48.88,49.94,-0.02999999999999403,0.05999999999999517,1.021685761047463,1.0,,,,,,,,,,,,,,,,,,,2025-01-24,False
48.99,49.99,0.10999999999999943,0.05000000000000426,1.0204123290467442,1.0,,,,,,,,,,,,,,,,,,,2025-01-27,False
48.99,49.97,0.0,-0.020000000000003126,1.0200040824658092,1.0,,,,,,,,,,,,,,,,,,,2025-01-28,False
48.98,49.97,-0.010000000000005116,0.0,1.0202123315639038,1.0,,,,,,,,,,,,,,,,,,,2025-01-29,False
49.12,50.1,0.14000000000000057,0.13000000000000256,1.0199511400651466,1.0,,,,,,,,,,,,,,,,,,,2025-01-30,False
49.17,50.14,0.05000000000000426,0.03999999999999915,1.019727476103315,1.0,1.0202898667088047,1.0,,,,,,,,,,,,,,,,,2025-01-31,False
49.22,50.3,0.04999999999999716,0.1599999999999966,1.0219422998780983,1.0,1.02050085418183,1.0,1.0202898667088047,1.0,50.21866723940737,50.3,0.005101449333544024,0.005,50.21356579007382,50.294999999999995,50.22376868874091,50.305,50.22376868874091,50.294999999999995,0.07123131125908344,0.0014161294484907245,BNDX,IAGG,2025-02-03,True
49.29,50.34,0.07000000000000028,0.04000000000000625,1.0213024954351797,1.0,1.0205345247052227,1.0,1.02050085418183,1.0,50.3004871026224,50.34,0.005102504270909149,0.005,50.29538459835149,50.335,50.30558960689331,50.345000000000006,50.30558960689331,50.335,0.029410393106694244,0.0005842350637007199,BNDX,IAGG,2025-02-04,False
49.38,50.41,0.09000000000000341,0.06999999999999318,1.0208586472255974,1.0,1.0205562152364371,1.0,1.0205345247052227,1.0,50.3939948299439,50.41,0.0051026726235261135,0.005,50.38889215732037,50.404999999999994,50.39909750256743,50.415,50.39909750256743,50.404999999999994,0.005902497432565212,0.00011708981219133531,BNDX,IAGG,2025-02-05,False
49.38,50.4,0.0,-0.00999999999999801,1.0206561360874846,1.0,1.0205753009677008,1.0,1.0205562152364371,1.0,50.395065908375265,50.4,0.005102781076182185,0.005,50.38996312729908,50.394999999999996,50.40016868945145,50.405,50.40016868945145,50.394999999999996,-0.005168689451451769,-0.00010255336213197955,BNDX,IAGG,2025-02-06,False
49.31,50.34,-0.07000000000000028,-0.05999999999999517,1.020888257959846,1.0,1.0205836038944167,1.0,1.0205753009677008,1.0,50.32456809071733,50.34,0.005102876504838504,0.005,50.31946521421249,50.335,50.329670967222164,50.345000000000006,50.329670967222164,50.335,0.005329032777837028,0.00010586080210244395,BNDX,IAGG,2025-02-07,False
49.37,50.36,0.05999999999999517,0.01999999999999602,1.0200526635608669,1.0,1.020545643625108,1.0,1.0205836038944167,1.0,50.38621252426735,50.36,0.005102918019472083,0.005,50.381109606247875,50.355,50.391315442286825,50.365,50.365,50.381109606247875,0.016109606247873387,0.0003198889246996304,IAGG,BNDX,2025-02-10,False
49.2,50.25,-0.1699999999999946,-0.10999999999999943,1.021341463414634,1.0,1.02058200147941,1.0,1.020545643625108,1.0,50.21084566635531,50.25,0.005102728218125539,0.005,50.205742938137185,50.245,50.21594839457344,50.255,50.21594839457344,50.245,0.02905160542655949,0.000578141401523572,BNDX,IAGG,2025-02-11,False
49.07,50.14,-0.13000000000000256,-0.10999999999999943,1.0218055838597921,1.0,1.0206396495282444,1.0,1.02058200147941,1.0,50.07995881259465,50.14,0.00510291000739705,0.005,50.07485590258725,50.135,50.08506172260204,50.145,50.08506172260204,50.135,0.0499382773979562,0.0009959768128830514,BNDX,IAGG,2025-02-12,False
49.28,50.35,0.21000000000000085,0.21000000000000085,1.0217126623376624,1.0,1.0207297982444707,1.0,1.0206396495282444,1.0,50.297121928751885,50.35,0.005103198247641222,0.005,50.292018730504246,50.345,50.302225126999524,50.355000000000004,50.302225126999524,50.345,0.04277487300047511,0.0008495506057691184,BNDX,IAGG,2025-02-13,False
49.18,50.25,-0.10000000000000142,-0.10000000000000142,1.021756811712078,1.0,1.020813334669386,1.0,1.0207297982444707,1.0,50.199491477663074,50.25,0.005103648991222354,0.005,50.19438782867185,50.245,50.2045951266543,50.255,50.2045951266543,50.245,0.04040487334570031,0.0008040770815064738,BNDX,IAGG,2025-02-14,False
49.05,50.1,-0.13000000000000256,-0.14999999999999858,1.0214067278287462,1.0,1.0208918510199234,1.0,1.020813334669386,1.0,50.07089406553338,50.1,0.00510406667334693,0.005,50.06578999886003,50.095,50.07599813220673,50.105000000000004,50.07599813220673,50.095,0.019001867793271288,0.000379278798268888,BNDX,IAGG,2025-02-18,False
48.99,50.04,-0.05999999999999517,-0.060000000000002274,1.0214329454990814,1.0,1.020891413344908,1.0,1.0208918510199234,1.0,50.01349178146605,50.04,0.005104459255099617,0.005,50.00838732221095,50.035,50.01859624072115,50.045,50.01859624072115,50.035,0.016403759278844632,0.00032781293522870966,BNDX,IAGG,2025-02-19,False
48.97,50.07,-0.020000000000003126,0.030000000000001137,1.0224627322850726,1.0,1.020972244625011,1.0,1.020891413344908,1.0,49.993052511500146,50.07,0.005104457066724541,0.005,49.987948054433424,50.065,49.99815696856687,50.075,49.99815696856687,50.065,0.0668430314331303,0.0013349916403660937,BNDX,IAGG,2025-02-20,False
49.2,50.21,0.23000000000000398,0.14000000000000057,1.0205284552845528,1.0,1.0210070501330537,1.0,1.020972244625011,1.0,50.23183443555054,50.21,0.0051048612231250545,0.005,50.226729574327415,50.205,50.23693929677366,50.215,50.215,50.226729574327415,0.011729574327411285,0.00023361032319082424,IAGG,BNDX,2025-02-21,False
49.09,50.14,-0.10999999999999943,-0.07000000000000028,1.021389284986759,1.0,1.0209922263300186,1.0,1.0210070501330537,1.0,50.12123609103161,50.14,0.005105035250665269,0.005,50.11613105578095,50.135,50.12634112628228,50.145,50.12634112628228,50.135,0.008658873717720894,0.00017269393134664726,BNDX,IAGG,2025-02-24,False
