SCHH_price,USRT_price,SCHH_price_chg,USRT_price_chg,USRT/SCHH,USRT/USRT,USRT/SCHH_moving_avg,USRT/USRT_moving_avg,USRT/SCHH_prev_moving_avg,USRT/USRT_prev_moving_avg,SCHH_scaled_price,USRT_scaled_price,SCHH_scaled_comm,USRT_scaled_comm,SCHH_scaled_price_minus_comm,USRT_scaled_price_minus_comm,SCHH_scaled_price_plus_comm,USRT_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date
20.86,56.79,,,2.7224352828379677,1.0,,,,,,,,,,,,,,,,,,,2025-01-02,False
21.12,57.55,0.26000000000000156,0.759999999999998,2.7249053030303028,1.0,,,,,,,,,,,,,,,,,,,2025-01-03,False
20.79,56.67,-0.33000000000000185,-0.8799999999999955,2.725829725829726,1.0,,,,,,,,,,,,,,,,,,,2025-01-06,False
20.64,56.3,-0.14999999999999858,-0.37000000000000455,2.7277131782945734,1.0,,,,,,,,,,,,,,,,,,,2025-01-07,False
20.69,56.46,0.05000000000000071,0.1600000000000037,2.7288545190913482,1.0,,,,,,,,,,,,,,,,,,,2025-01-08,False
20.2,55.14,-0.490000000000002,-1.3200000000000003,2.72970297029703,1.0,,,,,,,,,,,,,,,,,,,2025-01-10,False
20.47,55.86,0.2699999999999996,0.7199999999999989,2.728871519296532,1.0,,,,,,,,,,,,,,,,,,,2025-01-13,False
20.68,56.33,0.21000000000000085,0.46999999999999886,2.723887814313346,1.0,,,,,,,,,,,,,,,,,,,2025-01-14,False
20.69,56.38,0.010000000000001563,0.05000000000000426,2.724987916868052,1.0,,,,,,,,,,,,,,,,,,,2025-01-15,False
21.13,57.29,0.4399999999999977,0.9099999999999966,2.7113109323237103,1.0,,,,,,,,,,,,,,,,,,,2025-01-16,False
21.12,57.2,-0.00999999999999801,-0.0899999999999963,2.7083333333333335,1.0,,,,,,,,,,,,,,,,,,,2025-01-17,False
21.48,58.42,0.35999999999999943,1.2199999999999989,2.7197392923649906,1.0,,,,,,,,,,,,,,,,,,,2025-01-21,False
21.09,57.45,-0.39000000000000057,-0.9699999999999989,2.7240398293029875,1.0,,,,,,,,,,,,,,,,,,,2025-01-22,False
21.24,57.89,0.14999999999999858,0.4399999999999977,2.7255178907721285,1.0,,,,,,,,,,,,,,,,,,,2025-01-23,False
21.33,58.2,0.08999999999999986,0.3100000000000023,2.728551336146273,1.0,,,,,,,,,,,,,,,,,,,2025-01-24,False
21.6,58.69,0.2700000000000031,0.4899999999999949,2.7171296296296292,1.0,,,,,,,,,,,,,,,,,,,2025-01-27,False
21.3,58.01,-0.3000000000000007,-0.6799999999999997,2.7234741784037557,1.0,,,,,,,,,,,,,,,,,,,2025-01-28,False
21.03,57.13,-0.2699999999999996,-0.8799999999999955,2.71659533999049,1.0,,,,,,,,,,,,,,,,,,,2025-01-29,False
