SPTL_price,SCHQ_price,VGLT_price,TLT_price,SPTL_price_chg,SCHQ_price_chg,VGLT_price_chg,TLT_price_chg,TLT/SPTL,TLT/SCHQ,TLT/VGLT,TLT/TLT,TLT/SPTL_moving_avg,TLT/SCHQ_moving_avg,TLT/VGLT_moving_avg,TLT/TLT_moving_avg,TLT/SPTL_prev_moving_avg,TLT/SCHQ_prev_moving_avg,TLT/VGLT_prev_moving_avg,TLT/TLT_prev_moving_avg,SPTL_scaled_price,SCHQ_scaled_price,VGLT_scaled_price,TLT_scaled_price,SPTL_scaled_comm,SCHQ_scaled_comm,VGLT_scaled_comm,TLT_scaled_comm,SPTL_scaled_price_minus_comm,SCHQ_scaled_price_minus_comm,VGLT_scaled_price_minus_comm,TLT_scaled_price_minus_comm,SPTL_scaled_price_plus_comm,SCHQ_scaled_price_plus_comm,VGLT_scaled_price_plus_comm,TLT_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date
26.2,31.51,55.41,87.57,,,,,3.34236641221374,2.779117740399873,1.5804006497022198,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-02,False
26.12,31.42,55.25,87.29,-0.0799999999999983,-0.08999999999999986,-0.1599999999999966,-0.2799999999999869,3.341883614088821,2.7781667727562063,1.5799095022624436,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-03,False
26.05,31.31,55.05,86.9,-0.07000000000000028,-0.11000000000000298,-0.20000000000000284,-0.39000000000000057,3.3358925143953937,2.7754710954966466,1.5785649409627613,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-06,False
25.77,31.0,54.48,85.92,-0.28000000000000114,-0.3099999999999987,-0.5700000000000003,-0.980000000000004,3.3341094295692666,2.7716129032258063,1.577092511013216,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-07,False
25.81,31.02,54.56,86.03,0.03999999999999915,0.019999999999999574,0.0800000000000054,0.10999999999999943,3.3332041844246416,2.773372018052869,1.5767961876832843,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-08,False
25.63,30.82,54.17,85.46,-0.17999999999999972,-0.1999999999999993,-0.39000000000000057,-0.5700000000000074,3.334373780725712,2.772874756651525,1.577625992246631,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-10,False
25.58,30.75,54.07,85.43,-0.05000000000000071,-0.07000000000000028,-0.10000000000000142,-0.029999999999986926,3.3397185301016425,2.7782113821138212,1.5799889032735344,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-13,False
25.54,30.72,53.99,85.29,-0.03999999999999915,-0.030000000000001137,-0.0799999999999983,-0.14000000000000057,3.3394675019577136,2.7763671875000004,1.5797369883311725,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-14,False
25.97,31.22,54.88,86.76,0.4299999999999997,0.5,0.8900000000000006,1.4699999999999989,3.3407778205621876,2.778987828315183,1.5809037900874636,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-15,False
26.06,31.35,55.09,87.04,0.08999999999999986,0.13000000000000256,0.21000000000000085,0.28000000000000114,3.339984650805833,2.776395534290271,1.579960065347613,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-16,False
26.1,31.38,55.16,87.19,0.0400000000000027,0.029999999999997584,0.06999999999999318,0.14999999999999147,3.340613026819923,2.778521351179095,1.5806744017403918,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-17,False
26.31,31.63,55.6,87.97,0.2099999999999973,0.25,0.44000000000000483,0.7800000000000011,3.343595591030027,2.7812203604173256,1.5821942446043165,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-21,False
26.2,31.51,55.36,87.51,-0.10999999999999943,-0.11999999999999744,-0.240000000000002,-0.45999999999999375,3.3400763358778627,2.777213582989527,1.5807442196531793,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-22,False
26.02,31.28,54.99,86.83,-0.17999999999999972,-0.23000000000000043,-0.36999999999999744,-0.6800000000000068,3.3370484242890086,2.7758951406649617,1.5790143662484086,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-23,False
26.12,31.41,55.2,87.22,0.10000000000000142,0.129999999999999,0.21000000000000085,0.39000000000000057,3.3392036753445633,2.7768226679401464,1.5800724637681158,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-24,False
26.44,31.78,55.87,88.25,0.3200000000000003,0.370000000000001,0.6699999999999946,1.0300000000000011,3.3377458396369137,2.776903713027061,1.5795596921424737,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-27,False
26.38,31.72,55.78,88.19,-0.060000000000002274,-0.060000000000002274,-0.0899999999999963,-0.060000000000002274,3.343062926459439,2.780264817150063,1.581032628182144,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-28,False
26.35,31.65,55.7,88.01,-0.029999999999997584,-0.07000000000000028,-0.0799999999999983,-0.1799999999999926,3.3400379506641364,2.7807266982622436,1.5800718132854579,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29,False
26.44,31.8,55.92,88.34,0.08999999999999986,0.15000000000000213,0.21999999999999886,0.3299999999999983,3.341149773071104,2.777987421383648,1.5797567954220315,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-30,False
26.33,31.66,55.67,87.76,-0.11000000000000298,-0.14000000000000057,-0.25,-0.5799999999999983,3.3330801367261684,2.7719519898926093,1.5764325489491648,1.0,3.338869605938205,2.7769042480854442,1.5795266352453012,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,False
26.38,31.71,55.77,88.16,0.05000000000000071,0.05000000000000071,0.10000000000000142,0.3999999999999915,3.3419257012888552,2.780195521917376,1.5807781961628113,1.0,3.3388475703919602,2.7769581371613192,1.5795455125683309,1.0,3.338869605938205,2.7769042480854442,1.5795266352453012,1.0,88.07938020464984,88.05563370678944,88.09020044763045,88.16,0.016694348029691025,0.013884521240427222,0.007897633176226507,0.005,88.06268585662015,88.04174918554901,88.08230281445422,88.155,88.09607455267953,88.06951822802986,88.09809808080668,88.16499999999999,88.06951822802986,88.155,0.08548177197013729,0.0009696208254325918,SCHQ,TLT,2025-02-03,True
26.45,31.78,55.94,88.43,0.07000000000000028,0.07000000000000028,0.1699999999999946,0.27000000000001023,3.3432892249527413,2.782567652611706,1.5808008580622097,1.0,3.3389178509351565,2.7771781811540945,1.5795900803583192,1.0,3.3388475703919602,2.7769581371613192,1.5795455125683309,1.0,88.31251823686735,88.25172959898673,88.35977597307243,88.43,0.016694237851959802,0.013884790685806597,0.007897727562841654,0.005,88.29582399901538,88.23784480830092,88.3518782455096,88.42500000000001,88.32921247471931,88.26561438967254,88.36767370063527,88.435,88.26561438967254,88.42500000000001,0.159385610327476,0.0018023929698911681,SCHQ,TLT,2025-02-04,False
26.86,32.27,56.76,89.89,0.41000000000000014,0.490000000000002,0.8200000000000003,1.4599999999999937,3.3466120625465376,2.7855593430430736,1.5836856941508104,1.0,3.3394538283427138,2.7776825935314156,1.5798461180177215,1.0,3.3389178509351565,2.7771781811540945,1.5795900803583192,1.0,89.6833334761183,89.61953990584264,89.65753296113819,89.89,0.016694589254675783,0.013885890905770472,0.007897950401791596,0.005,89.66663888686364,89.60565401493687,89.64963501073639,89.885,89.70002806537298,89.63342579674841,89.66543091153999,89.895,89.63342579674841,89.885,0.2515742032515931,0.0027986895455734016,SCHQ,TLT,2025-02-05,False
