FALN_price,ANGL_price,FALN_price_chg,ANGL_price_chg,ANGL/FALN,ANGL/ANGL,ANGL/FALN_moving_avg,ANGL/ANGL_moving_avg,ANGL/FALN_prev_moving_avg,ANGL/ANGL_prev_moving_avg,FALN_scaled_price,ANGL_scaled_price,FALN_scaled_comm,ANGL_scaled_comm,FALN_scaled_price_minus_comm,ANGL_scaled_price_minus_comm,FALN_scaled_price_plus_comm,ANGL_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,FALN_shs_per_unit,ANGL_shs_per_unit,FALN_current_shs,ANGL_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,FALN_tgt_shs,ANGL_tgt_shs,FALN_tgt_inv_amt,ANGL_tgt_inv_amt,gross_inv_amt,net_inv_amt,FALN_shs_to_trade,ANGL_shs_to_trade,FALN_shs_to_buy,ANGL_shs_to_buy,FALN_shs_to_sell,ANGL_shs_to_sell,FALN_daily_comm,ANGL_daily_comm,daily_comm,FALN_daily_profit,ANGL_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
25.27,27.29,-0.05000000000000071,-0.17999999999999972,1.0799366838148001,1.0,1.0769327243591666,1.0,1.076694729022167,1.0,27.20807580239016,27.29,0.005383473645110834,0.005,27.202692328745048,27.285,27.21345927603527,27.294999999999998,27.21345927603527,27.285,0.07154072396473055,0.0026214995956295546,FALN,ANGL,2025-04-08,False,3945.0,3664.0,3918.0,-3640.0,FALN,ANGL,0.07154072396473055,0.0026214995956295546,1.0,True,False,False,1.0,FALN,ANGL,3945.0,-3664.0,99203.76,-99990.8,199194.56,-787.0400000000081,27.0,-24.0,27.0,0.0,-0.0,24.0,-0.135,-0.12,-0.255,-195.9000000000028,655.1999999999989,459.2999999999961,459.0449999999961,827.0249999999955
26.06,28.09,0.7899999999999991,0.8000000000000007,1.077897160399079,1.0,1.076992883942784,1.0,1.0769327243591666,1.0,28.06486679679988,28.09,0.005384663621795833,0.005,28.059482133178083,28.085,28.070251460421677,28.095,28.070251460421677,28.085,0.014748539578324227,0.0005250459088047073,FALN,ANGL,2025-04-09,False,3834.0,3560.0,3945.0,-3664.0,FALN,ANGL,0.014748539578324227,0.0005250459088047073,1.0,True,False,False,1.0,FALN,ANGL,3834.0,-3560.0,99690.15,-99990.56,199680.71,-300.4100000000035,-111.0,104.0,0.0,104.0,111.0,-0.0,-0.555,-0.52,-1.0750000000000002,3116.5499999999965,-2931.2000000000025,185.349999999994,184.274999999994,1011.2999999999895
25.58,27.56,-0.4800000000000004,-0.5300000000000011,1.0774042220484754,1.0,1.0770701204562692,1.0,1.076992883942784,1.0,27.549477971256415,27.56,0.005384964419713921,0.005,27.5440930068367,27.555,27.55486293567613,27.564999999999998,27.55486293567613,27.555,0.00013706432386939582,4.97330638132786e-06,FALN,ANGL,2025-04-10,False,3907.0,3628.0,3834.0,-3560.0,FALN,ANGL,0.00013706432386939582,4.97330638132786e-06,1.0,False,True,False,0.0,,,0.0,0.0,99914.04,-100000.4,199914.44,-86.36000000000058,-3834.0,3560.0,0.0,3560.0,3834.0,-0.0,-19.17,-17.8,-36.97,-1840.3200000000015,1886.800000000004,46.48000000000252,9.51000000000252,1020.809999999992
25.69,27.62,0.11000000000000298,0.060000000000002274,1.0751265083690151,1.0,1.0769874596652529,1.0,1.0770701204562692,1.0,27.669931394521555,27.62,0.005385350602281346,0.005,27.664546043919273,27.615000000000002,27.675316745123837,27.625,27.625,27.664546043919273,0.03954604391927319,0.0014317901491409553,ANGL,FALN,2025-04-11,False,3900.0,3621.0,0.0,0.0,,,0.0,0.0,0.0,True,False,False,1.0,ANGL,FALN,-3900.0,3621.0,0.0,0.0,0.0,0.0,-3900.0,3621.0,0.0,3621.0,3900.0,-0.0,-19.5,-18.105,-37.605000000000004,0.0,0.0,0.0,-37.605000000000004,983.204999999992
25.81,27.82,0.11999999999999744,0.1999999999999993,1.077876791941108,1.0,1.077106661850631,1.0,1.0769874596652529,1.0,27.797046333960175,27.82,0.005384937298326265,0.005,27.791661396661848,27.815,27.802431271258502,27.825,27.802431271258502,27.815,0.012568728741499058,0.0004517875176671121,FALN,ANGL,2025-04-14,False,3872.0,3595.0,-3900.0,3621.0,ANGL,FALN,-0.03333860333815153,-0.001198368200508682,1.0,False,True,False,0.0,,,0.0,0.0,-100191.0,100012.02,200203.02000000002,-178.97999999999593,3900.0,-3621.0,3900.0,0.0,-0.0,3621.0,-19.5,-18.105,-37.605000000000004,-467.99999999999,724.1999999999974,256.20000000000744,218.59500000000742,1201.7999999999993
25.89,27.88,0.08000000000000185,0.05999999999999872,1.0768636539204326,1.0,1.0770721413400905,1.0,1.077106661850631,1.0,27.886291475312838,27.88,0.005385533309253156,0.005,27.880905942003587,27.875,27.89167700862209,27.884999999999998,27.884999999999998,27.880905942003587,-0.004094057996411493,-0.00014684569571059874,ANGL,FALN,2025-04-15,False,3864.0,3587.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1201.7999999999993
25.89,27.88,0.0,0.0,1.0768636539204326,1.0,1.0771162135839254,1.0,1.0770721413400905,1.0,27.885397739294945,27.88,0.005385360706700453,0.005,27.880012378588244,27.875,27.890783100001645,27.884999999999998,27.884999999999998,27.880012378588244,-0.004987621411753906,-0.00017889603342015448,ANGL,FALN,2025-04-16,False,3863.0,3587.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1201.7999999999993
26.01,27.98,0.120000000000001,0.10000000000000142,1.0757400999615532,1.0,1.0771355868076897,1.0,1.0771162135839254,1.0,28.0157927153179,27.98,0.005385581067919627,0.005,28.01040713424998,27.975,28.02117829638582,27.985,27.985,28.01040713424998,0.02540713424998131,0.0009080462562537996,ANGL,FALN,2025-04-17,False,3850.0,3574.0,0.0,0.0,,,0.0,0.0,0.0,True,False,False,1.0,ANGL,FALN,-3850.0,3574.0,0.0,0.0,0.0,0.0,-3850.0,3574.0,0.0,3574.0,3850.0,-0.0,-19.25,-17.87,-37.120000000000005,0.0,0.0,0.0,-37.120000000000005,1164.6799999999994
25.81,27.82,-0.20000000000000284,-0.16000000000000014,1.077876791941108,1.0,1.0772575943720435,1.0,1.0771355868076897,1.0,27.800869495506472,27.82,0.005385677934038448,0.005,27.795483817572432,27.815,27.806255173440512,27.825,27.806255173440512,27.815,0.008744826559489383,0.00031433596547409716,FALN,ANGL,2025-04-21,False,3872.0,3595.0,-3850.0,3574.0,ANGL,FALN,-0.029516182427567372,-0.00106096989315483,1.0,False,True,False,0.0,,,0.0,0.0,-100138.5,100000.52,200139.02000000002,-137.97999999999593,3850.0,-3574.0,3850.0,0.0,-0.0,3574.0,-19.25,-17.87,-37.120000000000005,770.0000000000109,-571.8400000000005,198.16000000001043,161.04000000001042,1325.7200000000098
25.86,27.87,0.05000000000000071,0.05000000000000071,1.0777262180974478,1.0,1.0773846460176564,1.0,1.0772575943720435,1.0,27.857881390461046,27.87,0.005386287971860217,0.005,27.852495102489186,27.865000000000002,27.863267678432905,27.875,27.863267678432905,27.865000000000002,0.0017323215670970171,6.215721446347388e-05,FALN,ANGL,2025-04-22,False,3865.0,3588.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1325.7200000000098
