SCHZ_price,SPAB_price,BND_price,AGG_price,SCHZ_price_chg,SPAB_price_chg,BND_price_chg,AGG_price_chg,AGG/SCHZ,AGG/SPAB,AGG/BND,AGG/AGG,AGG/SCHZ_moving_avg,AGG/SPAB_moving_avg,AGG/BND_moving_avg,AGG/AGG_moving_avg,AGG/SCHZ_prev_moving_avg,AGG/SPAB_prev_moving_avg,AGG/BND_prev_moving_avg,AGG/AGG_prev_moving_avg,SCHZ_scaled_price,SPAB_scaled_price,BND_scaled_price,AGG_scaled_price,SCHZ_scaled_comm,SPAB_scaled_comm,BND_scaled_comm,AGG_scaled_comm,SCHZ_scaled_price_minus_comm,SPAB_scaled_price_minus_comm,BND_scaled_price_minus_comm,AGG_scaled_price_minus_comm,SCHZ_scaled_price_plus_comm,SPAB_scaled_price_plus_comm,BND_scaled_price_plus_comm,AGG_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,SCHZ_shs_per_unit,SPAB_shs_per_unit,BND_shs_per_unit,AGG_shs_per_unit,SCHZ_current_shs,SPAB_current_shs,BND_current_shs,AGG_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,SCHZ_tgt_shs,SPAB_tgt_shs,BND_tgt_shs,AGG_tgt_shs,SCHZ_tgt_inv_amt,SPAB_tgt_inv_amt,BND_tgt_inv_amt,AGG_tgt_inv_amt,gross_inv_amt,net_inv_amt,SCHZ_shs_to_trade,SPAB_shs_to_trade,BND_shs_to_trade,AGG_shs_to_trade,SCHZ_shs_to_buy,SPAB_shs_to_buy,BND_shs_to_buy,AGG_shs_to_buy,SCHZ_shs_to_sell,SPAB_shs_to_sell,BND_shs_to_sell,AGG_shs_to_sell,SCHZ_daily_comm,SPAB_daily_comm,BND_daily_comm,AGG_daily_comm,daily_comm,SCHZ_daily_profit,SPAB_daily_profit,BND_daily_profit,AGG_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
23.71,26.16,75.17,101.4,0.03999999999999915,0.07000000000000028,0.15000000000000568,0.20000000000000284,4.276676507802615,3.876146788990826,1.3489423972329386,1.0,4.27563138907176,3.877437134585736,1.3487724807161237,1.0,4.275437199013368,3.877611361695899,1.3487161729510404,1.0,101.37061598860696,101.43831322196472,101.38299472072971,101.4,0.021377185995066838,0.019388056808479496,0.006743580864755202,0.005,101.3492388026119,101.41892516515624,101.37625113986496,101.39500000000001,101.39199317460202,101.4577012787732,101.38973830159446,101.405,101.38973830159446,101.41892516515624,0.029186863561776022,0.00028783889114177534,BND,SPAB,2026-02-27,False,4216.0,3823.0,1330.0,986.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86000000000425
23.55,25.97,74.64,100.68,-0.16000000000000014,-0.19000000000000128,-0.5300000000000011,-0.7199999999999989,4.27515923566879,3.8767809010396617,1.3488745980707397,1.0,4.2755859239849565,3.8774376815035216,1.3487908165915736,1.0,4.27563138907176,3.877437134585736,1.3487724807161237,1.0,100.69111921263996,100.69704238519155,100.67237796065147,100.68,0.0213781569453588,0.01938718567292868,0.006743862403580618,0.005,100.6697410556946,100.67765519951863,100.66563409824789,100.67500000000001,100.71249736958532,100.71642957086448,100.67912182305506,100.685,100.67912182305506,100.67765519951863,-0.0014666235364302338,-1.456717855016124e-05,BND,SPAB,2026-03-02,True,4246.0,3850.0,1339.0,993.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,42.86000000000425
23.53,25.93,74.56,100.57,-0.019999999999999574,-0.03999999999999915,-0.0799999999999983,-0.11000000000001364,4.274118147046323,3.878519089857308,1.3488465665236051,1.0,4.275212901756086,3.8775736595871413,1.3487749790540051,1.0,4.2755859239849565,3.8774376815035216,1.3487908165915736,1.0,100.60453679136603,100.54195908138631,100.56584328506773,100.57,0.021377929619924782,0.01938718840751761,0.006743954082957868,0.005,100.5831588617461,100.52257189297879,100.55909933098476,100.565,100.62591472098596,100.56134626979383,100.57258723915069,100.57499999999999,100.56134626979383,100.5831588617461,0.021812591952269145,0.00021688964852609272,SPAB,SCHZ,2026-03-03,False,4250.0,3854.0,1341.0,994.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,True,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,42.86000000000425
23.51,25.92,74.51,100.53,-0.019999999999999574,-0.00999999999999801,-0.04999999999999716,-0.03999999999999204,4.276052743513398,3.878472222222222,1.349214870487183,1.0,4.275264127781864,3.877646948706711,1.3488388648191292,1.0,4.275212901756086,3.8775736595871413,1.3487749790540051,1.0,100.51025532028558,100.50670925649871,100.49722368931393,100.53,0.021376064508780428,0.019387868297935706,0.006743874895270026,0.005,100.4888792557768,100.48732138820077,100.49047981441866,100.525,100.53163138479437,100.52609712479665,100.50396756420919,100.535,100.50396756420919,100.525,0.02103243579081493,0.00020921551567507142,BND,AGG,2026-03-04,False,4254.0,3858.0,1342.0,995.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,42.86000000000425
23.45,25.85,74.34,100.24,-0.060000000000002274,-0.07000000000000028,-0.1700000000000017,-0.29000000000000625,4.2746268656716415,3.877756286266924,1.3483992467043313,1.0,4.275269187230384,3.8777208094625344,1.3488485302006024,1.0,4.275264127781864,3.877646948706711,1.3488388648191292,1.0,100.25494379648471,100.23717362406848,100.27268121065407,100.24,0.021376320638909322,0.019388234743533555,0.006744194324095646,0.005,100.2335674758458,100.21778538932494,100.26593701632997,100.235,100.27632011712362,100.256561858812,100.27942540497817,100.24499999999999,100.24499999999999,100.26593701632997,0.020937016329980906,0.00020886887799262678,AGG,BND,2026-03-05,False,4267.0,3870.0,1346.0,998.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,42.86000000000425
23.42,25.81,74.24,100.12,-0.029999999999997584,-0.0400000000000027,-0.10000000000000853,-0.11999999999999034,4.274978650725875,3.879116621464549,1.3485991379310347,1.0,4.2752246794216155,3.8778538397873135,1.3488334272847093,1.0,4.275269187230384,3.8777208094625344,1.3488485302006024,1.0,100.1268043649356,100.083974092228,100.13851488209271,100.12,0.02137634593615192,0.01938860404731267,0.006744242651003012,0.005,100.10542801899945,100.0645854881807,100.1317706394417,100.11500000000001,100.14818071087174,100.10336269627531,100.14525912474372,100.125,100.10336269627531,100.1317706394417,0.028407943166385508,0.00028373894492993916,SPAB,BND,2026-03-06,False,4271.0,3874.0,1347.0,999.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,42.86000000000425
23.49,25.89,74.45,100.44,0.06999999999999673,0.08000000000000185,0.21000000000000796,0.3199999999999932,4.275862068965518,3.8794901506373116,1.3490933512424446,1.0,4.275326742554954,3.878149480617916,1.3488888208323233,1.0,4.2752246794216155,3.8778538397873135,1.3488334272847093,1.0,100.42502771961374,100.39763591209355,100.42064866134662,100.44,0.02137612339710808,0.01938926919893657,0.006744167136423547,0.005,100.40365159621663,100.37824664289461,100.4139044942102,100.435,100.44640384301084,100.41702518129249,100.42739282848304,100.445,100.41702518129249,100.435,0.017974818707514828,0.00017896075973232605,SPAB,AGG,2026-03-09,False,4258.0,3862.0,1343.0,996.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86000000000425
23.42,25.82,74.22,100.11,-0.06999999999999673,-0.07000000000000028,-0.23000000000000398,-0.3299999999999983,4.274551665243381,3.8772269558481796,1.3488278092158448,1.0,4.275340048614176,3.8781084631225653,1.3488590166745003,1.0,4.275326742554954,3.878149480617916,1.3488888208323233,1.0,100.12815231063703,100.13381958955459,100.11452828217503,100.11,0.021376633712774772,0.019390747403089582,0.0067444441041616164,0.005,100.10677567692426,100.1144288421515,100.10778383807087,100.105,100.14952894434981,100.15321033695768,100.12127272627919,100.115,100.115,100.1144288421515,-0.0005711578484977053,-5.705302652059788e-06,AGG,SPAB,2026-03-10,False,4271.0,3874.0,1348.0,999.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,42.86000000000425
23.3,25.7,73.89,99.66,-0.120000000000001,-0.120000000000001,-0.3299999999999983,-0.45000000000000284,4.27725321888412,3.8778210116731517,1.3487616727568006,1.0,4.275473326490738,3.8780210825240458,1.3488533257203046,1.0,4.275340048614176,3.8781084631225653,1.3488590166745003,1.0,99.61542313271029,99.66738750224992,99.66719274207883,99.66,0.021376700243070878,0.019390542315612828,0.006744295083372502,0.005,99.59404643246722,99.6479969599343,99.66044844699545,99.655,99.63679983295336,99.68677804456554,99.6739370371622,99.66499999999999,99.63679983295336,99.66044844699545,0.023648614042087956,0.0002372929364046554,SCHZ,BND,2026-03-11,False,4288.0,3890.0,1353.0,1003.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,42.86000000000425
23.21,25.61,73.62,99.29,-0.08999999999999986,-0.08999999999999986,-0.269999999999996,-0.36999999999999034,4.277897457992244,3.8770011714174153,1.3486824232545505,1.0,4.27571765615139,3.877833119941754,1.3488242073419474,1.0,4.275473326490738,3.8780210825240458,1.3488533257203046,1.0,99.23373590785003,99.31611992344081,99.30258183952883,99.29,0.021377366632453692,0.01939010541262023,0.006744266628601523,0.005,99.21235854121758,99.29672981802818,99.29583757290023,99.28500000000001,99.25511327448248,99.33551002885343,99.30932610615743,99.295,99.25511327448248,99.29672981802818,0.041616543545700324,0.0004191413389636451,SCHZ,SPAB,2026-03-12,False,4305.0,3905.0,1358.0,1007.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,42.86000000000425
